reference,collection_name,dataset_title,normal_cell_count,total_cell_count,author_cell_type,embedding,tissue,disease,first_author,journal,year,collection_url,explorer_url,collection_id,collection_version_id,dataset_id,dataset_version_id,is_preprint,revised_at,visibility,organism,filter_normal,metric,save_scores,save_cluster_summary,save_annotation,h5ad_url,assay_ontology_term_id,cell_type_ontology_term_id,disease_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,is_primary_data,donor_id_count,development_stage_summary,tissue_ontology_term_id
no,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney,Single cell transcriptional and chromatin accessibility profiling redefine cellular heterogeneity in the adult human kidney - RNAseq,19985,19985,author_cell_type,X_umap,cortex of kidney,normal,Muto,Nat Commun,2021,https://cellxgene.cziscience.com/collections/9b02383a-9358-4f0f-9795-a891ec523bcc,https://cellxgene.cziscience.com/e/9df60c57-fdf3-4e93-828e-fe9303f20438.cxg/,9b02383a-9358-4f0f-9795-a891ec523bcc,d4932ca7-a406-48df-bbea-40d10559ccb9,9df60c57-fdf3-4e93-828e-fe9303f20438,ff2e21de-0848-4346-8f8b-4e1741ec4b39,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/ff2e21de-0848-4346-8f8b-4e1741ec4b39.h5ad,EFO:0011025,CL:0000057 | CL:0000650 | CL:0000653 | CL:0000738 | CL:0002201 | CL:0002306 | CL:0005009 | CL:0005011 | CL:1000452 | CL:1000768 | CL:1000849 | CL:1000892 | CL:1001106,PATO:0000461,HsapDv:0000144 | HsapDv:0000146 | HsapDv:0000148 | HsapDv:0000155 | HsapDv:0000156,PATO:0000383 | PATO:0000384,TRUE,5,"61-year-old stage: 5,464; 54-year-old stage: 4,114; 52-year-old stage: 3,804; 50-year-old stage: 3,683; 62-year-old stage: 2,920",UBERON:0001225
no,Automatic cell-type harmonization and integration across Human Cell Atlas datasets,Kidney,140010,194504,Curated_annotation,X_umap,cortex of kidney | kidney | renal medulla | renal papilla | renal pelvis,normal,Xu,Cell,2023,https://cellxgene.cziscience.com/collections/854c0855-23ad-4362-8b77-6b1639e7a9fc,https://cellxgene.cziscience.com/e/f95d8919-1f2a-405f-8776-bfecc0ab0f3f.cxg/,854c0855-23ad-4362-8b77-6b1639e7a9fc,bf868bea-52be-443c-bbce-bb35249085b9,f95d8919-1f2a-405f-8776-bfecc0ab0f3f,26d15fe5-5e25-4649-bdf1-07814871ffd1,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/26d15fe5-5e25-4649-bdf1-07814871ffd1.h5ad,EFO:0009899 | EFO:0009922 | EFO:0011025,CL:0000084 | CL:0000236 | CL:0000359 | CL:0000542 | CL:0000623 | CL:0000653 | CL:0000763 | CL:0000860 | CL:0000875 | CL:0000990 | CL:0001056 | CL:0002138 | CL:0002306 | CL:0008034 | CL:1000452 | CL:1000547 | CL:1000692 | CL:1000768 | CL:1000849 | CL:1000891 | CL:1001005 | CL:1001033 | CL:1001036 | CL:1001106 | CL:1001107 | CL:1001111 | CL:1001431 | CL:1001432 | CL:4030022,PATO:0000461,HsapDv:0000123 | HsapDv:0000124 | HsapDv:0000125 | HsapDv:0000129 | HsapDv:0000133 | HsapDv:0000134 | HsapDv:0000135 | HsapDv:0000136 | HsapDv:0000137 | HsapDv:0000138 | HsapDv:0000140 | HsapDv:0000141 | HsapDv:0000142 | HsapDv:0000143 | HsapDv:0000144 | HsapDv:0000146 | HsapDv:0000147 | HsapDv:0000148 | HsapDv:0000150 | HsapDv:0000151 | HsapDv:0000152 | HsapDv:0000153 | HsapDv:0000154 | HsapDv:0000155 | HsapDv:0000156 | HsapDv:0000157 | HsapDv:0000158 | HsapDv:0000160 | HsapDv:0000161 | HsapDv:0000162 | HsapDv:0000163 | HsapDv:0000164 | HsapDv:0000165 | HsapDv:0000166 | HsapDv:0000168 | HsapDv:0000170 | HsapDv:0000241 | HsapDv:0000242,PATO:0000383 | PATO:0000384,FALSE,58,"76-year-old stage: 16,664; seventh decade stage: 12,244; 67-year-old stage: 11,438; 72-year-old stage: 10,851; 53-year-old stage: 8,839; 71-year-old stage: 8,839; 63-year-old stage: 7,987; eighth decade stage: 7,774; 54-year-old stage: 6,125; 61-year-old stage: 5,464; 50-year-old stage: 5,286; 52-year-old stage: 5,133; 69-year-old stage: 5,097; 29-year-old stage: 4,836; 74-year-old stage: 4,715; 49-year-old stage: 4,273; 57-year-old stage: 3,411; 60-year-old stage: 3,401; 68-year-old stage: 3,038; 62-year-old stage: 2,920; 35-year-old stage: 2,635; 43-year-old stage: 2,437; 59-year-old stage: 1,919; 56-year-old stage: 1,896; 58-year-old stage: 1,760; 31-year-old stage: 1,631; 46-year-old stage: 1,611; 42-year-old stage: 1,540; 30-year-old stage: 1,334; 41-year-old stage: 1,166; 39-year-old stage: 962; 47-year-old stage: 740; 40-year-old stage: 635; 48-year-old stage: 519; 66-year-old stage: 517; 64-year-old stage: 198; 44-year-old stage: 131; 70-year-old stage: 62",UBERON:0001225 | UBERON:0002113
no,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,27667,39176,author_cell_type,X_umap,cortex of kidney,normal | type 2 diabetes mellitus,Wilson,Nat Commun,2022,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,b3e2c6e3-9b05-4da9-8f42-da38a664b45b,554b5b3f-a7cb-4166-9dc0-d3ea2e317ec7,e067e5ca-e53e-485f-aa8e-efd5435229c8,46d8d92b-32e0-4ca5-9907-4dbf519c7fc3,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/46d8d92b-32e0-4ca5-9907-4dbf519c7fc3.h5ad,EFO:0009922 | EFO:0011025,CL:0000057 | CL:0000115 | CL:0000650 | CL:0000653 | CL:0000738 | CL:0002201 | CL:0002306 | CL:0005009 | CL:0005011 | CL:1000452 | CL:1000849 | CL:1001106 | CL:1001107,MONDO:0005148 | PATO:0000461,HsapDv:0000144 | HsapDv:0000145 | HsapDv:0000146 | HsapDv:0000148 | HsapDv:0000151 | HsapDv:0000153 | HsapDv:0000155 | HsapDv:0000156 | HsapDv:0000168 | HsapDv:0000172,PATO:0000383 | PATO:0000384,TRUE,11,"59-year-old stage: 8,706; 52-year-old stage: 6,815; 61-year-old stage: 5,278; 50-year-old stage: 3,707; 54-year-old stage: 3,605; 57-year-old stage: 2,587; 78-year-old stage: 2,574; 62-year-old stage: 2,552; 74-year-old stage: 2,468; 51-year-old stage: 884",UBERON:0001225
no,Tabula Sapiens,Tabula Sapiens - Immune,1997,592317,free_annotation,X_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/c5d88abe-f23a-45fa-a534-788985e93dad.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,c5d88abe-f23a-45fa-a534-788985e93dad,e62b0182-368f-4875-8ac1-f49e3d5eda60,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/e62b0182-368f-4875-8ac1-f49e3d5eda60.h5ad,EFO:0008931 | EFO:0009922,CL:0000084 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000875 | CL:0002393,PATO:0000461,HsapDv:0000155,PATO:0000383,FALSE,1,"61-year-old stage: 1,997",UBERON:0001225 | UBERON:0002113
no,Tabula Sapiens,Tabula Sapiens - Epithelium,9278,228032,free_annotation,X_scvi_full_donorassay,anterior part of tongue | anterior segment of eyeball | ascending colon | bladder organ | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | jejunum | kidney | lacrimal gland | large intestine | left ovary | liver | lung | mammary gland | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | stomach | stomach smooth muscle | sublingual gland | submandibular gland | testis | thymus | tongue | trachea | uterus | utricle of membranous labyrinth,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/97a17473-e2b1-4f31-a544-44a60773e2dd.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,97a17473-e2b1-4f31-a544-44a60773e2dd,d785671f-3157-40cf-a035-e9ba0052d3b3,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/d785671f-3157-40cf-a035-e9ba0052d3b3.h5ad,EFO:0008931 | EFO:0009922,CL:0002518,PATO:0000461,HsapDv:0000155,PATO:0000383,FALSE,1,"61-year-old stage: 9,278",UBERON:0001225 | UBERON:0002113
no,Tabula Sapiens,Tabula Sapiens - Endothelium,101,73195,free_annotation,X_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | myometrium | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/5a11f879-d1ef-458a-910c-9b0bdfca5ebf.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,5a11f879-d1ef-458a-910c-9b0bdfca5ebf,95e4fc1d-c70a-46ea-b459-661c238ddc8e,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/95e4fc1d-c70a-46ea-b459-661c238ddc8e.h5ad,EFO:0009922,CL:0000115,PATO:0000461,HsapDv:0000155,PATO:0000383,FALSE,1,61-year-old stage: 101,UBERON:0002113
no,Tabula Sapiens,Tabula Sapiens - All Cells,11376,1136218,free_annotation,X_scvi_full_donorassay,abdominal aorta | adipose tissue | anterior part of tongue | anterior segment of eyeball | aorta | ascending colon | bladder organ | blood | bone marrow | brown adipose tissue | buccal mucosa | cardiac atrium | cardiac ventricle | chorioretinal region | conjunctiva | cornea | coronary artery | cortex of kidney | crista ampullaris | duodenum | endocrine pancreas | endometrium | exocrine pancreas | eye | eyelid | heart | heart right ventricle | ileum | inferior vena cava | inguinal lymph node | jejunum | kidney | lacrimal gland | large intestine | left coronary artery | left ovary | liver | lung | lymph node | mammary gland | mesenteric lymph node | mucosa of stomach | muscle of abdomen | muscle of pelvic diaphragm | muscularis mucosae of stomach | myometrium | ocular surface region | ovary | parotid gland | posterior part of tongue | posterior segment of eyeball | prostate gland | retinal neural layer | right cardiac atrium | right ovary | sclera | sigmoid colon | skin of abdomen | skin of body | skin of chest | small intestine | spleen | stomach | stomach smooth muscle | subcutaneous adipose tissue | sublingual gland | submandibular gland | testis | thoracic aorta | thymus | tongue | trachea | uterus | utricle of membranous labyrinth | vasculature,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/53d208b0-2cfd-4366-9866-c3c6114081bc.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,53d208b0-2cfd-4366-9866-c3c6114081bc,5a495302-b7cd-4bf9-853e-95627b00bb03,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/5a495302-b7cd-4bf9-853e-95627b00bb03.h5ad,EFO:0008931 | EFO:0009922,CL:0000084 | CL:0000115 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000875 | CL:0002393 | CL:0002518,PATO:0000461,HsapDv:0000155,PATO:0000383,TRUE,1,"61-year-old stage: 11,376",UBERON:0001225 | UBERON:0002113
no,Tabula Sapiens,Tabula Sapiens - Kidney,11376,11376,free_annotation,X_scvi_full_donorassay,cortex of kidney | kidney,normal,TSConsortium,Science,2022,https://cellxgene.cziscience.com/collections/e5f58829-1a66-40b5-a624-9046778e74f5,https://cellxgene.cziscience.com/e/2423ce2c-3149-4cca-a2ff-cf682ea29b5f.cxg/,e5f58829-1a66-40b5-a624-9046778e74f5,6648d872-8ab3-4b3e-967f-9397f31aa98f,2423ce2c-3149-4cca-a2ff-cf682ea29b5f,65ca6e36-73b0-4c88-b0f3-7b23b48844ad,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/65ca6e36-73b0-4c88-b0f3-7b23b48844ad.h5ad,EFO:0008931 | EFO:0009922,CL:0000084 | CL:0000115 | CL:0000235 | CL:0000236 | CL:0000576 | CL:0000623 | CL:0000624 | CL:0000625 | CL:0000775 | CL:0000786 | CL:0000875 | CL:0002393 | CL:0002518,PATO:0000461,HsapDv:0000155,PATO:0000383,FALSE,1,"61-year-old stage: 11,376",UBERON:0001225 | UBERON:0002113
no,Healthy living donor kidney,Living donor kidney,27675,27675,author_cell_type,X_umap,cortex of kidney,normal,McEvoy,Nat Commun,2022,https://cellxgene.cziscience.com/collections/dc3a5256-5c39-4a21-ac0c-4ede3e7b2323,https://cellxgene.cziscience.com/e/0bae7ebf-eb54-46a6-be9a-3461cecefa4c.cxg/,dc3a5256-5c39-4a21-ac0c-4ede3e7b2323,00ad21fb-7a07-48c2-8471-c24620cdf230,0bae7ebf-eb54-46a6-be9a-3461cecefa4c,6b3b10eb-11e7-4589-af2e-591d7401cfaa,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/6b3b10eb-11e7-4589-af2e-591d7401cfaa.h5ad,EFO:0009922,CL:0000084 | CL:0000113 | CL:0000236 | CL:0000623 | CL:0000650 | CL:0000653 | CL:0002201 | CL:0002306 | CL:0005009 | CL:0005011 | CL:1000452 | CL:1000549 | CL:1000768 | CL:1000849 | CL:1000892 | CL:1001021 | CL:1001109 | unknown,PATO:0000461,HsapDv:0000127 | HsapDv:0000128 | HsapDv:0000129 | HsapDv:0000131 | HsapDv:0000132 | HsapDv:0000135 | HsapDv:0000136 | HsapDv:0000137 | HsapDv:0000138 | HsapDv:0000143 | HsapDv:0000144 | HsapDv:0000149 | HsapDv:0000151 | HsapDv:0000152 | HsapDv:0000154 | HsapDv:0000158 | HsapDv:0000159,PATO:0000383 | PATO:0000384,TRUE,19,"65-year-old stage: 4,738; 58-year-old stage: 3,739; 64-year-old stage: 3,280; 57-year-old stage: 2,366; 35-year-old stage: 2,262; 60-year-old stage: 1,894; 44-year-old stage: 1,811; 33-year-old stage: 1,264; 38-year-old stage: 1,102; 42-year-old stage: 1,041; 55-year-old stage: 938; 41-year-old stage: 712; 43-year-old stage: 679; 50-year-old stage: 606; 49-year-old stage: 584; 34-year-old stage: 344; 37-year-old stage: 315",UBERON:0001225
no,snRNA-seq of human kidney with ureteral obstruction,snRNA-seq of human kidney with ureteral obstruction,15140,46957,celltype_l2,X_umap,kidney,normal | obstructive nephropathy,Reck,Nat Commun,2025,https://cellxgene.cziscience.com/collections/307ce143-7cc8-4813-99b1-3797834149c9,https://cellxgene.cziscience.com/e/867757c1-3b1a-49d9-a0cd-17767eb160cc.cxg/,307ce143-7cc8-4813-99b1-3797834149c9,d74eb989-e8a9-46bb-b4c5-6668addb500a,867757c1-3b1a-49d9-a0cd-17767eb160cc,70ae5e5d-5a40-4ab7-b8dd-becc5dffd4ba,FALSE,2025-11-08,PUBLIC,Homo sapiens,TRUE,euclidean,TRUE,TRUE,TRUE,https://datasets.cellxgene.cziscience.com/70ae5e5d-5a40-4ab7-b8dd-becc5dffd4ba.h5ad,EFO:0030059,CL:0000084 | CL:0000115 | CL:0000236 | CL:0000653 | CL:0000763 | CL:0005009 | CL:0005010 | CL:1000452 | CL:1000768 | CL:1000838 | CL:1000849 | CL:1001016 | CL:1001107 | CL:1001111 | CL:4030031,MONDO:0056796 | PATO:0000461,HsapDv:0000154 | HsapDv:0000156 | HsapDv:0000157 | HsapDv:0000158 | HsapDv:0000160 | HsapDv:0000162 | HsapDv:0000163 | HsapDv:0000164 | HsapDv:0000173 | HsapDv:0000208 | HsapDv:0000209 | HsapDv:0000210,PATO:0000383 | PATO:0000384,TRUE,12,"79-year-old stage: 9,189; 83-year-old stage: 8,466; 82-year-old stage: 5,416; 69-year-old stage: 4,775; 84-year-old stage: 3,973; 60-year-old stage: 3,971; 62-year-old stage: 3,513; 66-year-old stage: 2,260; 63-year-old stage: 1,951; 70-year-old stage: 1,831; 68-year-old stage: 1,169; 64-year-old stage: 443",UBERON:0002113
