clusterName,gene
Macrophage,ENSG00000250722
Macrophage,ENSG00000073754
B cell (Plasmocyte),ENSG00000170476
Erythroid cell,ENSG00000206172
Erythroid cell,ENSG00000250361
Erythroid progenitor cell (RP high),ENSG00000144381
Erythroid progenitor cell (RP high),ENSG00000115541
Erythroid progenitor cell (RP high),ENSG00000169877
CB CD34+,ENSG00000128040
CB CD34+,ENSG00000069275
CB CD34+,ENSG00000125534
CB CD34+,ENSG00000113648
B cell,ENSG00000169575
B cell,ENSG00000105369
Neutrophil (RPS high),ENSG00000074800
Neutrophil (RPS high),ENSG00000234741
T cell,ENSG00000277734
T cell,ENSG00000116824
Neutrophil,ENSG00000122862
Dendritic cell,ENSG00000196735
Dendritic cell,ENSG00000223865
Dendritic cell,ENSG00000231389
Antigen presenting cell (RPS high),ENSG00000085265
Antigen presenting cell (RPS high),ENSG00000182718
Monocyte,ENSG00000233276
Monocyte,ENSG00000085265
Monocyte,ENSG00000170345
