,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000196735,0.0,0.0,0.0,0.0,2.3684235,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
ENSG00000142541,3.1451097,3.7087069,2.63332,3.7311163,3.4594922,3.1830988,3.4484203,2.9240828,3.2461548,3.040721,3.6928272,3.1709895
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,2.3038993,2.4523587,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,3.5491512,3.8139052,2.5982695,3.9998612,3.3168077,3.5482767,3.896534,3.0756264,3.2461548,3.2898855,4.1857443,3.6665468
ENSG00000169442,0.0,2.215259,0.0,0.0,0.0,0.0,0.0,0.0,2.5866365,0.0,0.0,3.1864293
ENSG00000128951,0.0,0.0,0.0,1.5480586,0.0,0.0,1.5178756,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.0,1.9907694,0.0,0.0,0.0,0.0,0.0,1.208604,2.879576,0.0,0.0,0.0
ENSG00000147123,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101608,2.4218729,0.0,0.0,0.0,2.8227344,0.0,0.0,0.0,0.0,0.0,0.0,2.665072
ENSG00000118363,0.0,0.0,1.7812421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1582634,0.0,0.0,0.0,0.0
ENSG00000164032,3.0657198,3.691566,0.0,3.204398,3.1886563,3.0894213,3.473518,1.208604,0.0,2.766516,3.1052332,3.547512
ENSG00000173113,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000221983,2.8362303,3.0601392,2.0489795,2.4209378,3.0247393,2.6763403,2.8693242,2.9240828,3.003556,2.7097318,2.9176528,2.9801917
ENSG00000206172,0.0,0.0,0.0,0.0,0.0,5.578066,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156482,3.1622815,3.3241491,2.5250044,3.3305666,3.2525046,3.0040114,3.2250404,3.6521819,3.023808,3.1611989,3.6278026,3.298006
ENSG00000136156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4787081,2.0622213,0.0,0.0,0.0
ENSG00000116824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1951785
ENSG00000142669,3.3397079,2.127451,0.0,2.3701801,3.0696275,0.0,0.0,1.208604,3.9400303,1.5574541,0.0,3.2605035
ENSG00000234745,3.1096535,2.8725247,3.02195,2.1287868,3.0696275,0.0,0.0,4.028515,3.8035388,3.0560234,1.8774972,2.8302066
ENSG00000128040,0.0,0.0,0.0,2.1838264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184076,0.0,0.0,0.0,0.0,2.5137157,2.0715842,2.3067355,0.0,0.0,0.0,0.0,2.110411
ENSG00000178741,0.0,0.0,0.0,2.0468006,0.0,0.0,2.0700486,0.0,0.0,0.0,0.0,0.0
ENSG00000142168,0.0,0.0,0.0,2.3510587,0.0,2.0640225,2.299441,0.0,0.0,0.0,0.0,1.7018903
ENSG00000141552,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.879576,2.6375265,0.0,0.0
ENSG00000161970,3.126168,3.6458778,2.1571913,3.300393,3.1096535,2.9229648,3.3904967,3.1582634,3.1324384,3.0598898,3.6828535,2.9855301
ENSG00000143947,3.7332869,3.988206,2.8953462,4.1541204,3.6866395,3.9257183,4.203708,3.310241,3.1797805,3.4481254,4.2810936,3.872062
ENSG00000185088,0.0,0.0,0.0,0.0,0.0,0.0,1.7111182,0.0,0.0,0.0,0.0,0.0
ENSG00000140264,3.3087335,3.0716405,2.6244063,3.0864246,3.1786768,2.8923573,3.126168,0.0,3.2799878,3.1429856,3.08344,2.887543
