cluster,n_cells,percentage
b_age,125,0.09
b_gc,21,0.01
b_memory,4428,3.11
b_naive,8376,5.87
cd3_gd,3013,2.11
cd4_cm,6869,4.82
cd4_naive,7346,5.15
cd4_tem,3984,2.79
cd4_temra,4854,3.4
cd4_treg,1077,0.76
cd4_trm,409,0.29
cd8_cm,701,0.49
cd8_mait,1071,0.75
cd8_naive,3266,2.29
cd8_tem,8873,6.22
cd8_temra,11986,8.4
cd8_trm,1384,0.97
dc1,55,0.04
dc2,272,0.19
ilc1,30,0.02
ilc3,92,0.06
macrophage,2740,1.92
mast_cell,75,0.05
monocyte_classical,14701,10.31
monocyte_nonclassical,3313,2.32
nk_cd56br,2769,1.94
nk_cd56dim,32766,22.98
nk_ilc_precursor,3393,2.38
pdc,402,0.28
plasma_cell,1084,0.76
plasmablast,1099,0.77
progenitor,12033,8.44
