cluster,count
CD16+ NK cells,8779
Tcm/Naive helper T cells,7982
Classical monocytes,7615
Tem/Temra cytotoxic T cells,7013
Tem/Trm cytotoxic T cells,4771
HSC/MPP,4448
CD24 neutrophils,2333
Neutrophil-myeloid progenitor,2022
Early erythroid,1889
Pro-B cells,1751
Tem/Effector helper T cells,1604
CRTAM+ gamma-delta T cells,1371
Naive B cells,1211
Memory B cells,1061
Plasma cells,1033
Non-classical monocytes,961
Mid erythroid,894
Cycling T&NK,816
MEMP,766
MAIT cells,704
Tcm/Naive cytotoxic T cells,698
CMP,636
Regulatory T cells,580
pDC precursor,524
CD16- NK cells,498
pDC,482
GMP,467
NAMPT neutrophils,443
Promyelocytes,400
Megakaryocyte precursor,397
Neutrophils,334
Follicular helper T cells,280
Mast cells,259
Plasmablasts,249
DC precursor,238
Early MK,216
DC2,201
ELP,154
Age-associated B cells,135
ETP,105
Late erythroid,77
DC1,73
Megakaryocytes/platelets,53
Erythrocytes,48
Small pre-B cells,42
