clusterName,NSForest_markers,f_score
Megakaryocytes/platelets,"['ENSG00000101162', 'ENSG00000163736']",0.960698689956332
Classical monocytes,"['ENSG00000038427', 'ENSG00000163221']",0.9135996612937368
Non-classical monocytes,"['ENSG00000166927', 'ENSG00000142089']",0.6991735537190082
Cycling T&NK,"['ENSG00000137804', 'ENSG00000137441']",0.766897746967071
CD16+ NK cells,"['ENSG00000115523', 'ENSG00000169583']",0.8057650777753435
CD16- NK cells,"['ENSG00000117281', 'ENSG00000196781', 'ENSG00000113088']",0.513136288998358
Tem/Temra cytotoxic T cells,"['ENSG00000137441', 'ENSG00000172116', 'ENSG00000115523']",0.7757735410992543
Tem/Trm cytotoxic T cells,"['ENSG00000172116', 'ENSG00000113088']",0.7331815471350355
CRTAM+ gamma-delta T cells,"['ENSG00000205810', 'ENSG00000227191', 'ENSG00000113088']",0.5285050159040862
MAIT cells,"['ENSG00000111796', 'ENSG00000139187', 'ENSG00000113088']",0.5626520681265207
Mid erythroid,"['ENSG00000075340', 'ENSG00000198336']",0.7091737150292778
Early erythroid,"['ENSG00000130208', 'ENSG00000168754']",0.7017543859649122
MEMP,"['ENSG00000125538', 'ENSG00000005961', 'ENSG00000119865', 'ENSG00000163751']",0.4676674364896074
Early MK,"['ENSG00000103175', 'ENSG00000049323']",0.7663316582914573
Plasmablasts,"['ENSG00000048462', 'ENSG00000171848']",0.7874519846350833
Plasma cells,"['ENSG00000115884', 'ENSG00000099958']",0.8099646065886197
Late erythroid,"['ENSG00000133069', 'ENSG00000004939']",0.8722741433021807
CD24 neutrophils,['ENSG00000118113'],0.9378668834100966
NAMPT neutrophils,"['ENSG00000162551', 'ENSG00000112303']",0.7491638795986622
Neutrophils,"['ENSG00000210082', 'ENSG00000163162', 'ENSG00000143546']",0.0930232558139534
Pro-B cells,"['ENSG00000107447', 'ENSG00000169575']",0.9084349993440902
ELP,"['ENSG00000132744', 'ENSG00000107447', 'ENSG00000169575', 'ENSG00000128040']",0.3222222222222222
ETP,['ENSG00000132744'],0.4380165289256198
pDC precursor,"['ENSG00000167483', 'ENSG00000166428', 'ENSG00000148154']",0.7612781954887218
DC precursor,"['ENSG00000014914', 'ENSG00000196141', 'ENSG00000184640', 'ENSG00000126759']",0.4411764705882353
Promyelocytes,"['ENSG00000005381', 'ENSG00000143546', 'ENSG00000124882']",0.3078817733990148
GMP,"['ENSG00000176076', 'ENSG00000182578', 'ENSG00000005381']",0.3173777315296566
Neutrophil-myeloid progenitor,"['ENSG00000100448', 'ENSG00000005381']",0.5491931285788652
CMP,"['ENSG00000163751', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000245848', 'ENSG00000128040']",0.4739978331527627
Erythrocytes,"['ENSG00000189316', 'ENSG00000253154', 'ENSG00000196632', 'ENSG00000124440', 'ENSG00000213088']",0.4347826086956521
Small pre-B cells,"['ENSG00000135144', 'ENSG00000107902']",0.5882352941176471
Naive B cells,['ENSG00000100721'],0.8552744794355532
Memory B cells,"['ENSG00000082438', 'ENSG00000156738']",0.5794254849005647
Age-associated B cells,"['ENSG00000184293', 'ENSG00000137101']",0.4034582132564842
DC2,"['ENSG00000168913', 'ENSG00000135549', 'ENSG00000131724']",0.6660412757973734
DC1,"['ENSG00000118292', 'ENSG00000173578']",0.7960199004975125
pDC,"['ENSG00000171611', 'ENSG00000230138']",0.7843894899536321
Mast cells,"['ENSG00000140287', 'ENSG00000105205']",0.8592910848549946
Megakaryocyte precursor,"['ENSG00000184226', 'ENSG00000163751', 'ENSG00000186998']",0.4079933388842631
HSC/MPP,['ENSG00000101200'],0.8589618021547503
Regulatory T cells,"['ENSG00000163599', 'ENSG00000139193', 'ENSG00000090104']",0.3992537313432835
Tem/Effector helper T cells,"['ENSG00000102871', 'ENSG00000165272', 'ENSG00000141232']",0.2834158415841584
Follicular helper T cells,"['ENSG00000102245', 'ENSG00000134352', 'ENSG00000122417']",0.2120535714285714
Tcm/Naive helper T cells,"['ENSG00000237943', 'ENSG00000184557']",0.7033437325013999
Tcm/Naive cytotoxic T cells,"['ENSG00000256039', 'ENSG00000126353', 'ENSG00000172116']",0.7294072363356428
