author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
Antigen presenting cell (RPS high),-0.05015215445489978,0.3172009635589283,-0.03480536965968266,821
B cell,0.20886432811212688,0.3846623450941122,0.4001092559317744,76
B cell (Plasmocyte),0.9018912496549555,0.12539489678619842,0.9159864909633559,210
CB CD34+,0.13898864751169557,0.2144173762564582,0.20987342349258314,23
Dendritic cell,0.40284361364823235,0.21656579534668735,0.4897900963557714,67
Erythroid cell,0.4443325565543174,0.303623197251324,0.6057945961928871,1580
Erythroid progenitor cell (RP high),0.19958512683355698,0.33239431106400796,0.3051059719753763,1437
Macrophage,0.5492501697403365,0.18077578711860137,0.6194556428475373,8
Monocyte,0.4039372744455252,0.3446215483459353,0.5454509970409583,29
Neutrophil,0.4336191692787678,0.19978720644192544,0.5058803442875407,3975
Neutrophil (RPS high),0.09856805176397804,0.26134664278626196,0.1592901308717002,406
T cell,0.5095705492412708,0.22900648910356627,0.5770581221248928,69
