clusterName,NSForest_markers,f_score,onTarget,precision,recall
Erythroid cell,"['HBA1', 'GYPB']",0.891245487364621,1.0,0.9352801894238358,0.75
Erythroid progenitor cell (RP high),"['HSPD1', 'HSPE1', 'AHSP']",0.567744854105406,0.6114044189453125,0.6729222520107239,0.3493389004871259
CB CD34+,"['SPINK2', 'NUCKS1', 'PPDPF', 'MACROH2A1']",0.4901960784313725,1.0,0.7142857142857143,0.217391304347826
B cell,"['VPREB1', 'CD79A']",0.625,1.0,0.7111111111111111,0.4210526315789473
Neutrophil (RPS high),"['ENO1', 'GAS5']",0.210691823899371,0.4194716513156891,0.2263513513513513,0.1650246305418719
T cell,"['ENSG00000277734', 'CD2']",0.6486486486486487,1.0,0.8275862068965517,0.3478260869565217
Neutrophil,['SRGN'],0.8252081702369938,1.0,0.9206034140531956,0.5833962264150944
Dendritic cell,"['HLA-DQA1', 'HLA-DPB1', 'HLA-DPA1']",0.5389221556886228,0.517792820930481,0.72,0.2686567164179104
Antigen presenting cell (RPS high),"['FCN1', 'ANXA2']",0.5683217070168239,0.4022373557090759,0.6856435643564357,0.3373934226552984
Monocyte,"['GPX1', 'FCN1', 'FOS']",0.4385964912280701,0.5926778316497803,0.7142857142857143,0.1724137931034483
Macrophage,"['SELENOP', 'CD5L']",0.8333333333333334,1.0,1.0,0.5
B cell (Plasmocyte),['MZB1'],0.7696897374701671,1.0,0.821656050955414,0.6142857142857143
