,Aberrant erythroid,CD11c+ memory B cells,CD4+ cytotoxic T cells,CD4+ memory T cells,CD4+ naive T cells,CD56brightCD16- NK cells,CD56dimCD16+ NK cells,CD69+PD-1+ memory CD4+ T cells,CD8+ central memory T cells,CD8+ effector memory T cells,CD8+ naive T cells,CD8+CD103+ tissue resident memory T cells,Class switched memory B cells,Classical Monocytes,Conventional dendritic cell 1,Conventional dendritic cell 2,Early erythroid progenitor,Early promyelocytes,Eosinophil-basophil-mast cell progenitors,Erythro-myeloid progenitors,GammaDelta T cells,HSCs & MPPs,Immature B cells,Late erythroid progenitor,Late promyelocytes,Lymphomyeloid prog,Mature naive B cells,Megakaryocyte progenitors,Mesenchymal cells_1,Myelocytes,NK T cells,NK cell progenitors,Non-classical monocytes,Nonswitched memory B cells,Plasma cells,Plasmacytoid dendritic cell progenitors,Plasmacytoid dendritic cells,Pre-B cells,Pre-pro-B cells,Pro-B cells
ACTG1,0.0,0.03482545644809038,0.029944170743991166,0.07069701720506717,0.07444612032327896,0.07561431786952874,0.055624544620513916,0.06824452449113895,0.05678334908607679,0.05033583518786308,0.09952299105815399,0.07101477415133746,0.039896127505180165,0.06738628026766655,0.15457567037680212,0.113701798976996,0.0996586955510653,0.15643638372421265,0.11382546791663536,0.16209674798525298,0.06569615082863049,0.12021149733127692,0.07291942070692013,0.025999704996744793,0.1628770568431952,0.1199759046236674,0.02564102564102564,0.14244900299952581,0.15494650908005544,0.10321131577858558,0.04380580706474108,0.10294689887609237,0.07011359624373607,0.029330166486593392,0.031135441401065923,0.22682245725240463,0.13623327016830444,0.19557097936287904,0.263301629286546,0.19508695296752146
ADGRG1,0.0,0.0,0.8145344639435793,0.0,0.0,0.0,0.8493062624564538,0.0,0.0,0.8195692468912174,0.0,0.0,0.0,0.0,0.0,0.0,0.7725460284795517,0.0,0.0,0.7834744652112325,0.0,0.7829627455809177,0.0,0.7692307692307693,0.0,0.7738960568721478,0.0,0.7806230737612798,0.0,0.0,0.0,0.8053362308404385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031281535442059,0.6113486030162909,0.6061989405216315,0.5641025641025641,0.6320714919995039,0.5907635169151502,0.6426806755554981,0.0,0.6694422501784104,0.0,0.0,0.6120308805734683,0.6522795817790887,0.0,0.621244687300462,0.0,0.5856080039953574,0.0,0.5943734798675928,0.6980154162798172,0.0,0.0,0.5860164517011398,0.0,0.5725967242167547,0.6344227148936346,0.5791936165247208
ANKRD28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9381254514058431,0.0,0.0,0.0,0.0,0.9229175326151725,0.0,0.9143725908719577,0.0,0.9206694609079605,0.0,0.0,0.0,0.0,0.0,0.8974358974358975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951472374109122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0
ANP32E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7582693130542071,0.0,0.7753984332084656,0.7435897435897436,0.7531636815804702,0.0,0.0,0.0,0.0,0.7890884295488015,0.7509565108861679,0.7507534974660629,0.0,0.7776925777777647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843210712457315,0.0,0.8466514089168646,0.0,0.7871644405218271
ANXA2,0.0,0.0,0.7030861133184189,0.0,0.0,0.0,0.0,0.7030731561856393,0.0,0.6864253420096177,0.0,0.0,0.6749390394259722,0.7303356757530799,0.7681900079433734,0.7521728506455054,0.0,0.0,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,0.7280708704239283,0.0,0.0,0.0,0.7419245273638995,0.7385510099239838,0.0,0.0,0.732790911808992,0.0,0.653880299665989,0.659777833865239,0.6693257353244684,0.0,0.0,0.0
AOAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.9749292272787827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREG,0.0,0.0,0.0,0.0,0.0,0.9046074625773307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8572680277702136,0.8461538461538461,0.0,0.8578046606137202,0.0,0.0,0.0,0.8578408131232629,0.0,0.0,0.0,0.8603556675788684,0.0,0.0,0.0,0.0,0.0,0.9085814310954168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5IF1,0.0,0.0,0.17094986866682005,0.1667325496673584,0.1943527674063658,0.1540226936340332,0.16660311130376962,0.25817504143103576,0.17824400541109917,0.1691929911955809,0.15357596751971123,0.16207110423308152,0.13001812115693703,0.10256410256410256,0.12830152114232382,0.1135480373333662,0.3692327325160687,0.1666129475984818,0.16613413431705573,0.14921589845266098,0.18054454296063155,0.13464536116673395,0.0,0.49145363691525584,0.13465526012273935,0.17301175686029288,0.0,0.22587233017652464,0.13202193761483216,0.10511892575484055,0.22274639056279108,0.12233318579502594,0.10558887169911312,0.1277263974532103,0.1332675325564849,0.16478175077682886,0.1420658887960972,0.17700152825086546,0.13803952015363252,0.1396683347530854
AURKB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.9951915374168983,0.0,0.0
AZU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2M,0.0,0.08351364502540001,0.150418038551624,0.11318687750742985,0.09463303822737473,0.1119313209484785,0.15414770138569367,0.14462101306670752,0.1428357102932074,0.1381397232031211,0.10065933221425766,0.12063265763796292,0.07497967053682376,0.05604932858393742,0.0284923391464429,0.03454815577238034,0.01976848107117873,0.031040767828623455,0.013717995240138127,0.01855418162468152,0.12591994267243606,0.02487902916394747,0.05860325312003111,0.01079249993348733,0.017891222085708227,0.03211803314013359,0.043978574948433116,0.018631702814346705,0.09936395822427212,0.01871299285155076,0.126510100486951,0.08955750862757365,0.07872626414665809,0.07180781700672248,0.0205267316255814,0.052844701669155024,0.07837645824138935,0.019812154464232616,0.03807843801302788,0.019233321532224998
BIRC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9249722025333307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9282045945143088,0.0,0.9549947319886624,0.0,0.9230769230769231
BLM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLVRB,0.8599160680404077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8055076033641131,0.7731541991233826,0.772290764710842,0.8654134793159289,0.0,0.0,0.0,0.0,0.0,0.0,0.8931497885630681,0.7717697116044852,0.0,0.0,0.7692307692307693,0.8013145831915048,0.7953291917458559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9015571688994383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9389241521175091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9078839069757706,0.0,0.9044227004051208,0.0,0.0,0.8974358974358975,0.0,0.0
BUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830511273481907,0.0,0.0
C12orf75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316952518927746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409821094610752,0.949732590944339,0.9230769230769231,0.0,0.0
SNHG32,0.0,0.18932596842447916,0.0,0.2148467760819655,0.3135080566773048,0.19838277193216178,0.0,0.0,0.16367785288737371,0.0,0.30696939810728413,0.20884035031000772,0.21507969727882972,0.16598539933180198,0.2032073736190796,0.19155513323270357,0.3140857693476555,0.31269874481054455,0.3065287669499715,0.39372357496848476,0.16188732935832098,0.3829037547111511,0.22010222000953478,0.19803020128836998,0.21451096809827364,0.3203423084356846,0.20850133131711912,0.3025852074989906,0.19884144954192332,0.16746047062751573,0.0,0.327968955039978,0.1681553385196588,0.20817067684271398,0.15384615384615385,0.24955256168658918,0.22833914328844118,0.2307337461373745,0.32168463560251087,0.24883254521932358
CALM1,0.0,0.0,0.7859943065887842,0.7492416546894953,0.0,0.7545191844304403,0.7522617288124867,0.0,0.0,0.7888438151432917,0.0,0.7610726295373379,0.0,0.0,0.7193857538394439,0.0,0.0,0.0,0.0,0.0,0.7755600122305063,0.0,0.0,0.7049873822774643,0.0,0.0,0.0,0.0,0.0,0.0,0.8100855778425168,0.6923076923076923,0.0,0.0,0.0,0.7042010640486692,0.0,0.7143224752866305,0.0,0.0
CAMK1D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CASP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528893538010426,0.0,0.9235511299891349,0.0,0.0,0.0,0.0,0.9465943483205942,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASP8AP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAVIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8845928540596595,0.0,0.0,0.8885754438546988,0.0,0.0,0.0,0.8717948717948718,0.0,0.0,0.0,0.9023641928648337,0.945711999367445,0.0,0.0,0.8879823699975625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958318346585983,0.0,0.8108036044316415,0.7948717948717948,0.0,0.0,0.0,0.0,0.0,0.8289593794406989,0.0,0.8115944006504157,0.0,0.8094656054790204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8145350691599723,0.0,0.8439151766972665,0.0,0.8431288126187447
CCDC50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616966247558594,0.9675979094627576,0.0,0.0,0.0
CCNB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9595126204001598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.0,0.9670043282019787,0.0,0.0
CCR7,0.0,0.0,0.0,0.0,0.9783377280602088,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9790343076754839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9812267010028546,0.0,0.9743589743589743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD164,0.0,0.22199767522322825,0.16316521473419973,0.1267761481113923,0.1733847596706488,0.19394567838081947,0.24431173159525946,0.0,0.14333767768664238,0.14598923310255393,0.12976199235671607,0.14456992424451387,0.10400592669462547,0.11581489061697936,0.12965112466078538,0.12483312227787116,0.278871415517269,0.16126014177615827,0.1610809136659671,0.4263170010004288,0.13172274675124732,0.411379921130645,0.0,0.2051068345705668,0.10786314499683869,0.3543248971303304,0.0,0.40586824294848317,0.22636870390329605,0.11571666980401063,0.18243797161640266,0.36629099112290603,0.11914749023241875,0.10894220150434054,0.10256410256410256,0.2156870288726611,0.35054810841878253,0.1385208200185727,0.12360065258466281,0.1401998691069774
CD19,0.0,0.9168514471787673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8719258094445254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952349026997884,0.0,0.0,0.0,0.8650980011010782,0.0,0.0,0.0,0.0,0.0,0.0,0.8860228611872747,0.8461538461538461,0.0,0.0,0.8607126535513462,0.0,0.0
