clusterName,NSForest_markers,f_score,onTarget,precision,recall
Plasma cells,"['JUN', 'MZB1']",0.8516483516483516,0.3030253052711487,0.96875,0.5740740740740741
Immature B cells,"['TCL1A', 'CD72']",0.4600811907983761,0.4925889372825622,0.5375494071146245,0.2918454935622318
Mature naive B cells,"['IL4R', 'TCL1A']",0.8487967526819368,0.6203206777572632,0.9629934210526316,0.5757128810226155
Nonswitched memory B cells,"['MS4A1', 'JCHAIN']",0.4439959636730575,0.1420432925224304,0.4543288324066719,0.4069726076129491
Class switched memory B cells,"['CD24', 'SEL1L3', 'CD79B']",0.2661279979479287,0.1594101190567016,0.2614996849401386,0.2864044168391994
CD11c+ memory B cells,"['CD19', 'MS4A1', 'ITGAX']",0.4251012145748988,0.2235337048768997,0.5833333333333334,0.203883495145631
Mesenchymal cells_1,['CXCL12'],0.958904109589041,1.0,1.0,0.8235294117647058
Aberrant erythroid,"['RHAG', 'HBD', 'CA1']",0.4943502824858757,0.4263365566730499,0.813953488372093,0.1923076923076923
CD8+ naive T cells,"['CD8B', 'CCR7', 'CD8A', 'CD27']",0.4049135577797998,0.352224200963974,0.4684210526315789,0.2625368731563421
CD4+ naive T cells,"['CCR7', 'CD4']",0.2915951972555746,0.3219531178474426,0.3279742765273312,0.201980198019802
CD4+ memory T cells,"['IL7R', 'CD4', 'IL32']",0.7414522956691632,0.1018504425883293,0.8433333333333334,0.4998902305159166
CD69+PD-1+ memory CD4+ T cells,"['ITGAL', 'CD27', 'ENSG00000277734', 'DUSP2', 'GZMA']",0.0694444444444444,0.1188203319907188,0.0631578947368421,0.1153846153846153
CD8+CD103+ tissue resident memory T cells,"['CD8A', 'CD27', 'IL7R', 'ENSG00000277734']",0.4866726564839772,0.1694492995738983,0.5425709515859767,0.344644750795334
CD8+ central memory T cells,"['CD8A', 'GZMA', 'DUSP2', 'ENSG00000277734']",0.4268292682926829,0.1095377504825592,0.4690265486725664,0.3138747884940778
NK T cells,"['ENSG00000211829', 'DUSP2', 'GZMA']",0.2571770334928229,0.1278796643018722,0.2514619883040935,0.2828947368421052
CD8+ effector memory T cells,"['GNLY', 'CD8A', 'ENSG00000227191']",0.6121540402166654,0.2205927670001983,0.6798516687268232,0.4377819050145927
GammaDelta T cells,"['ENSG00000211829', 'IL7R', 'ENSG00000227191']",0.5662909286097692,0.1362190395593643,0.705685618729097,0.3163418290854572
CD4+ cytotoxic T cells,"['GNLY', 'KLRB1', 'ITGB1', 'ADGRG1']",0.1551724137931034,0.1607572138309478,0.1744186046511628,0.1076555023923445
CD56brightCD16- NK cells,"['ENSG00000211829', 'ITGAX', 'AREG']",0.4807692307692308,0.2099173814058303,0.7407407407407407,0.2
CD56dimCD16+ NK cells,"['FCGR3A', 'ENSG00000211829']",0.8510367960967676,0.267474889755249,0.9198022521285362,0.6551251956181534
Lymphomyeloid prog,"['SPARC', 'SPINK2', 'FLT3']",0.5722278738555443,0.1696822494268417,0.6075607560756076,0.4642365887207703
Megakaryocyte progenitors,"['MPL', 'ITGA2B']",0.6485992691839221,0.4138122797012329,0.8729508196721312,0.3198198198198198
Erythro-myeloid progenitors,"['TESPA1', 'CRHBP', 'CPA3']",0.5304276315789473,0.264180064201355,0.712707182320442,0.2621951219512195
Eosinophil-basophil-mast cell progenitors,"['PRG2', 'HDC']",0.8702290076335878,1.0,1.0,0.5728643216080402
HSCs & MPPs,"['CRHBP', 'SPINK2']",0.7261709120788825,0.2586427927017212,0.7225344915687276,0.7410901467505241
NK cell progenitors,"['FCGR3A', 'CRHBP', 'MSRB3', 'KLRB1']",0.7051282051282052,0.2639770209789276,0.8461538461538461,0.4230769230769231
Conventional dendritic cell 2,"['CD1C', 'HLA-DQB1', 'CD33', 'ITGAX']",0.5291970802919708,0.4725683033466339,0.7397959183673469,0.2474402730375426
Classical Monocytes,"['CD163', 'CD14']",0.7992578849721707,0.5637357831001282,0.8290993071593533,0.6986701265001621
Myelocytes,"['S100A8', 'RNASE2']",0.5931835449907739,0.2137841582298278,0.5596518177163339,0.7801570306923626
Non-classical monocytes,"['MS4A7', 'FCGR3A']",0.837730870712401,0.5760504603385925,0.9980353634577604,0.5100401606425703
Pre-pro-B cells,"['VPREB1', 'DDIT4']",0.4054054054054054,0.2172353267669677,0.6,0.1764705882352941
Plasmacytoid dendritic cell progenitors,"['IL3RA', 'TOP2A']",0.5894145950280674,0.3361275196075439,0.8698224852071006,0.2574430823117338
Plasmacytoid dendritic cells,"['UGCG', 'JCHAIN']",0.7126696832579186,0.3956722617149353,0.9333333333333332,0.3662790697674418
Late promyelocytes,"['MPO', 'CSTA']",0.7328167115902965,0.3425325751304626,0.7712765957446809,0.6109550561797753
Conventional dendritic cell 1,"['C12orf75', 'RNASE2', 'FCER1A', 'TGFBI']",0.7261640798226164,0.1550943851470947,0.8632619439868204,0.4440677966101695
Early erythroid progenitor,"['CASP3', 'ITGA2B', 'IL1B']",0.7352219769438313,0.2940404117107391,0.7730496453900709,0.6148717948717949
Late erythroid progenitor,"['DTL', 'AHSP']",0.863857982247781,0.7864524126052856,0.9044502617801048,0.7323794382617912
Pre-B cells,"['CENPA', 'MME']",0.6532258064516129,0.7498247623443604,0.826530612244898,0.3552631578947368
Pro-B cells,"['DNTT', 'VPREB1']",0.5542168674698795,0.454368531703949,0.5476190476190477,0.5822784810126582
Early promyelocytes,"['MPO', 'SPINK2']",0.6956172094893446,0.3405337333679199,0.8987012987012987,0.365364308342133
