Cell_label,mean,std,median,count,q1,q3,f_score
Mesenchymal cells_1,0.9885599141056661,0.007967405360989192,0.9922593272112774,17,0.989863134809496,0.9927239692725544,0.958904109589041
NK cell progenitors,0.7716750222975158,0.3432106261821175,0.880881967391779,26,0.8581145771003283,0.8868864126363967,0.7051282051282052
Plasma cells,0.8327636514454648,0.23466407026542488,0.878209464389365,486,0.8514555385451305,0.8943107414214373,0.8516483516483516
Aberrant erythroid,0.6950657008005808,0.2186388267082673,0.7686108382420809,182,0.6633179146869802,0.8046212349124012,0.4943502824858757
Non-classical monocytes,0.6649483199293443,0.2227159242363105,0.7150979351382326,996,0.6620041509934038,0.7474628988897098,0.837730870712401
Immature B cells,0.6301072486980882,0.21931375366129371,0.7086824599687284,466,0.6347897879835503,0.7414727564709469,0.4600811907983761
Plasmacytoid dendritic cells,0.6549148808349425,0.16995122274589222,0.7014331154296813,344,0.6258692644279504,0.7392373193018571,0.7126696832579186
Eosinophil-basophil-mast cell progenitors,0.4447328047742968,0.4408037564871237,0.6560764188079147,199,0.569553329077388,0.6843146761827099,0.8702290076335878
CD8+ naive T cells,0.516724672418764,0.2765231546603718,0.6391640855342262,339,0.4971222471166834,0.6843508779228396,0.4049135577797998
Conventional dendritic cell 2,0.40698741870368915,0.34883336476636234,0.5604054531151819,586,0.3991069971597135,0.6083304249170318,0.5291970802919708
Erythro-myeloid progenitors,0.4520199855513595,0.2542042374835172,0.5575306866589752,492,0.40643627419930717,0.6101380364126392,0.5304276315789473
Pre-pro-B cells,0.4023880872606731,0.2464188414541007,0.5473499084839135,17,0.2574871327729871,0.5806768834754129,0.4054054054054054
Late erythroid progenitor,0.4175269010182637,0.25684283593495977,0.5210005453312866,1887,0.36482572241627925,0.57629213082069,0.863857982247781
HSCs & MPPs,0.36666743353620174,0.27917130184821504,0.48247404215629575,1908,0.24773848280745658,0.5669493423157758,0.7261709120788825
CD4+ cytotoxic T cells,0.3385011340365949,0.30822604744583365,0.4763349357668567,418,0.33212005701004416,0.5298410298615293,0.1551724137931034
Mature naive B cells,0.38237098480337733,0.21181358415787532,0.4497528602566716,4068,0.2969980187209808,0.5269348769116706,0.8487967526819368
Pre-B cells,0.3207421174775528,0.2980897228464158,0.4448600309107006,456,0.27171955784983115,0.5147753012869957,0.6532258064516129
Classical Monocytes,0.3372136369797292,0.2094647900215419,0.4051238646226331,3083,0.2760853708826394,0.4851265533296911,0.7992578849721707
CD11c+ memory B cells,0.2833150975137777,0.2423770747043548,0.4023838886272698,103,0.167726443965991,0.4659525153497326,0.4251012145748988
CD56brightCD16- NK cells,0.33930476501121243,0.16611622964876493,0.37805672468089013,300,0.2600022900757144,0.46800248938594324,0.4807692307692308
Early erythroid progenitor,0.30130504912563094,0.24314859314114382,0.3619730177735388,1950,0.1607410168699316,0.4982645438933284,0.7352219769438313
CD4+ naive T cells,0.25661755061129743,0.23659831816702487,0.3458379319620574,505,0.1755519371380819,0.4196252197187701,0.2915951972555746
Plasmacytoid dendritic cell progenitors,0.22574409771703044,0.25030392891292236,0.2901811284207023,571,0.1791661428352745,0.405597862637586,0.5894145950280674
Megakaryocyte progenitors,0.1361224841082893,0.33588288312427117,0.2538938874532525,666,-0.0237566542123404,0.3950981331579454,0.6485992691839221
Pro-B cells,0.14536179110306585,0.30905953642193257,0.23219559820490093,474,0.05756381241429065,0.3754990021798124,0.5542168674698795
Early promyelocytes,0.11694415187933381,0.34057884195583854,0.2183479830255996,947,-0.18358358633299127,0.40946627299942084,0.6956172094893446
Late promyelocytes,0.09247716589493761,0.2908495285335247,0.20587467794593856,712,-0.21384828222197394,0.35025846223884094,0.7328167115902965
CD8+ effector memory T cells,0.10820172844343322,0.2998619246339881,0.2008132688263345,3769,-0.0473559204073798,0.3518780088482459,0.6121540402166654
Conventional dendritic cell 1,0.10459214052702476,0.281034744931494,0.19231900278300862,1180,0.0135093612594006,0.29706956647022226,0.7261640798226164
CD4+ memory T cells,0.10217868592149104,0.27719047944457714,0.1892665009608396,4555,-0.0706793427749085,0.3268427097764386,0.7414522956691632
CD69+PD-1+ memory CD4+ T cells,0.015836054206884588,0.2659606592886614,0.04720425777466135,52,-0.19080508940474045,0.25161586101288325,0.0694444444444444
NK T cells,0.012874883410463717,0.18542386937229505,0.038823808507245594,152,-0.08885983113008296,0.16938733432205996,0.2571770334928229
Lymphomyeloid prog,-0.04248054332873849,0.30531244646215283,0.032514686073064306,1454,-0.23808227206185592,0.20529231654661606,0.5722278738555443
GammaDelta T cells,-0.07065659597931476,0.3220572469537887,0.0213136345378343,667,-0.36259216508553854,0.2195856147114399,0.5662909286097692
Myelocytes,-0.05865073946509283,0.24642143342305603,-0.027527783587832,1401,-0.248171817444885,0.1458002436418555,0.5931835449907739
CD8+ central memory T cells,-0.05764296320562038,0.16453845126102018,-0.0298758689791236,2364,-0.15587520031689667,0.07732965055379437,0.4268292682926829
CD56dimCD16+ NK cells,-0.07397305230529475,0.21797208280145813,-0.033102705501707755,5112,-0.19413535790611863,0.10394420810784571,0.8510367960967676
Class switched memory B cells,-0.05443274557005334,0.2286637593351405,-0.0540817257050114,1449,-0.2261854090098726,0.1441330710987291,0.2661279979479287
Nonswitched memory B cells,-0.09833168836128171,0.2694699793117106,-0.0705742964462768,2811,-0.31852435174417454,0.14709769950899015,0.4439959636730575
CD8+CD103+ tissue resident memory T cells,-0.2936137301366076,0.20529941831224743,-0.2969443611092939,1886,-0.43308176978198876,-0.13177946569862917,0.4866726564839772
