clusterName,gene
macrophage,ENSG00000133800
macrophage,ENSG00000159189
monocyte_classical,ENSG00000163221
monocyte_classical,ENSG00000038427
monocyte_classical,ENSG00000163220
cd8_tem,ENSG00000100450
cd8_tem,ENSG00000172116
cd8_tem,ENSG00000153563
cd8_temra,ENSG00000172116
cd8_temra,ENSG00000134539
cd3_gd,ENSG00000211829
cd3_gd,ENSG00000139187
ilc1,ENSG00000167664
ilc1,ENSG00000152818
nk_cd56dim,ENSG00000150045
nk_cd56dim,ENSG00000203747
nk_ilc_precursor,ENSG00000143185
nk_ilc_precursor,ENSG00000161835
nk_ilc_precursor,ENSG00000115523
nk_cd56br,ENSG00000100385
nk_cd56br,ENSG00000187118
nk_cd56br,ENSG00000113088
ilc3,ENSG00000157404
mast_cell,ENSG00000197253
mast_cell,ENSG00000172236
progenitor,ENSG00000223609
progenitor,ENSG00000145335
cd4_treg,ENSG00000049768
cd4_treg,ENSG00000163599
cd4_cm,ENSG00000109452
cd4_cm,ENSG00000172005
cd4_naive,ENSG00000237943
cd4_naive,ENSG00000126353
cd8_naive,ENSG00000256039
cd8_naive,ENSG00000126353
cd8_naive,ENSG00000138795
cd8_trm,ENSG00000113088
cd8_trm,ENSG00000090104
cd8_trm,ENSG00000153563
cd4_trm,ENSG00000153283
cd4_trm,ENSG00000179820
cd4_trm,ENSG00000111796
cd8_mait,ENSG00000144290
cd8_mait,ENSG00000256553
cd4_tem,ENSG00000013725
cd4_tem,ENSG00000113088
cd4_tem,ENSG00000168685
cd8_cm,ENSG00000153563
cd8_cm,ENSG00000150093
cd8_cm,ENSG00000129824
cd8_cm,ENSG00000141232
cd8_cm,ENSG00000110324
cd4_temra,ENSG00000013725
cd4_temra,ENSG00000100450
cd4_temra,ENSG00000150093
plasma_cell,ENSG00000115884
plasma_cell,ENSG00000061656
plasmablast,ENSG00000048462
plasmablast,ENSG00000101057
b_gc,ENSG00000128322
b_gc,ENSG00000136237
pdc,ENSG00000239961
pdc,ENSG00000105251
dc2,ENSG00000135549
dc2,ENSG00000167641
dc2,ENSG00000179639
dc1,ENSG00000197992
dc1,ENSG00000276600
b_age,ENSG00000105926
b_age,ENSG00000070190
b_age,ENSG00000140391
b_memory,ENSG00000085117
b_memory,ENSG00000153064
b_naive,ENSG00000100721
monocyte_nonclassical,ENSG00000148737
monocyte_nonclassical,ENSG00000224397
monocyte_nonclassical,ENSG00000187116
monocyte_nonclassical,ENSG00000197249
