clusterName,NSForest_markers,f_score,onTarget,precision,recall
macrophage,"['LYVE1', 'C1QC']",0.6821629822280018,0.8767225742340088,0.7762022194821209,0.4594890510948905
monocyte_classical,"['S100A12', 'VCAN', 'S100A9']",0.8653419267923026,0.5791723728179932,0.8933227973133149,0.7689953064417386
cd8_tem,"['GZMH', 'CD8B', 'CD8A']",0.4281776232995745,0.2076053172349929,0.4163348548120812,0.4831511326496112
cd8_temra,"['CD8B', 'KLRD1']",0.5281612216105563,0.1601589918136596,0.5064995357474467,0.6371600200233606
cd3_gd,"['ENSG00000211829', 'KLRG1']",0.3149297980645522,0.5933841466903687,0.3030139935414424,0.3737139064055758
ilc1,"['TMIGD2', 'UTRN']",0.1470588235294117,0.246591180562973,1.0,0.0333333333333333
nk_cd56dim,"['KLRF1', 'FCGR3A']",0.8122584473274853,0.3611559271812439,0.881367729586288,0.6183238723066593
nk_ilc_precursor,"['XCL2', 'TAMALIN', 'GNLY']",0.2444161831332962,0.1989542245864868,0.2677405311275577,0.1812555260831123
nk_cd56br,"['IL2RB', 'CMC1', 'GZMK']",0.4027842953230095,0.2874478101730346,0.5684326710816777,0.1859877211989888
ilc3,['KIT'],0.2727272727272727,0.6570045351982117,0.2758620689655172,0.2608695652173913
mast_cell,"['TPSB2', 'TPSAB1']",0.8143322475570033,1.0,0.8620689655172413,0.6666666666666666
progenitor,"['HBD', 'SNCA']",0.8098947064762729,1.0,0.9924001413927184,0.466633424748608
cd4_treg,"['FOXP3', 'CTLA4']",0.7754519505233112,1.0,0.9421965317919077,0.4540389972144846
cd4_cm,"['INPP4B', 'MAL']",0.3896802899278768,0.7343222498893738,0.4137142857142857,0.3162032319114864
cd4_naive,"['PRKCQ-AS1', 'CCR7']",0.5058505627448063,0.4078907966613769,0.4947866149369544,0.5555404301660768
cd8_naive,"['LINC02446', 'CCR7', 'LEF1']",0.7499493619607048,0.3955127298831939,0.8964891041162227,0.4534598897734231
cd8_trm,"['GZMK', 'RGS1', 'CD8A']",0.2946428571428571,0.2138256579637527,0.324945295404814,0.2145953757225433
cd4_trm,"['CD96', 'MYADM', 'KLRB1']",0.0809248554913294,0.1585396379232406,0.1228070175438596,0.0342298288508557
cd8_mait,"['SLC4A10', 'ENSG00000256553']",0.5379632961496942,1.0,0.7002341920374707,0.2791783380018674
cd4_tem,"['CD6', 'GZMK', 'IL7R']",0.2921912215039129,0.1829326003789901,0.3535769428718476,0.1724397590361445
cd8_cm,"['CD8A', 'ITGB1', 'RPS4Y1', 'TOB1', 'IL10RA']",0.0820161049806143,0.1323876529932022,0.0829562594268476,0.0784593437945791
cd4_temra,"['CD6', 'GZMH', 'ITGB1']",0.3066190785204413,0.2590853571891784,0.3580901856763925,0.1946847960444993
plasma_cell,"['SDC1', 'SPAG4']",0.8121019108280255,1.0,0.8623188405797102,0.6586715867158671
plasmablast,"['TNFRSF17', 'MYBL2']",0.8377474212433789,0.6385019421577454,0.9662379421221864,0.5468607825295724
b_gc,"['IGLL1', 'RAPGEF5']",0.4794520547945205,1.0,0.5384615384615384,0.3333333333333333
pdc,"['LILRA4', 'SHD']",0.9037711313394018,1.0,0.9788732394366196,0.6915422885572139
dc2,"['PKIB', 'PPP1R14A', 'FCER1A']",0.6495098039215687,0.3995319604873657,0.7794117647058824,0.3897058823529412
dc1,"['CLEC9A', 'RAB7B']",0.8282208588957055,1.0,1.0,0.4909090909090909
b_age,"['PALS2', 'DAPP1', 'TSPAN3']",0.4585152838427948,0.4805695712566376,0.8076923076923077,0.168
b_memory,"['CD82', 'BANK1']",0.6004213483146067,0.4470718502998352,0.6483412322274882,0.4634146341463415
b_naive,['TCL1A'],0.8728673131213944,0.3358755111694336,0.9398645299851314,0.6792024832855779
monocyte_nonclassical,"['TCF7L2', 'PELATON', 'LILRA5', 'SERPINA1']",0.7042698998418555,0.6515176296234131,0.8658457550226831,0.403259885300332
