software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,Pro-B cells,1751,0.9084349993440902,0.9434604904632152,0.7909765848086807,64779,83,366,1385,2,"['ENSG00000107447', 'ENSG00000169575']","['ENSG00000161544', 'ENSG00000107447', 'ENSG00000164330', 'ENSG00000169575', 'ENSG00000147905', 'ENSG00000276043', 'ENSG00000196549', 'ENSG00000128218', 'ENSG00000128322', 'ENSG00000105369']",0.5043537020683289
4.1,Curated_annotation,ELP,154,0.3222222222222222,0.3918918918918919,0.1883116883116883,66414,45,125,29,4,"['ENSG00000132744', 'ENSG00000107447', 'ENSG00000169575', 'ENSG00000128040']","['ENSG00000172260', 'ENSG00000069188', 'ENSG00000132744', 'ENSG00000107447', 'ENSG00000169575', 'ENSG00000128040', 'ENSG00000124813', 'ENSG00000122025', 'ENSG00000182557', 'ENSG00000095932']",0.2524556517601013
4.1,Curated_annotation,ETP,105,0.4380165289256198,0.424,0.5047619047619047,66436,72,52,53,1,['ENSG00000132744'],"['ENSG00000132744', 'ENSG00000134324', 'ENSG00000167799', 'ENSG00000100055', 'ENSG00000124813', 'ENSG00000128040', 'ENSG00000132465', 'ENSG00000102804', 'ENSG00000020633', 'ENSG00000198520']",0.741899847984314
4.1,Curated_annotation,pDC precursor,524,0.7612781954887218,0.9067164179104478,0.4637404580152672,66064,25,281,243,3,"['ENSG00000167483', 'ENSG00000166428', 'ENSG00000148154']","['ENSG00000167483', 'ENSG00000136425', 'ENSG00000292332', 'ENSG00000152492', 'ENSG00000166428', 'ENSG00000148154', 'ENSG00000269404', 'ENSG00000235162', 'ENSG00000125354', 'ENSG00000140968']",0.2197898477315902
4.1,Curated_annotation,DC precursor,238,0.4411764705882353,0.6,0.2142857142857142,66341,34,187,51,4,"['ENSG00000014914', 'ENSG00000196141', 'ENSG00000184640', 'ENSG00000126759']","['ENSG00000014914', 'ENSG00000176076', 'ENSG00000196141', 'ENSG00000184640', 'ENSG00000179583', 'ENSG00000126759', 'ENSG00000111275', 'ENSG00000166428', 'ENSG00000182718', 'ENSG00000235162']",0.2911158800125122
4.1,Curated_annotation,Promyelocytes,400,0.3078817733990148,0.4854368932038835,0.125,66160,53,350,50,3,"['ENSG00000005381', 'ENSG00000143546', 'ENSG00000124882']","['ENSG00000070214', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000169385', 'ENSG00000143546', 'ENSG00000124882', 'ENSG00000163220', 'ENSG00000121552', 'ENSG00000090382', 'ENSG00000105472']",0.143625795841217
4.1,Curated_annotation,GMP,467,0.3173777315296566,0.3029801324503311,0.3918629550321199,65725,421,284,183,3,"['ENSG00000176076', 'ENSG00000182578', 'ENSG00000005381']","['ENSG00000176076', 'ENSG00000124491', 'ENSG00000182578', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000008394', 'ENSG00000166428', 'ENSG00000112799', 'ENSG00000102524', 'ENSG00000169385']",0.2452850341796875
4.1,Curated_annotation,Neutrophil-myeloid progenitor,2022,0.5491931285788652,0.5328282828282829,0.6261127596439169,63481,1110,756,1266,2,"['ENSG00000100448', 'ENSG00000005381']","['ENSG00000169397', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000008394', 'ENSG00000105472', 'ENSG00000169385', 'ENSG00000128322', 'ENSG00000185198', 'ENSG00000182557', 'ENSG00000095932']",0.2627307176589966
4.1,Curated_annotation,CMP,636,0.4739978331527627,0.4581151832460733,0.550314465408805,65563,414,286,350,5,"['ENSG00000163751', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000245848', 'ENSG00000128040']","['ENSG00000163751', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000245848', 'ENSG00000128040', 'ENSG00000008394', 'ENSG00000128322', 'ENSG00000136997', 'ENSG00000124882', 'ENSG00000095932']",0.2274589836597442
4.1,Curated_annotation,Erythrocytes,48,0.4347826086956521,0.7272727272727273,0.1666666666666666,66562,3,40,8,5,"['ENSG00000189316', 'ENSG00000253154', 'ENSG00000196632', 'ENSG00000124440', 'ENSG00000213088']","['ENSG00000189316', 'ENSG00000253154', 'ENSG00000196632', 'ENSG00000269600', 'ENSG00000124440', 'ENSG00000213088', 'ENSG00000047597', 'ENSG00000135045', 'ENSG00000168754', 'ENSG00000163554']",1.0
