software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,AuthorCellType,CD4 Effector Memory,7361,0.3766683143845774,0.3978419770274974,0.3105556310283929,252338,3460,5075,2286,3,"['ENSG00000069667', 'ENSG00000168685', 'ENSG00000111796']","['ENSG00000069667', 'ENSG00000168685', 'ENSG00000111796', 'ENSG00000118503', 'ENSG00000213145', 'ENSG00000277734', 'ENSG00000198851', 'ENSG00000167286', 'ENSG00000227507', 'ENSG00000008517']",0.2050922811031341
4.1,AuthorCellType,CD4 Naive,24063,0.4316302158151079,0.4340912976577192,0.4220587624153264,225856,13240,13907,10156,2,"['ENSG00000173762', 'ENSG00000142546']","['ENSG00000081059', 'ENSG00000100100', 'ENSG00000160654', 'ENSG00000168685', 'ENSG00000173762', 'ENSG00000142546', 'ENSG00000104660', 'ENSG00000198851', 'ENSG00000277734', 'ENSG00000167286']",0.1070530265569686
4.1,AuthorCellType,CD8 Naive,8502,0.5011184068114583,0.5782681099084097,0.3267466478475653,252631,2026,5724,2778,3,"['ENSG00000172116', 'ENSG00000139193', 'ENSG00000173762']","['ENSG00000071073', 'ENSG00000100100', 'ENSG00000172116', 'ENSG00000139193', 'ENSG00000168685', 'ENSG00000173762', 'ENSG00000142546', 'ENSG00000104660', 'ENSG00000198851', 'ENSG00000277734']",0.2456124275922775
4.1,AuthorCellType,Cycling Progenitor,9366,0.4192600779477634,0.4609849696194436,0.3078155028827674,250422,3371,6483,2883,4,"['ENSG00000237819', 'ENSG00000092621', 'ENSG00000110492', 'ENSG00000119535']","['ENSG00000237819', 'ENSG00000092621', 'ENSG00000110492', 'ENSG00000174059', 'ENSG00000119535', 'ENSG00000095932', 'ENSG00000137804', 'ENSG00000089685', 'ENSG00000131747', 'ENSG00000175063']",0.1542421728372573
4.1,AuthorCellType,Early GMP,11432,0.4835519184912205,0.5604585427135679,0.3121938418474457,248928,2799,7863,3569,3,"['ENSG00000237819', 'ENSG00000136997', 'ENSG00000005381']","['ENSG00000172247', 'ENSG00000163751', 'ENSG00000237819', 'ENSG00000136997', 'ENSG00000100448', 'ENSG00000005381', 'ENSG00000119535', 'ENSG00000095932', 'ENSG00000169385', 'ENSG00000008394']",0.167972058057785
4.1,AuthorCellType,LMPP,6718,0.286386378911209,0.3058213716108452,0.2283417683834474,252959,3482,5184,1534,4,"['ENSG00000174059', 'ENSG00000119535', 'ENSG00000095932', 'ENSG00000226777']","['ENSG00000145708', 'ENSG00000174059', 'ENSG00000119535', 'ENSG00000125538', 'ENSG00000095932', 'ENSG00000226777', 'ENSG00000171476', 'ENSG00000128040', 'ENSG00000102524', 'ENSG00000172889']",0.1465311646461486
4.1,AuthorCellType,HSC,12641,0.5854028847196616,0.645230695672962,0.4270231785460011,247550,2968,7243,5398,2,"['ENSG00000145708', 'ENSG00000120885']","['ENSG00000145708', 'ENSG00000120885', 'ENSG00000120833', 'ENSG00000171843', 'ENSG00000110492', 'ENSG00000010404', 'ENSG00000165092', 'ENSG00000109321', 'ENSG00000171476', 'ENSG00000196735']",0.2565157115459442
4.1,AuthorCellType,MPP-MyLy,5591,0.2378084320963668,0.2430500397140587,0.2189232695403326,253756,3812,4367,1224,3,"['ENSG00000145708', 'ENSG00000119535', 'ENSG00000226777']","['ENSG00000145708', 'ENSG00000110492', 'ENSG00000119535', 'ENSG00000010404', 'ENSG00000171843', 'ENSG00000226777', 'ENSG00000171476', 'ENSG00000128040', 'ENSG00000102804', 'ENSG00000172889']",0.1387742608785629
4.1,AuthorCellType,MPP-MkEry,5771,0.2351291512915129,0.226729291204099,0.276035349159591,251955,5433,4178,1593,3,"['ENSG00000181722', 'ENSG00000145708', 'ENSG00000170891']","['ENSG00000181722', 'ENSG00000113389', 'ENSG00000145708', 'ENSG00000110492', 'ENSG00000171843', 'ENSG00000170891', 'ENSG00000171476', 'ENSG00000102804', 'ENSG00000128040', 'ENSG00000172889']",0.2714782655239105
4.1,AuthorCellType,MEP,4856,0.4088511137162954,0.4572271386430678,0.2872734761120263,256647,1656,3461,1395,2,"['ENSG00000103381', 'ENSG00000233968']","['ENSG00000103381', 'ENSG00000135426', 'ENSG00000233968', 'ENSG00000163106', 'ENSG00000152580', 'ENSG00000185630', 'ENSG00000179348', 'ENSG00000138449', 'ENSG00000179639', 'ENSG00000170891']",0.738395631313324
