obo_id,label,level
UBERON:0001555,digestive tract,root
UBERON:2001324,enteric musculature,descendant
UBERON:0018261,muscular coat of digestive tract,descendant
UBERON:0018257,submucosa of digestive tract,descendant
UBERON:0015232,nematode pharynx,descendant
UBERON:0011904,gastrolith,descendant
UBERON:0011640,palatoglossal arch,descendant
UBERON:0010039,food storage organ,descendant
UBERON:0009854,digestive tract diverticulum,descendant
UBERON:0006909,lumen of digestive tract,descendant
UBERON:0006235,foregut-midgut junction,descendant
UBERON:0006264,mouth-foregut junction,descendant
UBERON:0006676,muscularis mucosa,descendant
UBERON:0005052,gizzard,descendant
UBERON:0004921,subdivision of digestive tract,descendant
UBERON:0004906,ectodermal part of digestive tract,descendant
UBERON:0004786,gastrointestinal system mucosa,descendant
UBERON:0004185,endodermal part of digestive tract,descendant
UBERON:0004163,anterior ectodermal midgut,descendant
UBERON:0003929,digestive tract epithelium,descendant
UBERON:0003408,gland of digestive tract,descendant
UBERON:0001962,gut-associated lymphoid tissue,descendant
UBERON:0001245,anus,descendant
UBERON:0000328,gut wall,descendant
UBERON:0000162,cloaca,descendant
UBERON:2005279,enteric circular muscle,descendant
UBERON:0012486,muscle layer of cloaca,descendant
UBERON:0012367,muscle layer of intestine,descendant
UBERON:0011878,muscle layer of esophagus,descendant
UBERON:0008856,stomach muscularis externa,descendant
UBERON:0012482,submucosa of cloaca,descendant
UBERON:0009566,intestinal submucosa,descendant
UBERON:0004924,submucosa of pharynx,descendant
UBERON:0001972,submucosa of esophagus,descendant
UBERON:0001200,submucosa of stomach,descendant
UBERON:0000945,stomach,descendant
UBERON:4300174,actinopterygian pyloric caecum,descendant
UBERON:0036072,respiratory primordium epithelium,descendant
UBERON:0012474,hepatic cecum,descendant
UBERON:0012287,Rathkes pouch epithelium,descendant
UBERON:0009855,echinoderm gastric caecum,descendant
UBERON:0008836,liver bud,descendant
UBERON:0008835,hepatic diverticulum,descendant
UBERON:0004912,biliary bud,descendant
UBERON:0001153,caecum,descendant
UBERON:0013158,foregut-midgut junction gland,descendant
UBERON:0009890,anterior intestinal portal,descendant
UBERON:0009550,endoderm of foregut-midgut junction,descendant
UBERON:0009497,epithelium of foregut-midgut junction,descendant
UBERON:0009483,mesentery of foregut-midgut junction,descendant
UBERON:0009482,associated mesenchyme of foregut-midgut junction,descendant
UBERON:0006211,buccopharyngeal membrane,descendant
UBERON:0035840,esophagogastric junction muscularis mucosa,descendant
UBERON:0012494,muscularis mucosae of duodenum,descendant
