,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000274898,-0.005852321,0.06294127,-0.00387748,-0.01406118,-0.058400735,-0.0004722984,-0.10493999,0.012788101,0.027276998,-0.057582144,-0.00084898586,0.062175438,0.047881804,0.02694685,0.030528639,0.037703097,-0.009704851,0.043707564,-0.048780993,-0.068618424,0.06520682,0.019585157,0.04127051
ENSG00000273216,-0.0024587626,0.08179362,-0.02183089,-0.0029418282,-0.052560344,0.009213705,-0.12119745,0.021969218,0.067630544,-0.0695098,0.010096007,0.086557485,0.06531881,0.032052644,0.026145076,0.056636155,-0.015625658,0.06837115,-0.06764388,-0.08313558,0.046670288,0.0050922525,0.07305199
ENSG00000225498,0.018372605,0.16415894,-0.016889395,0.014062382,-0.030154346,0.037501555,-0.15465829,0.07464859,0.20196939,-0.0867766,0.040484425,0.17514545,0.15555553,0.09698666,0.031635933,0.12272631,-0.049898077,0.16912234,-0.10976889,-0.11525362,0.06749661,0.0026166723,0.1877769
ENSG00000271366,0.019503493,0.1186635,-0.0022353476,0.014754899,-0.03442609,0.03361677,-0.10863342,0.049924687,0.107928306,-0.0521002,0.031376705,0.12092589,0.10064968,0.06352408,0.045533493,0.09558461,0.0010740092,0.10355709,-0.05549752,-0.069316454,0.078263,0.026785186,0.10891861
ENSG00000257268,0.023475561,0.10673801,0.027388671,0.016914718,-0.03555803,0.03417477,-0.08920254,0.050361138,0.06585941,-0.035022583,0.029507104,0.10843112,0.08963607,0.063670196,0.06560478,0.08467348,0.022169454,0.08568378,-0.024953743,-0.047908247,0.10735904,0.051208872,0.082986906
ENSG00000232759,0.0023073712,0.064216375,-0.010519361,0.020764317,-0.03403102,0.011297235,-0.089208856,0.048735578,0.057421096,-0.05209205,0.013822085,0.06745739,0.06262599,0.032960918,0.04689722,0.056397807,-0.009564832,0.057222188,-0.05106817,-0.06244686,0.041537903,0.012004018,0.058763653
ENSG00000287829,-0.004720757,0.034646466,-0.012738208,0.0129603315,-0.028298926,0.0009619023,-0.06545429,0.03392671,0.032799587,-0.04101121,0.0035584087,0.03711332,0.03449558,0.016665122,0.032466568,0.035501394,-0.013144253,0.031746283,-0.041115183,-0.048302665,0.020336092,0.0033789852,0.032023616
ENSG00000261736,-0.0017647514,0.07843292,-0.013076008,-0.0006427098,-0.049833145,0.012898123,-0.10659483,0.024507811,0.055888154,-0.059894916,0.0075986614,0.08203025,0.06979954,0.030094914,0.029430412,0.06502037,-0.008208786,0.062473882,-0.055302307,-0.07241227,0.06030355,0.016374066,0.06791
ENSG00000262899,-0.010582749,0.051307105,-0.028001895,0.012482409,-0.04626797,-0.0015039776,-0.098803505,0.0414781,0.051931284,-0.063366026,-0.002335223,0.05658122,0.053290185,0.023273451,0.03323858,0.056673016,-0.029629651,0.04571204,-0.06669058,-0.07453233,0.024355283,-0.0010031598,0.047893345
ENSG00000269987,-0.015540516,0.0039166715,-0.033873033,0.032214046,0.032662764,0.015565223,-0.018770706,0.069089025,0.10898788,-0.031488325,0.03924123,0.018668449,0.0137110995,0.011557387,-0.02557919,0.015523569,0.015909508,0.07342665,-0.055163145,-0.027270837,-0.058696575,-0.035842843,0.08836323
ENSG00000267285,0.028933395,0.15605372,0.0015815471,0.029143382,-0.039198846,0.048603214,-0.1294863,0.06996906,0.14673471,-0.061367616,0.043472614,0.15965807,0.13773859,0.08721104,0.060450196,0.12940806,0.0034519797,0.13798138,-0.067089155,-0.0831929,0.10496631,0.037453823,0.14566876
ENSG00000286788,0.016742138,0.1013536,0.0042242156,0.016781688,-0.034106195,0.032119684,-0.099052906,0.046601865,0.08103621,-0.046607975,0.029667867,0.10498372,0.08464506,0.051012013,0.054328397,0.08462192,0.008235113,0.086125895,-0.042288255,-0.060383994,0.07942648,0.03101134,0.09068726
ENSG00000285704,0.0043471265,0.09153267,-0.012019823,0.028715108,-0.01631523,0.01455495,-0.10971585,0.08111613,0.13273038,-0.07066479,0.024064055,0.09690536,0.09152846,0.06021646,0.028099095,0.068247885,-0.04676138,0.113158524,-0.090320855,-0.09072198,0.022451736,-0.013570817,0.120949134
