lineage,mean,std,median,count,q1,q3,f_score
SI_FAE,0.7736926615789473,0.2823258805199682,0.851261,19,0.8250519949999999,0.8607720999999999,
SI_tuft,0.7655051945543478,0.17132425896539266,0.8203021699999999,184,0.775239605,0.8353977325,
SI_paneth,0.7901522112244899,0.06125677212791757,0.8102495,49,0.77267146,0.8376753,
SI_TA2,0.7349345213333333,0.08369238685527916,0.77100873,105,0.68784595,0.80226135,
SI_BEST4,0.6623890725958702,0.13901480740233613,0.7034003,339,0.580553085,0.75929625,
C_tuft,0.6061974724389313,0.2478218206127382,0.691601675,524,0.5854904025,0.7222984374999999,
C_ISC,0.602504306348052,0.16918698600053705,0.65987,385,0.5772866,0.69698864,0.0409698741965944
C_BEST4,0.5660705352075472,0.19336591491642036,0.63705194,477,0.51293623,0.69707316,
SI_AE2,0.5276199908477157,0.20462901360003466,0.60184115,591,0.46529213999999997,0.6636649400000001,
C_lateACC,0.5243736599583334,0.17730742294977603,0.59433945,552,0.459535425,0.6495073250000001,
SI_matureAE,0.49760374176226896,0.19948406891622553,0.5866485,1569,0.41287854,0.64081305,
C_goblet,0.4898813472249453,0.25710652660385225,0.583672,1189,0.4694044,0.63185185,0.1087848422308973
SI_goblet,0.4568805746871134,0.28784956012506,0.5735220050000001,388,0.416568825,0.63251635,
SI_ISC,0.427304942454181,0.2706781767695801,0.5287024,873,0.34710586,0.6105723,
C_secretory_prog,0.3680288905396826,0.3358706678802354,0.52305406,63,0.250985415,0.62178057,
C_EEC,0.32555762331585364,0.32684821697214894,0.5054754,82,0.25887685,0.5400345175,
SI_secretory_prog,0.15956128657142857,0.4749224161456302,0.44843635000000004,70,-0.19975728250000002,0.48136878,
C_earlyACC,0.3285373115741872,0.2517152691315379,0.402671635,1464,0.200457415,0.5212582124999999,
SI_TA,0.24419041928539043,0.29382766148234446,0.39469948,397,0.092143744,0.46161568,
SI_earlyAE,0.29013023961398543,0.29175038582685353,0.37514994,1237,0.13225374,0.5240064,0.0589120080220606
C_TA,0.2254425646332046,0.27687794238727015,0.33511587,518,0.09575338800000001,0.4246866425,0.0535841617381821
SI_intermAE,0.2574133787645877,0.25703663808193905,0.31053102,1443,0.088880175,0.478673385,
SI_EEC,0.15336321071527778,0.3050786018710063,0.120658965,72,0.03734825,0.4461366575,
