cluster,count
Fibroblast,42587
Macrophage,33241
B cell (Plasmocyte),27737
Fetal mesenchymal progenitor,22915
T cell,22780
Fasciculata cell,22652
Smooth muscle cell,22077
Fetal stromal cell,21405
Monocyte,19248
Epithelial cell,18927
Fetal epithelial progenitor,18559
Endothelial cell,17205
Fetal neuron,16766
Stromal cell,16484
Enterocyte progenitor,16008
Erythroid cell,13110
Endothelial cell (APC),12859
Neutrophil,12221
Erythroid progenitor cell (RP high),12049
Fetal enterocyte,11745
Hepatocyte/Endodermal cell,11260
Fetal fibroblast,10880
Dendritic cell,9930
CB CD34+,9056
Enterocyte,8687
Loop of Henle,8628
Oligodendrocyte,7771
AT2 cell,7403
Thyroid follicular cell,7302
Goblet cell,7191
B cell,7036
Basal cell,6538
Stratified epithelial cell,6498
Neutrophil (RPS high),6324
Antigen presenting cell (RPS high),6211
Fetal chondrocyte,5758
Pancreas exocrine cell,5568
M2 Macrophage,5467
Gastric chief cell,4973
Proliferating T cell,4767
Intercalated cell,4450
Epithelial cell (intermediated),4104
Sinusoidal endothelial cell,4086
Primordial germ cell,3969
Fetal skeletal muscle cell,3851
Endothelial cell (endothelial to mesenchymal transition),3799
Astrocyte,3349
Fetal acinar cell,3284
Ventricle cardiomyocyte,3007
Mesothelial cell,2663
Ureteric bud cell,2555
Proximal tubule progenitor,2023
Gastric endocrine cell,1962
Mast cell,1658
hESC,1644
Fetal endocrine cell,1591
Immature sertoli cell (Pre-Sertoli cell),1192
Myeloid cell,1082
Fetal Neuron,644
Intermediated cell,540
Chondrocyte,421
Kidney intercalated cell,138
Adrenal gland inflammatory cell,91
