author_cell_type,mean,std,median,count,q1,q3,f_score
Ionocytes,0.9649578969831275,0.022348856162841678,0.972590901922403,32,0.9627186194960364,0.9758674852877653,0.859375
RBCs,0.8979421679430721,0.2663213236528412,0.940227291428681,132,0.9352769938525902,0.9429120231961821,0.9621212121212122
Myoepithelial,0.8582447364897317,0.16303217454637806,0.8864480008687949,353,0.8704827544929303,0.8973903774271618,0.8397932816537468
Mucous,0.8346901681907675,0.1514588479187054,0.8707189137979647,265,0.8374881726561677,0.8810400460891742,0.8876629889669007
B Cells,0.7993998990559874,0.15608031688881563,0.8427728103661446,332,0.8025179777189477,0.8645489023805475,0.9096858638743456
Fibroblasts,0.8022252546527745,0.1536780930996118,0.8305395760687636,665,0.8019567062014594,0.8484363391667303,0.956059045657398
T Cells,0.7789985405615324,0.17281151721266202,0.8205954311405507,555,0.7967383532751224,0.8374110813459241,0.8601676224084693
Myofibroblasts,0.7523175758174961,0.22997674339703106,0.7868349660608687,189,0.74600450131127,0.8294167259550667,0.6857142857142857
Schwann Cells,0.679672801815477,0.37519810989271934,0.7791018760967332,50,0.7704073946872712,0.7810223010559578,0.7530120481927711
Intercalated,0.7443681135485036,0.19680511791864944,0.7754178801364222,518,0.747684955088859,0.7950458226553296,0.6377799415774099
Macrophages,0.7126910767377013,0.2526594260972579,0.7695007724914721,241,0.7459124762971737,0.7873989667354084,0.8575031525851198
Basal,0.7263790083560698,0.13103097979165643,0.7458842268545842,418,0.7040600826687231,0.7784154036362766,0.7584683357879234
Endothelial,0.6532643308173426,0.13940073747510234,0.6768073637747787,781,0.6439888415915831,0.7061572165513604,0.8784035807534502
Striated,0.5950268029477943,0.21416988633990403,0.6424391471481461,968,0.5733164077928579,0.6842876277699377,0.6433823529411765
Serous,0.2732496260403652,0.29622938085775646,0.3831274211614088,5097,0.1622979359481148,0.4932053577777897,0.8445004992380052
Seromucous,-0.010639446839280477,0.34532559046179817,0.0914052948602907,5088,-0.25629501068046473,0.2799683364358563,0.5142822851656265
