clusterName,NSForest_markers,f_score,onTarget,precision,recall
B_CD27neg,"['ENSG00000100721', 'ENSG00000105369']",0.7568149210903874,0.8065736293792725,0.9055793991416308,0.4567099567099567
T_CD4,"['ENSG00000167286', 'ENSG00000227507']",0.6002060793405462,0.3600930571556091,0.7361769352290679,0.3451851851851852
NK_T_CD8_Cytotoxic,"['ENSG00000115523', 'ENSG00000111796']",0.6424581005586593,1.0,0.8214285714285714,0.3432835820895522
T_CD8,"['ENSG00000145649', 'ENSG00000275302']",0.647887323943662,1.0,0.7630331753554502,0.4040150564617314
Mast_cell,['ENSG00000172236'],0.9333333333333332,1.0,0.918032786885246,1.0
Mono_macro,"['ENSG00000170458', 'ENSG00000011600']",0.4654036243822075,0.4259594082832336,0.5136363636363637,0.3383233532934132
Dendritic_Cells,['ENSG00000179639'],0.8205128205128205,1.0,0.8715953307392996,0.6646884272997032
Epi_upper,"['ENSG00000185873', 'ENSG00000170423', 'ENSG00000197930']",0.873700342568664,1.0,0.964025198938992,0.6355191256830601
Epi_stratified,['ENSG00000188373'],0.8198821995413875,1.0,0.8770340681362725,0.6503596267015396
Epi_dividing,['ENSG00000175063'],0.7618774614886086,1.0,0.8360229759299781,0.5623735050597977
Glands_mucous,"['ENSG00000078898', 'ENSG00000117983']",0.9360730593607306,1.0,1.0,0.7454545454545455
Glands_duct,"['ENSG00000151882', 'ENSG00000118849']",0.8097928436911488,1.0,0.9662921348314608,0.4914285714285714
Epi_basal,"['ENSG00000121064', 'ENSG00000171346', 'ENSG00000186847']",0.5602923264311814,0.2520331740379333,0.8288288288288288,0.2440318302387268
Epi_suprabasal,"['ENSG00000115590', 'ENSG00000171346']",0.6478350606007377,0.6843055486679077,0.6640783254557732,0.5901
Stroma,['ENSG00000166482'],0.8590785907859079,1.0,0.946268656716418,0.6277227722772277
Lymph_vessel,"['ENSG00000137077', 'ENSG00000138722']",0.7728706624605678,1.0,0.9245283018867924,0.4666666666666667
Blood_vessel,['ENSG00000213088'],0.8738901677079908,1.0,0.9275741710296684,0.7096128170894526
B_CD27pos,"['ENSG00000105369', 'ENSG00000227507']",0.576072821846554,0.3600930571556091,0.5768229166666666,0.5730918499353169
