cluster,n_cells,percentage
BEST4_enterocyte_colonocyte,10425,1.6
B_GC_I,889,0.14
B_GC_II,373,0.06
B_memory,20827,3.2
B_naive,20429,3.14
B_plasma_IgA1,53361,8.2
B_plasma_IgA2,4791,0.74
B_plasma_IgG,6521,1.0
B_plasma_IgM,4834,0.74
B_plasmablast,228,0.04
B_preB,119,0.02
B_proB,32,0.0
Basal,12985,2.0
Basal_cycling,2179,0.33
Branch_A_interneuron,5,0.0
Chief,2006,0.31
Colonocyte,31850,4.89
Crypt_fibroblast_PI16,20996,3.23
Cycling,10918,1.68
DCS_MUC17,231,0.04
DCS_MUC17_cycling,107,0.02
DC_cDC1,426,0.07
DC_cDC2,4065,0.62
DC_langerhans,102,0.02
DC_migratory,287,0.04
DC_pDC,251,0.04
Duct,1331,0.2
EC_arterial_1,3931,0.6
EC_arterial_2,2594,0.4
EC_capillary,7201,1.11
EC_cycling,370,0.06
EC_lymphatic,3150,0.48
EC_venous,22526,3.46
Enteric_neural_crest_cycling,48,0.01
Enterochromaffin,886,0.14
Enterocyte,40195,6.18
Enteroendocrine,796,0.12
Enteroendocrine_G,420,0.06
Enteroendocrine_MX,596,0.09
Enteroendocrine_X,463,0.07
Enteroendocrine_progenitor,42,0.01
Epithelial_cycling_G2M,8369,1.29
Epithelial_cycling_S,7327,1.13
Epithelial_stem,4389,0.67
Erythrocytes,49,0.01
Fibroblast_reticular,206,0.03
Follicular_DC,24,0.0
Gastric_fetal_epithelial,5,0.0
Gland_basal,720,0.11
Gland_duct,251,0.04
Gland_fetal,61,0.01
Gland_mucous,53,0.01
Glial/Enteric_neural_crest,1066,0.16
Glial_1,11,0.0
Glial_2,279,0.04
Glial_3,137,0.02
Goblet,13492,2.07
Goblet_cycling,861,0.13
Goblet_progenitor,1165,0.18
ILC3,2547,0.39
Immune_recruiting_pericyte,346,0.05
Ionocytes,67,0.01
Keratinocyte_fetal,20,0.0
Keratinocyte_inflammatory,169,0.03
Keratinocyte_outer,14553,2.24
Keratinocyte_stratified,61929,9.52
Lamina_propria_fibroblast_ADAMDEC1,12757,1.96
MAIT,1560,0.24
Macrophage,3731,0.57
Macrophage_CD5L,75,0.01
Macrophage_LYVE1,1276,0.2
Macrophage_MMP9,345,0.05
Macrophage_TREM2,840,0.13
Mast,5342,0.82
Mature_colonocyte,16194,2.49
Melanocyte,345,0.05
Mesothelium,53,0.01
Microfold,56,0.01
Mono/neutrophil_MPO,23,0.0
Monocyte,2858,0.44
Mucous,830,0.13
Mucous_gland_neck,12308,1.89
Myoepithelial,195,0.03
Myofibroblast,1116,0.17
NK_CD16,1925,0.3
NK_CD56bright,1961,0.3
Neuroblast,55,0.01
Oesophagus_fibroblast,682,0.1
Oral_mucosa_fibroblast,4206,0.65
Paneth,201,0.03
Pareital,1180,0.18
Pericyte,2561,0.39
Rectum_fibroblast,1266,0.19
SF_like,28,0.0
Seromucous,1354,0.21
Serous,4279,0.66
Surface_foveolar,9846,1.51
T/NK_cycling,677,0.1
TA,18617,2.86
Tfh,4712,0.72
Tfh_naive,5115,0.79
Tnaive/cm_CD4,15625,2.4
Tnaive/cm_CD8,2943,0.45
Treg,2362,0.36
Treg_IL10,8047,1.24
Trm/em_CD8,12834,1.97
Trm_CD4,21342,3.28
Trm_CD8,20449,3.14
Trm_Th17,12066,1.85
Tuft,1190,0.18
Vascular_smooth_muscle,6560,1.01
Villus_fibroblast_F3,4501,0.69
gdT,11121,1.71
gdT_naive,1188,0.18
