cluster,count
Cycling TA,5343
TA 1,4881
TA 2,4413
Immature Enterocytes 2,3760
Immature Enterocytes 1,3230
Enterocyte Progenitors,2533
Immature Goblet,2252
Enterocytes,1839
Secretory TA,1834
Best4+ Enterocytes,1097
CD8+ IELs,1063
Goblet,777
Stem,694
Tuft,228
Follicular,171
Enteroendocrine,117
Plasma,80
CD4+ Memory,79
CD8+ LP,55
CD69- Mast,48
Macrophages,38
GC,35
Cycling B,29
CD4+ Activated Fos-hi,28
NKs,25
CD4+ Activated Fos-lo,25
Cycling T,19
M cells,15
MT-hi,14
CD69+ Mast,14
CD8+ IL17+,10
CD4+ PD1+,8
DC2,7
Tregs,6
ILCs,2
DC1,1
WNT2B+ Fos-lo 1,1
WNT5B+ 2,1
