clusterName,NSForest_markers,f_score
GC,"['ENSG00000163683', 'ENSG00000100721']",0.6
Follicular,"['ENSG00000121966', 'ENSG00000105369']",0.7827788649706457
MT-hi,"['ENSG00000152518', 'ENSG00000271503']",0.2777777777777778
NKs,"['ENSG00000143184', 'ENSG00000275302']",0.4385964912280701
CD8+ IELs,"['ENSG00000171476', 'ENSG00000105374']",0.8383233532934131
CD8+ LP,['ENSG00000153563'],0.2755905511811024
CD8+ IL17+,['ENSG00000160654'],0.3571428571428571
CD4+ Activated Fos-hi,"['ENSG00000157514', 'ENSG00000121966', 'ENSG00000271503']",0.2777777777777778
CD4+ Activated Fos-lo,"['ENSG00000166295', 'ENSG00000179144', 'ENSG00000116824', 'ENSG00000135046', 'ENSG00000227507']",0.2597402597402597
CD4+ Memory,"['ENSG00000152518', 'ENSG00000227507', 'ENSG00000277734']",0.272108843537415
CD4+ PD1+,"['ENSG00000010810', 'ENSG00000158050', 'ENSG00000143851']",0.625
Tregs,"['ENSG00000162241', 'ENSG00000116161']",0.7142857142857143
CD69- Mast,['ENSG00000120885'],0.7880434782608695
CD69+ Mast,['ENSG00000163751'],0.7894736842105263
Plasma,['ENSG00000132465'],0.979381443298969
TA 1,['ENSG00000198840'],0.4699675884421764
Tuft,['ENSG00000152292'],0.8436213991769548
Immature Goblet,['ENSG00000016490'],0.7109737248840804
M cells,"['ENSG00000108622', 'ENSG00000196188', 'ENSG00000080603']",0.6451612903225806
Secretory TA,"['ENSG00000016490', 'ENSG00000163515']",0.3052027857435477
Cycling TA,"['ENSG00000175063', 'ENSG00000164611']",0.7193717974312903
TA 2,"['ENSG00000135052', 'ENSG00000131771', 'ENSG00000008394', 'ENSG00000164687']",0.4011527620009256
Stem,"['ENSG00000183734', 'ENSG00000174136', 'ENSG00000157557']",0.4844206426484908
Enteroendocrine,"['ENSG00000079689', 'ENSG00000163499']",0.7846153846153846
Best4+ Enterocytes,"['ENSG00000142959', 'ENSG00000168748']",0.8349354572919527
Immature Enterocytes 2,"['ENSG00000155850', 'ENSG00000133742', 'ENSG00000144063', 'ENSG00000186198']",0.6316956039896564
Enterocyte Progenitors,"['ENSG00000133742', 'ENSG00000104267']",0.3757583261111799
Enterocytes,"['ENSG00000123213', 'ENSG00000134531', 'ENSG00000222041']",0.6289428407570254
Immature Enterocytes 1,"['ENSG00000110492', 'ENSG00000103375']",0.5597512216792536
Goblet,"['ENSG00000160182', 'ENSG00000174992']",0.8415451320457233
Cycling T,['ENSG00000176890'],0.217391304347826
Cycling B,"['ENSG00000178999', 'ENSG00000100721']",0.8247422680412371
Macrophages,['ENSG00000159189'],0.8098591549295775
DC2,"['ENSG00000126759', 'ENSG00000204482']",0.8695652173913043
