,Best4+ Enterocytes,CD4+ Activated Fos-hi,CD4+ Activated Fos-lo,CD4+ Memory,CD4+ PD1+,CD69+ Mast,CD69- Mast,CD8+ IELs,CD8+ IL17+,CD8+ LP,Cycling B,Cycling T,Cycling TA,DC2,Enterocyte Progenitors,Enterocytes,Enteroendocrine,Follicular,GC,Goblet,Immature Enterocytes 1,Immature Enterocytes 2,Immature Goblet,M cells,MT-hi,Macrophages,NKs,Plasma,Secretory TA,Stem,TA 1,TA 2,Tregs,Tuft
ENSG00000000419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27928287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20610075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50292206,0.0,0.0,0.0,0.0,0.24214473,0.17992628,0.0,0.25832987,0.0,0.0
ENSG00000002549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002586,0.0,1.0763013,0.0,0.0,0.3809514,0.0,0.0,1.0910547,0.0,1.1762342,0.0,0.8062,0.7373774,0.0,0.0,0.0,0.63452625,0.0,0.0,0.0,0.0,0.0,0.0,0.4065062,0.0,0.0,1.353343,0.0,0.5944163,0.69974536,0.0,0.70450044,0.0,0.0
ENSG00000002726,0.56947035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89354527,0.0,0.0,0.0,0.0,0.86869013,0.654243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16245711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.90159357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25918633,0.0,0.0,0.42104143,0.0,0.0,0.0,0.0,0.0,0.646294,0.0,0.0,0.0,0.0,0.0,0.0,0.39407343,0.3992111,0.0,0.44017023,0.0,0.8760036
ENSG00000003402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19664179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220808,0.0,0.29402894,0.44294822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19802104,0.0,0.0,0.0,0.0,0.32460013,0.35094538,0.0,0.26236427,0.39783138,0.0
ENSG00000004455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77918506,0.0,0.35366347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28092325,0.0,0.19653107,0.0,0.0,0.0,0.0,0.28413606,0.34360328,0.0,0.35392615,0.0,0.0
ENSG00000004534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19653107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004779,0.40689805,0.0,0.0,0.0,0.0,0.53880084,0.0,0.0,0.0,0.0,0.78389734,0.0,0.9208948,0.0,0.0,0.0,0.7208647,0.0,0.0,0.0,0.0,0.59056944,0.0,0.8007194,0.0,0.0,0.0,0.0,0.7276443,0.6449684,0.0,0.9502179,0.0,0.0
ENSG00000005022,1.5701282,0.0,0.0,0.0,1.5682938,1.034994,0.99190074,0.0,0.0,0.0,2.192164,1.2981932,1.6929964,1.1722242,1.6943132,2.0068877,1.3552804,0.0,1.9865984,0.8007194,1.4687937,2.1553419,1.2826617,1.3886353,0.0,0.8017968,0.0,0.48136604,1.4877942,1.3911626,1.1746265,1.7965348,0.0,0.0
