CellType,mean,std,median,count,q1,q3,f_score
Plasma,0.838511517,0.3251004164089734,0.90626717,80,0.8959921024999999,0.9104979774999999,0.979381443298969
CD69- Mast,0.8748500179166667,0.031190951711790257,0.88562972,48,0.859069685,0.89807945,0.7880434782608695
DC2,0.5933906338571429,0.26017820717613704,0.6839251,7,0.6558751,0.7111529,0.8695652173913043
Cycling B,0.44401841310344825,0.40133760791777107,0.6143632,29,0.51411676,0.6407105,0.8247422680412371
NKs,0.469064086,0.24460012559834685,0.54842055,25,0.4636008,0.6009425,0.4385964912280701
Stem,0.4331330745097982,0.23049442686530197,0.51809365,694,0.38583856499999997,0.5850337400000001,0.4844206426484908
Immature Goblet,0.3954256735534636,0.25127741281226534,0.493105505,2252,0.32975710999999996,0.5626165000000001,0.7109737248840804
Follicular,0.4048235832397661,0.21269366678238819,0.48222703,171,0.340978665,0.5481365300000001,0.7827788649706457
Goblet,0.35354916384229085,0.3246632847573865,0.46827176,777,0.26845494,0.57258683,0.8415451320457233
Best4+ Enterocytes,0.24578493620419326,0.4255054540629676,0.43525073,1097,0.2619783,0.50817317,0.8349354572919527
Enterocytes,0.29508350188064164,0.24653036562362696,0.39340782,1839,0.19238817,0.476515025,0.6289428407570254
MT-hi,0.28859166823571425,0.17392728627535264,0.34514072500000004,14,0.1994791325,0.41826950500000004,0.2777777777777778
Secretory TA,0.20721434938112868,0.3048477452695794,0.301472485,1834,0.11020181,0.424153585,0.3052027857435477
Enterocyte Progenitors,0.22472434902531227,0.26455846236054326,0.29787555,2533,0.06888136,0.43569657,0.3757583261111799
TA 2,0.10270904065935554,0.30206381938400245,0.17853646,4413,-0.13557762,0.35957557,0.4011527620009256
Immature Enterocytes 2,0.12000708718779256,0.28221366005249365,0.17655168999999998,3760,-0.08585464,0.36342825,0.6316956039896564
Immature Enterocytes 1,0.07760075288427246,0.29935489950187755,0.14495632,3230,-0.1682452975,0.3486458725,0.5597512216792536
Enteroendocrine,-0.16215255235897436,0.3715845915237,0.11232852,117,-0.49256203,0.18627332,0.7846153846153846
Cycling TA,-0.0863587300092332,0.30801103991044493,-0.04287842,5343,-0.37144318499999995,0.20853264999999999,0.7193717974312903
TA 1,-0.15979949714936736,0.31535666825492115,-0.13151324,4881,-0.43450746,0.13410065,0.4699675884421764
Tuft,-0.24627330750438597,0.18372627759611393,-0.17649389,228,-0.49336598,-0.110387697,0.8436213991769548
GC,-0.24169756242857143,0.20250794015226112,-0.19804177,35,-0.34295910500000004,-0.091768465,0.6
Cycling T,-0.2895531489473684,0.2396612529347003,-0.22766916,19,-0.380427185,-0.13206319,0.217391304347826
CD8+ IELs,-0.2576761450490122,0.21036690877314382,-0.26363227,1063,-0.42258127,-0.090842595,0.8383233532934131
CD8+ LP,-0.3239205215090909,0.27922901408808587,-0.2715967,55,-0.49793177499999997,-0.1251412825,0.2755905511811024
CD8+ IL17+,-0.37752020599999997,0.22852902126621302,-0.357716375,10,-0.43796467,-0.21781702249999998,0.3571428571428571
CD4+ Memory,-0.45865646189873416,0.2201514922402197,-0.4264289,79,-0.5451748949999999,-0.285487355,0.272108843537415
M cells,-0.49801156599999996,0.08737869430272527,-0.47989243,15,-0.573237895,-0.438547165,0.6451612903225806
CD4+ Activated Fos-lo,-0.6391942648,0.15382299865948867,-0.6038108,25,-0.6769625,-0.50181544,0.2597402597402597
CD4+ PD1+,-0.69751722125,0.14365076781992214,-0.65052365,8,-0.766956875,-0.6094385125,0.625
Macrophages,-0.6739346192105263,0.09680778368746701,-0.70065963,38,-0.7410274,-0.6307074,0.8098591549295775
CD4+ Activated Fos-hi,-0.7509040160714286,0.11120333787471412,-0.71083937,28,-0.869620755,-0.6667396250000001,0.2777777777777778
Tregs,-0.8032490266666666,0.09156165773990042,-0.80284055,6,-0.8695814,-0.76535765,0.7142857142857143
CD69+ Mast,-0.8239883528571428,0.122998533940634,-0.864298225,14,-0.8893430375,-0.858485825,0.7894736842105263
