cluster,count
enterocyte progenitor subset 1,2119
Goblet cell subset 1,1876
Transit amplifying cell subset 1,1786
Transit amplifying cell subset 2,1626
Transit amplifying cell subset 3,1516
Enterocyte progenitor cell subset 3,1514
Goblet cell subset 3,1033
BEST4+ cell,985
Tuft cell,844
Stem cell,816
Enterocyte progenitor cell subset 2,748
Enterocyte subset 1,705
Goblet cell subset 2,596
Mature enterocyte subset 2,564
Enteroendocrine cell subset 1,563
Mature enterocyte subset 1,499
Mixed cell types,463
Goblet progenitor,300
Enterocyte subset 2,261
Enteroendocrine cell subset 2,217
Paneth cell,134
Microfold cell,35
