clusterName,gene
Enterocyte progenitor cell subset 2,ENSG00000143476
Enterocyte progenitor cell subset 2,ENSG00000198099
Stem cell,ENSG00000139292
Stem cell,ENSG00000112562
Transit amplifying cell subset 3,ENSG00000142627
Transit amplifying cell subset 3,ENSG00000113070
Transit amplifying cell subset 3,ENSG00000181649
Transit amplifying cell subset 2,ENSG00000134057
Transit amplifying cell subset 2,ENSG00000164611
Transit amplifying cell subset 1,ENSG00000277775
Transit amplifying cell subset 1,ENSG00000286522
Enterocyte progenitor cell subset 3,ENSG00000076248
Enterocyte progenitor cell subset 3,ENSG00000086205
Enterocyte progenitor cell subset 3,ENSG00000100297
Enterocyte progenitor cell subset 3,ENSG00000076003
enterocyte progenitor subset 1,ENSG00000115474
enterocyte progenitor subset 1,ENSG00000272763
enterocyte progenitor subset 1,ENSG00000203727
Enterocyte subset 1,ENSG00000282408
Enterocyte subset 1,ENSG00000244067
Enterocyte subset 2,ENSG00000115474
Enterocyte subset 2,ENSG00000170231
Mature enterocyte subset 2,ENSG00000182271
Mature enterocyte subset 2,ENSG00000110245
Mature enterocyte subset 1,ENSG00000196188
Mature enterocyte subset 1,ENSG00000118137
BEST4+ cell,ENSG00000142959
Microfold cell,ENSG00000177575
Goblet cell subset 3,ENSG00000151834
Goblet cell subset 3,ENSG00000198832
Goblet cell subset 1,ENSG00000198788
Goblet cell subset 1,ENSG00000179914
Goblet progenitor,ENSG00000124664
Goblet progenitor,ENSG00000286522
Goblet progenitor,ENSG00000184357
Goblet progenitor,ENSG00000198832
Tuft cell,ENSG00000137709
Tuft cell,ENSG00000135407
Goblet cell subset 2,ENSG00000233452
Goblet cell subset 2,ENSG00000214814
Paneth cell,ENSG00000188257
Paneth cell,ENSG00000275896
Enteroendocrine cell subset 1,ENSG00000129757
Enteroendocrine cell subset 1,ENSG00000060709
Enteroendocrine cell subset 2,ENSG00000129167
Enteroendocrine cell subset 2,ENSG00000267586
Mixed cell types,ENSG00000189229
Mixed cell types,ENSG00000084674
Mixed cell types,ENSG00000198788
Mixed cell types,ENSG00000231424
Mixed cell types,ENSG00000131747
