clusterName,NSForest_markers,f_score
EC cells (TAC1+),"['TPH1', 'SLC18A1']",0.7547169811320755
L cells (PYY+),"['GCG', 'PYY']",0.8064516129032258
N cells (NTS+),"['INSL5', 'LRRC36']",0.8823529411764706
EECs,"['SLC29A4', 'RAB3B']",0.7352941176470589
Tuft,['SH2D6'],0.9090909090909092
Enterocyte,['RBP2'],0.8885395698097844
Naive B,"['FCER2', 'TCL1A']",0.8182877111240536
Memory B,"['BANK1', 'MS4A1']",0.615539858728557
Cycling B cell,"['RGS13', 'BCL7A']",0.7490636704119851
IgG plasma cell,"['ENSG00000211897', 'ENSG00000211893']",0.7574679943100996
IgA plasma cell,['ENSG00000211890'],0.8722588188325207
LEC4 (STAB2+),"['ITGA9', 'KLHL4']",0.7692307692307693
LEC3 (ADGRG3+),"['CCL14', 'RELN']",0.6561679790026247
LEC6 (ADAMTS4+),"['CCL21', 'LYVE1']",0.6852886405959032
LEC1 (ACKR4+),"['IL33', 'NTS']",0.7244897959183674
LEC5 (CLDN11+),['SLC41A1'],0.5063291139240507
gdT,"['ENSG00000211829', 'GZMA']",0.5449169248099127
TRGV4 gdT,"['ENSG00000211698', 'NR4A3', 'TENT5C']",0.6534090909090909
TRGV5/7 gdT,"['ENSG00000211697', 'ENSG00000211810', 'ENSG00000249978', 'TRG-AS1']",0.6288343558282209
Activated CD8 T,"['CD8B', 'CCL5']",0.6076043737574552
MAIT cell,"['ENSG00000256553', 'KLRG1', 'GZMK']",0.7196969696969697
Th17,"['CCR6', 'CD6', 'CXCR6']",0.4545454545454545
CD8 Tmem,"['GZMH', 'GZMK']",0.5764966740576497
CX3CR1+ CD8 Tmem,"['FGFBP2', 'KLRG1']",0.6852791878172588
Treg,"['CTLA4', 'TBC1D4']",0.6081081081081081
SELL+ CD4 T,"['CCR7', 'GIMAP7', 'LTB', 'FYB1']",0.3245686113393591
Activated CD4 T,"['GPR183', 'LEF1']",0.5348460291734197
SELL+ CD8 T,"['LINC02446', 'LEF1']",0.6565656565656566
ILC3,"['PCDH9', 'LST1']",0.5921052631578947
Mast cell,"['TPSAB1', 'TPSB2']",0.9568345323741008
Monocytes,"['S100A8', 'S100A9', 'S100A12']",0.819672131147541
LYVE1+ Macrophage,"['F13A1', 'FOLR2']",0.662020905923345
Macrophages,"['MS4A7', 'DNASE1L3']",0.751101321585903
cDC2,"['LST1', 'MS4A6A', 'JAML']",0.4154518950437317
cDC1,"['CLEC9A', 'IDO1']",0.75
Lymphoid DC,['LAMP3'],0.5833333333333334
Stromal 1 (CCL11+),"['ADAMDEC1', 'APOE']",0.8112909593367549
Stromal 1 (ADAMDEC1+),"['ADAMDEC1', 'MEG3', 'ZBTB16']",0.2752293577981651
Stromal 2 (NPY+),"['TRPA1', 'F3']",0.7272727272727273
myofibroblast,['HHIP'],0.8948339483394834
myofibroblast (RSPO2+),"['GREM2', 'GREM1']",0.8507853403141361
Contractile pericyte (PLN+),"['RERGL', 'PLN']",0.8459902794653706
Pericyte,"['STEAP4', 'COX4I2']",0.6451612903225806
Adult Glia,"['PLP1', 'SPP1']",0.873269435569755
D cells (SST+),['SST'],1.0
I cells (CCK+),['CCK'],0.9615384615384616
Mature venous EC,['ACKR1'],0.9267376330619912
venous capillary,"['MNAT1', 'DCAF8', 'PCSK7']",0.6521739130434783
arterial capillary,"['COL15A1', 'KDR']",0.6659939455095862
cycling EC,"['TMEM273', 'GAPVD1']",0.5882352941176471
Mature arterial EC,"['SERPINE2', 'KCTD12']",0.6683526011560693
Mesothelium (PRG4+),['UPK3B'],0.9047619047619048
Transitional Stromal 3 (C3+),"['CFD', 'C3']",0.9168606788383776
mLN Stroma (FMO2+),"['FMO2', 'APOD']",0.5042016806722689
Stromal 3 (C7+),"['SCN7A', 'DPT']",0.5690072639225182
T reticular,"['C7', 'ADAMDEC1', 'CCL21']",0.7961783439490446
BEST4+ epithelial,"['BEST4', 'OTOP2']",0.8780224233418884
Colonocyte,"['MS4A12', 'SLC26A3']",0.7125099884577821
TA,['PIGR'],0.8572541394073927
Microfold cell,"['CTSE', 'C12orf75', 'GPX2']",0.3225806451612903
BEST2+ Goblet cell,"['ZG16', 'MUC2']",0.6826434277414669
Goblet cell,"['CLCA1', 'SPINK4']",0.3946227233304423
Paneth,"['REG3A', 'DEFA5']",0.927706705589422
Stem cells,"['LGR5', 'CDCA7']",0.754041570438799
NK cell,"['KLRF1', 'GZMK']",0.5990783410138248
TRGV2 gdT,"['ENSG00000233306', 'ENSG00000211804', 'SYTL2']",0.5572998430141287
