cluster,count
Enterocytes,6441
Suprabasal,5692
Superficial,5048
Enterocytes_Intermediate,4038
Intermediate,3887
Intestinal_Undifferentiated,3869
Goblet,2990
Foveolar_Intermediate,2855
Basal,2603
Foveolar_Differentiated,2348
S3,1386
Neck-Cells,1312
Activated_CD8,1250
SMG,970
Venous,903
S1,850
Chief,732
Th1_Th17_TReg,661
Enteroendocrine_CHGA,648
Enteroendocrine_GHRL,629
Arterial,610
gdT,499
Naïve,483
IgA1_IGKappa,476
IgA1_IGLambda,369
Bmem,340
Parietal,318
Macrophages,298
Arterial capillary,263
Tmem,237
Contamination,220
Naïve_FCMR,212
NK-cells_Intestine,185
IgG_IGM_IGKappa,165
Macrophages_Activated,156
Activated_CD4,149
Erythrocyte,121
Mast_Cells,120
S2,116
NK-cells_Gastric,88
Mast_Cells_Activated,69
pDC,66
cDC1,63
Monocytes,61
IgG_IGM_IGLambda,32
IgA2High_IGKappa,7
Enteroendocrine_GAST,5
