cluster,count
Foveolar_Intermediate,18362
Foveolar_Differentiated,13276
Enterocytes_Intermediate,12127
Suprabasal,9148
Neck-Cells,8983
Superficial,8502
Enterocytes,7746
Intestinal_Undifferentiated,7547
Intermediate,7118
Activated_CD8,4882
Goblet,4123
Basal,3592
Th1_Th17_TReg,3254
Enteroendocrine_CHGA,2793
gdT,2470
IgA1_IGLambda,2355
Tmem,2269
S2,2123
S3,1999
Venous,1968
S1,1632
Naïve,1607
Chief,1584
IgA1_IGKappa,1436
Enteroendocrine_GAST,1413
IgA1_IgA2_IGKappa,1273
Arterial,1255
Activated_CD4,1181
Enteroendocrine_GHRL,1179
SMG,1108
Bmem,877
Naïve_FCMR,789
Mast_Cells,742
Arterial capillary,728
Macrophages,615
IgG_IGM_IGKappa,603
Erythrocyte,582
Monocytes,561
Macrophages_Activated,488
Parietal,428
NK-cells_Gastric,361
Mast_Cells_Activated,268
pDC,247
NK-cells_Intestine,245
IgA2High_IGKappa,240
Contamination,238
IgG_IGM_IGLambda,143
cDC1,123
