cluster_name,skos,manual_mapped_cid,cell_ontology_id
BEST4_enterocyte_colonocyte,,,CL:4030026
B_GC_I,,,CL:0000844
B_GC_II,,,CL:0000844
B_memory,,,CL:0000787
B_naive,,,CL:0000788
B_plasma_IgA1,,,CL:0000987
B_plasma_IgA2,,,CL:0000987
B_plasma_IgG,,,CL:0000985
B_plasma_IgM,,,CL:0000986
B_plasmablast,,,CL:0000980
B_preB,,,CL:0000817
B_proB,,,CL:0000826
Basal,,,CL:0000646
Basal_cycling,,,CL:4033082
Branch_A_interneuron,,,CL:0000099
Chief,,,CL:0000155
Colonocyte,,,CL:1000347
Crypt_fibroblast_PI16,,,CL:0000057
Cycling,,,CL:0000066
DCS_MUC17,,,CL:4030026
DCS_MUC17_cycling,,,CL:4030026
DC_cDC1,,,CL:0000990
DC_cDC2,,,CL:0000990
DC_langerhans,,,CL:0000453
DC_migratory,,,CL:0001056
DC_pDC,,,CL:0001058
Duct,,,CL:1001596
EC_arterial_1,,,CL:1000413
EC_arterial_2,,,CL:1000413
EC_capillary,,,CL:0002144
EC_cycling,,,CL:0000115
EC_lymphatic,,,CL:0002138
EC_venous,,,CL:0002543
Enteric_neural_crest_cycling,,,CL:0007011
Enterochromaffin,,,CL:0000577
Enterocyte,,,CL:0000584
Enteroendocrine,,,CL:0000164
Enteroendocrine_G,,,CL:0000508
Enteroendocrine_MX,,,CL:0000164
Enteroendocrine_X,,,CL:0002284
Enteroendocrine_progenitor,,,CL:0000164
Epithelial_cycling_G2M,,,CL:0000066
Epithelial_cycling_S,,,CL:0000066
Epithelial_stem,,,CL:0002250
Erythrocytes,,,CL:0000232
Fibroblast_reticular,,,CL:0009101
Follicular_DC,,,CL:0000442
Gastric_fetal_epithelial,,,CL:0000066
Gland_basal,,,CL:0002657
Gland_duct,,,CL:0002657
Gland_fetal,,,CL:0002657
Gland_mucous,,,CL:0002657
Glial/Enteric_neural_crest,,,CL:4040002
Glial_1,,,CL:4040002
Glial_2,,,CL:4040002
Glial_3,,,CL:4040002
Goblet,,,CL:0019031
Goblet_cycling,,,CL:0019031
Goblet_progenitor,,,CL:0019031
ILC3,,,CL:0001071
Immune_recruiting_pericyte,,,CL:0000669
Ionocytes,,,CL:0005006
Keratinocyte_fetal,,,CL:0000312
Keratinocyte_inflammatory,,,CL:0000312
Keratinocyte_outer,,,CL:0000312
Keratinocyte_stratified,,,CL:0000312
Lamina_propria_fibroblast_ADAMDEC1,,,CL:0000865
MAIT,,,CL:0000940
Macrophage,,,CL:0000235
Macrophage_CD5L,,,CL:0000235
Macrophage_LYVE1,,,CL:0000235
Macrophage_MMP9,,,CL:0000235
Macrophage_TREM2,,,CL:4047053
Mast,,,CL:0000097
Mature_colonocyte,,,CL:1000347
Melanocyte,,,CL:0000148
Mesothelium,,,CL:0000077
Microfold,,,CL:0000682
Mono/neutrophil_MPO,,,CL:0000834
Monocyte,,,CL:0000576
Mucous,,,CL:0002623
Mucous_gland_neck,,,CL:0002181
Myoepithelial,,,CL:0000185
Myofibroblast,,,CL:0000186
NK_CD16,,,CL:0000939
NK_CD56bright,,,CL:0000938
Neuroblast,,,CL:0000031
Oesophagus_fibroblast,,,CL:0000057
Oral_mucosa_fibroblast,,,CL:0002552
Paneth,,,CL:0000510
Pareital,,,CL:0000162
Pericyte,,,CL:0000669
Rectum_fibroblast,,,CL:0000057
SF_like,,,unknown
Seromucous,,,CL:0002623
Serous,,,CL:0002623
Surface_foveolar,,,CL:0002179
T/NK_cycling,,,CL:4033069
TA,,,CL:0009010
Tfh,,,CL:0002038
Tfh_naive,,,CL:0002038
Tnaive/cm_CD4,,,CL:0000895
Tnaive/cm_CD8,,,CL:0000900
Treg,,,CL:0000815
Treg_IL10,,,CL:0000815
Trm/em_CD8,,,CL:0000913
Trm_CD4,,,CL:0000897
Trm_CD8,,,CL:0000909
Trm_Th17,,,CL:0000899
Tuft,,,CL:0009080
Vascular_smooth_muscle,,,CL:0000359
Villus_fibroblast_F3,,,CL:0000057
gdT,,,CL:0000798
gdT_naive,,,CL:0000798
