cluster,count
Keratinocyte_stratified,61929
B_plasma_IgA1,53361
Enterocyte,40195
Colonocyte,31850
EC_venous,22526
Trm_CD4,21342
Crypt_fibroblast_PI16,20996
B_memory,20827
Trm_CD8,20449
B_naive,20429
TA,18617
Mature_colonocyte,16194
Tnaive/cm_CD4,15625
Keratinocyte_outer,14553
Goblet,13492
Basal,12985
Trm/em_CD8,12834
Lamina_propria_fibroblast_ADAMDEC1,12757
Mucous_gland_neck,12308
Trm_Th17,12066
gdT,11121
Cycling,10918
BEST4_enterocyte_colonocyte,10425
Surface_foveolar,9846
Epithelial_cycling_G2M,8369
Treg_IL10,8047
Epithelial_cycling_S,7327
EC_capillary,7201
Vascular_smooth_muscle,6560
B_plasma_IgG,6521
Mast,5342
Tfh_naive,5115
B_plasma_IgM,4834
B_plasma_IgA2,4791
Tfh,4712
Villus_fibroblast_F3,4501
Epithelial_stem,4389
Serous,4279
Oral_mucosa_fibroblast,4206
DC_cDC2,4065
EC_arterial_1,3931
Macrophage,3731
EC_lymphatic,3150
Tnaive/cm_CD8,2943
Monocyte,2858
EC_arterial_2,2594
Pericyte,2561
ILC3,2547
Treg,2362
Basal_cycling,2179
Chief,2006
NK_CD56bright,1961
NK_CD16,1925
MAIT,1560
Seromucous,1354
Duct,1331
Macrophage_LYVE1,1276
Rectum_fibroblast,1266
Tuft,1190
gdT_naive,1188
Pareital,1180
Goblet_progenitor,1165
Myofibroblast,1116
Glial/Enteric_neural_crest,1066
B_GC_I,889
Enterochromaffin,886
Goblet_cycling,861
Macrophage_TREM2,840
Mucous,830
Enteroendocrine,796
Gland_basal,720
Oesophagus_fibroblast,682
T/NK_cycling,677
Enteroendocrine_MX,596
Enteroendocrine_X,463
DC_cDC1,426
Enteroendocrine_G,420
B_GC_II,373
EC_cycling,370
Immune_recruiting_pericyte,346
Macrophage_MMP9,345
Melanocyte,345
DC_migratory,287
Glial_2,279
DC_pDC,251
Gland_duct,251
DCS_MUC17,231
B_plasmablast,228
Fibroblast_reticular,206
Paneth,201
Myoepithelial,195
Keratinocyte_inflammatory,169
Glial_3,137
B_preB,119
DCS_MUC17_cycling,107
DC_langerhans,102
Macrophage_CD5L,75
Ionocytes,67
Gland_fetal,61
Microfold,56
Neuroblast,55
Gland_mucous,53
Mesothelium,53
Erythrocytes,49
Enteric_neural_crest_cycling,48
Enteroendocrine_progenitor,42
B_proB,32
SF_like,28
Follicular_DC,24
Mono/neutrophil_MPO,23
Keratinocyte_fetal,20
Glial_1,11
Branch_A_interneuron,5
Gastric_fetal_epithelial,5
