clusterName,NSForest_markers,f_score
B_plasma_IgA1,['ENSG00000211895'],0.9114873514722056
B_plasma_IgA2,['ENSG00000211890'],0.7652170018363417
B_proB,"['ENSG00000211895', 'MT-ND6']",0.0925925925925925
Erythrocytes,"['SGK1', 'AIF1', 'IFI30']",0.053763440860215
Paneth,"['DEFA6', 'DEFA5']",0.9293044469783353
Tuft,['SH2D6'],0.9001370332305584
Pareital,"['ATP4B', 'ATP4A']",0.8856453028972783
Chief,['PGA5'],0.9235171696149844
Enterocyte,['APOB'],0.898044782484242
Microfold,['CCL25'],0.2205882352941176
Follicular_DC,"['CR2', 'CXCL13']",0.875
EC_cycling,"['PLVAP', 'HSPA1B']",0.395010395010395
EC_venous,['ACKR1'],0.899248027829998
EC_capillary,"['FLT1', 'PLVAP']",0.5702717293503689
EC_arterial_2,"['NHERF2', 'RDX']",0.3626563747671014
EC_arterial_1,"['SEMA3G', 'IGFBP3']",0.6474136967936543
EC_lymphatic,['CCL21'],0.8957043088680986
B_plasmablast,"['CD38', 'TXNDC5']",0.203125
B_plasma_IgM,"['ENSG00000211899', 'JCHAIN']",0.9260896472460436
B_plasma_IgG,['ENSG00000211896'],0.9227318565914386
Fibroblast_reticular,"['RBP5', 'CCL21', 'C3']",0.57356608478803
Villus_fibroblast_F3,['VSTM2A'],0.8183672126833761
Myofibroblast,"['HHIP', 'ACTG2']",0.6505102040816326
Glial_1,"['S1PR3', 'TIMMDC1']",0.3333333333333333
Glial_2,"['MYOT', 'DKK3', 'FBLN2']",0.4015748031496063
Glial_3,"['HAND2-AS1', 'SERPINE2', 'CDH19']",0.3485254691689008
Neuroblast,"['MYOT', 'FXYD1']",0.0709939148073022
Glial/Enteric_neural_crest,"['NRXN1', 'GPM6B']",0.7128948507139766
Enteric_neural_crest_cycling,"['CDH19', 'COL18A1']",0.1744186046511628
Branch_A_interneuron,"['FOXD3-AS1', 'STARD13']",0.5555555555555556
Mesothelium,"['UPK3B', 'BICDL1']",0.8918918918918919
Melanocyte,"['PMEL', 'MLANA']",0.9611650485436892
Pericyte,"['HIGD1B', 'RGS5']",0.5892155695750506
Immune_recruiting_pericyte,"['GPC3', 'ECRG4']",0.6797752808988764
Vascular_smooth_muscle,"['MUSTN1', 'MYH11']",0.8995555890328412
Oral_mucosa_fibroblast,"['CTHRC1', 'COL12A1']",0.5229698932469713
Rectum_fibroblast,"['DPT', 'SULF1', 'GUCY1A1']",0.4468599033816425
Oesophagus_fibroblast,"['APOD', 'SFRP2', 'IFITM1']",0.6044957472660997
Crypt_fibroblast_PI16,"['SFRP2', 'IGFBP6']",0.6982346694982745
Lamina_propria_fibroblast_ADAMDEC1,"['ADAMDEC1', 'CFD']",0.7236996022771582
Goblet,['ZG16'],0.7787290088903523
Goblet_progenitor,"['CLCA1', 'ITLN1', 'REG4', 'FABP2']",0.4892456831263254
Goblet_cycling,"['CCL25', 'OLFM4', 'SPINK4']",0.6319971108703503
TA,"['OLFM4', 'HMGB2']",0.4769677805315785
Epithelial_stem,"['RNF43', 'RGMB', 'CDCA7', 'SLC12A2']",0.3414716853170566
DCS_MUC17_cycling,"['MKI67', 'MUC5B', 'TESC', 'EVPL']",0.6046511627906976
Gastric_fetal_epithelial,"['IZUMO4', 'CSAD', 'SPATA2L', 'PACSIN3']",0.5555555555555556
Cycling,"['PGC', 'TFF1', 'CLDN18']",0.430357780012326
Surface_foveolar,"['GKN2', 'GKN1']",0.7506286917363588
Mucous_gland_neck,"['MUC6', 'PGC']",0.809473167539267
DCS_MUC17,"['GPRC5A', 'REG4', 'MUC2']",0.4603854389721627
BEST4_enterocyte_colonocyte,"['BEST4', 'CA7']",0.8819630275206835
Mature_colonocyte,"['AQP8', 'GUCA2B']",0.7667875132343033
Colonocyte,"['CA1', 'SELENBP1']",0.6169544740973313
SF_like,['MS4A12'],0.6547619047619048
Keratinocyte_inflammatory,['FDCSP'],0.8163265306122449
Keratinocyte_outer,"['PRSS27', 'CNFN']",0.9174326959314424
Keratinocyte_fetal,['RHOV'],0.2083333333333333
Enteroendocrine_progenitor,"['TUBB3', 'NKX2-2', 'KIF19']",0.4651162790697674
Enteroendocrine,"['CRYBA2', 'NEUROD1']",0.5828516377649325
Enteroendocrine_G,['GAST'],0.8747357293868921
Enteroendocrine_X,['GHRL'],0.971677559912854
Enterochromaffin,['ENSG00000257935'],0.937658388241257
Enteroendocrine_MX,"['CRYBA2', 'TM4SF4']",0.4641812865497076
Serous,"['LPO', 'PIP']",0.7212928834703715
Duct,"['RARRES1', 'SCGB3A1', 'MUC7']",0.5677785663591199
Myoepithelial,"['PCP4', 'ECRG4', 'MYH11', 'MYLK']",0.6684141546526867
Seromucous,"['BPIFB2', 'MUC7']",0.6109532420563162
Mucous,"['CRYM', 'BPIFB2']",0.5993239729589184
Ionocytes,['ASCL3'],0.8935361216730038
gdT_naive,"['CTSW', 'STK17A', 'CD7']",0.0519207683073229
gdT,['KIR2DL4'],0.7028722912663862
NK_CD16,"['FGFBP2', 'GNLY']",0.7920792079207921
Mast,"['TPSAB1', 'TPSB2']",0.9840323201231242
Monocyte,['FCN1'],0.7527001035656162
Macrophage_MMP9,"['MMP9', 'ENPP2', 'ADAMDEC1']",0.3993933265925177
Macrophage_TREM2,"['APOC1', 'GPNMB']",0.3922121896162528
