,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (cardiac),"Myocyte (cardiac, cytoplasmic)",Pericyte/SMC,Schwann cell
ENSG00000142599,1.8793719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9314786,0.0,0.0,0.0
ENSG00000130939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3148127,0.0,0.0,0.0
ENSG00000054523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2227036,0.0,0.0,0.0
ENSG00000130940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9862784,0.0,0.0,0.0
ENSG00000048707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8663228,0.0,0.0,0.0
ENSG00000233954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7900949,0.0,0.0
ENSG00000173641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5727403,0.0,0.0
ENSG00000127472,0.0,0.0,0.0,2.0664263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.532619,0.0
ENSG00000075151,1.1846776,0.0,0.0,0.0,2.3582447,2.0873346,0.0,0.0,0.0,1.0927799,0.0,0.0,0.0
ENSG00000142661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65752,0.0,0.0,0.0
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957485,0.0,0.0,2.0666966
ENSG00000117616,0.0,0.0,0.0,0.0,0.94251806,0.0,0.0,0.0,0.0,0.7094885,0.0,0.0,0.0
ENSG00000130770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1556602,0.0,0.0
ENSG00000204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78386027,0.0,0.0,0.0
ENSG00000159023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809334,0.0,0.0,0.0
ENSG00000121769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6763494,0.0,0.0
ENSG00000146463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5444734,0.0,0.0
ENSG00000168653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.143825,0.0,0.0
ENSG00000127603,1.7663836,2.2573764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9493465,0.0,0.0,0.0
ENSG00000010803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1946967,0.0,0.0,0.0
ENSG00000127124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0509238,0.0,0.0,0.0
ENSG00000142949,1.3565243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000086015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1068124,0.0,0.0,0.0
ENSG00000173660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.952241,0.0,0.0
ENSG00000185104,1.3363289,1.3627639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7446094,0.0,0.0,0.0
ENSG00000085832,0.0,1.3938415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.249558,0.0,0.0,0.0
ENSG00000117859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.253299,0.0,0.0,0.0
ENSG00000078618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8038433,0.0,0.0,0.0
ENSG00000134744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0177985,0.0,0.0,0.0
ENSG00000121310,1.8440324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3553485,0.0,0.0,0.0
ENSG00000162390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9091167,0.0,0.0,0.0
ENSG00000162409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5948784,0.0,0.0,0.0
ENSG00000162599,2.541549,2.7019117,1.916008,2.7097318,0.0,0.0,0.0,0.0,0.0,2.2469082,0.0,0.0,0.0
ENSG00000132849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1846135,0.0,0.0,0.0
ENSG00000185483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2543173,0.0,0.0,0.0
ENSG00000116754,1.4756366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172260,0.0,0.0,0.0,3.797128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.339054
ENSG00000184005,0.0,3.0765066,3.3703907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077254,1.3673235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.394913,2.4416168,0.0,0.0
ENSG00000117114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6845112,0.0,0.0,0.0
ENSG00000069702,1.994044,0.0,0.0,2.3605642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091201,0.0,0.0,0.0
ENSG00000188641,1.5466028,0.0,0.0,2.2217746,0.0,3.2754865,0.0,0.0,0.0,0.8709091,0.0,0.0,0.0
ENSG00000099260,1.7934282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2341509,0.0,0.0,0.0
ENSG00000122477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4978855,0.0,0.0,0.0
ENSG00000134215,0.0,2.2203095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000009307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6621758,0.0,0.0
ENSG00000118729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6866597,0.0,0.0
ENSG00000265491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4476459,0.0,0.0,0.0
ENSG00000265972,1.4556597,0.0,0.0,0.0,2.0188892,0.0,0.0,0.0,0.0,1.4732987,0.0,0.0,0.0
ENSG00000178104,1.5431219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0532413,2.6273441,0.0,0.0
ENSG00000197956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161333,0.0,2.2269728
ENSG00000160678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5162625,0.0,0.0
ENSG00000116539,1.4821765,0.0,0.0,0.0,2.4108315,0.0,0.0,0.0,0.0,1.4437599,0.0,0.0,0.0
ENSG00000143248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3425183,0.0
ENSG00000185630,2.3104074,0.0,0.0,1.9416366,0.0,0.0,0.0,0.0,0.0,1.7197176,0.0,0.0,0.0
ENSG00000143198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0703511,0.0,0.0
ENSG00000198821,0.0,0.0,0.0,0.0,0.0,0.0,3.395127,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198771,0.0,0.0,0.0,0.0,2.1360438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916867,0.0,0.0,0.0
ENSG00000143153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3792114,0.0,0.0
ENSG00000152061,0.0,0.0,0.0,0.0,2.8637195,0.0,2.911056,2.8050528,0.0,2.92301,0.0,0.0,0.0
ENSG00000075391,0.0,1.9639536,2.7777603,0.0,0.0,0.0,0.0,0.0,0.0,2.011509,0.0,2.8133588,0.0
ENSG00000116191,0.0,0.0,0.0,0.0,2.8766727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116194,0.0,0.0,0.0,0.0,3.3234844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033296,0.0,0.0,0.0
ENSG00000135821,1.2390066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135862,2.0797915,0.0,0.0,2.6665244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000143344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9048942,0.0,0.0,0.0
ENSG00000116667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4909147,0.0,0.0,0.0
ENSG00000135842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04387,0.0,0.0,0.0
ENSG00000151414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3444496,0.0,0.0,0.0
ENSG00000081237,0.0,0.0,0.0,0.0,2.421814,0.0,2.7735267,3.0294108,0.0,0.0,0.0,0.0,0.0
ENSG00000118194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2641258,4.4811506,0.0,0.0
ENSG00000134369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6059271,0.0,0.0,0.0
ENSG00000077157,1.3673235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9529939,1.6003273,0.0,0.0
ENSG00000117139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9204623,0.0,0.0
ENSG00000058668,1.4938545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.558342,0.0,0.0,0.0
ENSG00000263961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0538797,0.0,0.0,0.0,0.0
ENSG00000266028,0.0,0.0,0.0,0.0,0.0,2.299038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123689,2.8910708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6432085,0.0,0.0,0.0
ENSG00000186205,1.6866597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1661016,0.0,0.0,0.0
ENSG00000143776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4143496,0.0,0.0,0.0
ENSG00000154358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8991486,0.0,0.0,0.0
ENSG00000143632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0874224,0.0,0.0
ENSG00000162946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198321,0.0,0.0,0.0
ENSG00000116962,0.0,0.0,0.0,2.200788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5376508,2.5872047,0.0,0.0
ENSG00000198626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6093493,2.478969,0.0,0.0
ENSG00000054282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414739,0.0,0.0,0.0
