software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,Fibroblast,28,0.4545454545454545,1.0,0.1428571428571428,2747,0,24,4,2,"['ENSG00000091986', 'ENSG00000115414']","['ENSG00000077942', 'ENSG00000091986', 'ENSG00000136810', 'ENSG00000125730', 'ENSG00000115414', 'ENSG00000000971', 'ENSG00000140092', 'ENSG00000115380', 'ENSG00000167779', 'ENSG00000148180']",1.0
4.1,author_cell_type,Stromal cell,458,0.8837111670864819,0.8752598752598753,0.9192139737991266,2257,60,37,421,1,['ENSG00000011465'],"['ENSG00000112936', 'ENSG00000189058', 'ENSG00000111341', 'ENSG00000182326', 'ENSG00000011465', 'ENSG00000139329', 'ENSG00000159403', 'ENSG00000132386', 'ENSG00000197766', 'ENSG00000149131']",0.5067933797836304
4.1,author_cell_type,Smooth muscle cell,984,0.8572247706422018,0.9552715654952076,0.6077235772357723,1763,28,386,598,1,['ENSG00000107796'],"['ENSG00000149591', 'ENSG00000107796', 'ENSG00000148671', 'ENSG00000101335', 'ENSG00000198467', 'ENSG00000125868', 'ENSG00000140545', 'ENSG00000143198', 'ENSG00000112695', 'ENSG00000163453']",1.0
4.1,author_cell_type,Ventricle cardiomyocyte,8,0.9722222222222222,1.0,0.875,2767,0,1,7,1,['ENSG00000111245'],"['ENSG00000111245', 'ENSG00000118194', 'ENSG00000129170', 'ENSG00000129991', 'ENSG00000121769', 'ENSG00000104879', 'ENSG00000114854', 'ENSG00000160808', 'ENSG00000173991', 'ENSG00000172399']",1.0
4.1,author_cell_type,Endothelial cell (APC),183,0.4340836012861736,0.84375,0.1475409836065573,2587,5,156,27,2,"['ENSG00000169908', 'ENSG00000127920']","['ENSG00000240583', 'ENSG00000169908', 'ENSG00000127920', 'ENSG00000164687', 'ENSG00000105974', 'ENSG00000114315', 'ENSG00000185885', 'ENSG00000204389', 'ENSG00000206503', 'ENSG00000265972']",1.0
4.1,author_cell_type,Mast cell,14,0.945945945945946,0.9333333333333332,1.0,2760,1,0,14,1,['ENSG00000197253'],"['ENSG00000197253', 'ENSG00000172236', 'ENSG00000163751', 'ENSG00000100448', 'ENSG00000110848', 'ENSG00000163106', 'ENSG00000160789', 'ENSG00000118515', 'ENSG00000135821', 'ENSG00000164924']",1.0
4.1,author_cell_type,T cell,142,0.7167235494880546,0.7567567567567568,0.5915492957746479,2606,27,58,84,1,['ENSG00000115523'],"['ENSG00000115523', 'ENSG00000271503', 'ENSG00000105374', 'ENSG00000077984', 'ENSG00000100453', 'ENSG00000145649', 'ENSG00000008517', 'ENSG00000275302', 'ENSG00000172757', 'ENSG00000198668']",1.0
4.1,author_cell_type,Macrophage,677,0.7199576495500265,0.8976897689768977,0.4017725258493353,2067,31,405,272,2,"['ENSG00000250722', 'ENSG00000173372']","['ENSG00000185650', 'ENSG00000250722', 'ENSG00000129538', 'ENSG00000173372', 'ENSG00000169429', 'ENSG00000291237', 'ENSG00000080824', 'ENSG00000164733', 'ENSG00000119655', 'ENSG00000135404']",0.6368558406829834
4.1,author_cell_type,Dendritic cell,45,0.3529411764705882,0.6,0.1333333333333333,2726,4,39,6,2,"['ENSG00000169508', 'ENSG00000110077']","['ENSG00000198502', 'ENSG00000179344', 'ENSG00000169508', 'ENSG00000204257', 'ENSG00000110077', 'ENSG00000155659', 'ENSG00000204628', 'ENSG00000169429', 'ENSG00000223865', 'ENSG00000204389']",1.0
4.1,author_cell_type,Monocyte,226,0.5405405405405406,0.5986394557823129,0.3893805309734513,2490,59,138,88,2,"['ENSG00000143546', 'ENSG00000163220']","['ENSG00000143546', 'ENSG00000163220', 'ENSG00000140379', 'ENSG00000123689', 'ENSG00000011422', 'ENSG00000291237', 'ENSG00000085265', 'ENSG00000197249', 'ENSG00000204397', 'ENSG00000090382']",1.0
4.1,author_cell_type,Antigen presenting cell (RPS high),5,0.8823529411764706,1.0,0.6,2770,0,2,3,2,"['ENSG00000203747', 'ENSG00000092964']","['ENSG00000203747', 'ENSG00000240065', 'ENSG00000128340', 'ENSG00000092964', 'ENSG00000110934', 'ENSG00000160752', 'ENSG00000143771', 'ENSG00000117228', 'ENSG00000204397', 'ENSG00000197249']",1.0
4.1,author_cell_type,B cell (Plasmocyte),5,0.9523809523809524,1.0,0.8,2770,0,1,4,1,['ENSG00000211892'],"['ENSG00000211892', 'ENSG00000105369', 'ENSG00000132465', 'ENSG00000211592', 'ENSG00000170476', 'ENSG00000211896', 'ENSG00000180879', 'ENSG00000134285', 'ENSG00000120686', 'ENSG00000172183']",1.0
