cell_type,mean,std,median,count,q1,q3,f_score
mast cell,0.746010852543098,0.2627081399820401,0.81338567,1543,0.77422505,0.82768435,0.7557748374074905
epicardial adipocyte,0.7076865962126797,0.21978321894472921,0.7727591,3799,0.717315385,0.79579358,0.852939060364055
neural cell,0.657560162852815,0.22383986850859616,0.7187272,3961,0.6472329,0.7564382,0.7725298879536804
fibroblast,0.622134897223628,0.16520907000760057,0.67850405,59341,0.56669694,0.7238726,0.6684263490439976
smooth muscle cell,0.5422539280206471,0.33131395370331557,0.6529130000000001,16242,0.59264095,0.6986777375,0.6505447781025777
pericyte,0.5340967745133076,0.2935985465192576,0.635014075,77856,0.547203375,0.6768987,0.738681393103647
mesothelial cell,0.4617664967094708,0.32925517489482575,0.5930098699999999,718,0.46816457749999996,0.6297009,0.7853757616790792
"activated CD4-positive, alpha-beta T cell",0.48064556162922634,0.2551723202087246,0.5735007,1047,0.47415681499999995,0.617321315,
regular atrial cardiac myocyte,0.49496942928580745,0.2168174681755363,0.5586257,23483,0.441343035,0.6356796499999999,0.7620843145529042
regular ventricular cardiac myocyte,0.3744074348589842,0.2774050645909846,0.48909694,125289,0.27234992,0.57788515,0.8725618418587392
endothelial cell of lymphatic vessel,0.3442807841061008,0.31195089166130907,0.481660335,754,0.3934905225,0.52412723,0.7081911262798635
CD14-positive monocyte,0.3147529253468614,0.3061345176726015,0.47545198,1883,0.20950378,0.532859595,0.5507976490344249
natural killer cell,0.33245006964167306,0.21686070406893723,0.429141,3628,0.265862995,0.475933415,0.6989815526518063
endothelial cell of artery,0.2511651371464493,0.3556078204582195,0.4177194,20317,0.075292215,0.527818,0.5326839790364166
vein endothelial cell,0.17675273215089088,0.36174998934207386,0.36461223,8486,-0.0628225925,0.449539005,0.6694023702389251
macrophage,0.20212959403490507,0.34333040617681715,0.359598025,14640,0.029661600750000003,0.4607927475,0.586792513923067
capillary endothelial cell,0.12908380705292924,0.2573956431158841,0.22707516,57759,-0.006702951800000001,0.3246907,0.6632324684415505
"CD8-positive, alpha-beta cytotoxic T cell",0.08056557144044554,0.2694250870885784,0.1881932,2956,0.03037513475,0.261012805,
"CD14-positive, CD16-positive monocyte",-0.023629420578584505,0.2676206723184686,0.0139810145,3278,-0.23725357000000002,0.2083531325,
mature NK T cell,-0.18335987296576894,0.24500698226029025,-0.19227609,1463,-0.39667186499999996,0.0527898865,0.271164952810255
B cell,-0.32554606282259413,0.2467573844192548,-0.21780968,1195,-0.5159039999999999,-0.11717179750000001,0.2334630350194552
"activated CD8-positive, alpha-beta T cell",-0.2939853748907031,0.18999120608219727,-0.26511702,3001,-0.32652345,-0.16462131,
endothelial cell,-0.2498463268648312,0.17849947954889717,-0.29403567,13263,-0.372786835,-0.11645076,0.2955799297847751
"CD4-positive, alpha-beta cytotoxic T cell",-0.3097589589090973,0.2103962768192497,-0.29511204,3113,-0.44098982,-0.16305932,
monocyte,-0.40785380570011875,0.1735151555337872,-0.40087643,1684,-0.5267409525,-0.291183825,0.2577433628318584
dendritic cell,-0.6642324891646192,0.13106879863178786,-0.611213385,814,-0.810728575,-0.5634726299999999,0.2553542009884679
unknown,-0.8089936230302417,0.08990399357229606,-0.81353027,34621,-0.86054456,-0.7463527,0.2699693432260512
