,Cardiomyocyte,Endothelial,Fibroblast,Lymphoid,Myeloid,Neuronal,Pericyte,Smooth Muscle
ENSG00000175899,0.0,1.647795,0.0,0.0,0.0,0.0,1.0163901,1.1875222
ENSG00000115977,1.733682,0.92789936,0.0,1.9313534,1.6028309,0.0,0.0,1.0367463
ENSG00000165029,0.0,0.0,0.7563971,0.0,2.2870953,1.2538354,0.0,0.0
ENSG00000154263,0.0,0.0,2.5389304,0.0,0.0,0.0,0.0,0.0
ENSG00000154262,0.0,0.0,2.6849039,0.0,0.0,1.119994,0.0,0.0
ENSG00000141338,0.0,0.0,2.9426029,0.0,0.0,2.077548,0.0,0.0
ENSG00000154258,0.0,0.0,2.5097985,0.0,0.0,0.0,0.0,0.0
ENSG00000103222,0.0,0.0,0.0,0.0,0.9125869,0.0,0.0,0.0
ENSG00000114770,1.2901444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069431,1.5393722,0.0,0.0,0.0,0.0,0.0,3.2928758,0.0
ENSG00000117528,0.80768013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164074,0.8263373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000140526,1.4419492,0.0,0.0,0.0,0.0,0.0,0.0,1.3848045
ENSG00000136754,0.0,0.0,0.0,0.98063815,0.0,0.0,0.0,0.0
ENSG00000154175,0.0,0.0,1.6749251,0.0,0.0,0.0,0.0,0.0
ENSG00000097007,0.0,0.0,1.527545,0.0,0.93822956,0.0,1.2027843,1.1708399
ENSG00000143322,0.0,0.0,0.0,0.0,0.0,1.5654883,0.0,0.0
ENSG00000099204,3.41715,3.0127053,1.0272021,0.0,0.0,1.9778829,0.0,0.0
ENSG00000173210,0.0,2.0507746,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159842,0.0,0.0,0.0,0.0,1.0567665,0.0,0.0,0.0
ENSG00000166016,0.0,0.0,1.1376143,0.0,0.0,0.0,0.0,0.0
ENSG00000237813,0.8436953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224063,0.0,0.0,1.2819024,0.0,0.0,0.0,0.7798131,0.0
ENSG00000229618,1.4714434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275443,0.0,0.0,0.0,0.0,0.0,0.0,1.2207626,0.0
ENSG00000260658,1.3631425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000275131,0.97570205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076555,1.6559896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114331,0.0,0.0,0.0,0.7347084,1.6646894,0.0,0.0,0.0
ENSG00000130234,0.0,0.0,0.0,0.0,0.0,0.0,0.81389487,0.0
ENSG00000078124,0.0,1.3906603,0.0,0.0,0.8911896,0.0,0.0,0.0
ENSG00000100412,0.7612879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162390,1.1285868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151726,0.0,0.0,0.0,0.0,2.5885882,0.0,0.0,0.0
ENSG00000068366,0.0,0.0,1.1954195,0.0,0.0,0.0,0.0,0.0
ENSG00000005187,0.0,0.0,1.1568302,0.0,0.0,0.0,0.0,0.0
ENSG00000111058,1.1927737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8265201
ENSG00000072110,0.73325276,0.0,0.0,0.0,0.0,0.0,0.0,1.3681961
ENSG00000077522,2.3589363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130402,1.1032336,1.4635229,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138071,0.0,0.0,0.0,0.0,0.73164713,0.0,0.0,0.0
ENSG00000115091,0.0,0.0,0.0,0.0,0.7447111,0.0,0.0,0.0
ENSG00000170634,1.4867513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137845,1.1322072,0.0,0.0,1.0282532,1.0560942,0.0,0.0,0.0
ENSG00000151694,0.0,0.0,1.0540799,0.0,0.0,0.0,0.0,0.0
ENSG00000135074,0.0,0.0,0.0,0.0,0.0,1.419438,0.0,0.0
ENSG00000114948,0.8682526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168615,0.7915024,0.0,0.0,0.0,1.2958028,0.0,0.0,0.0
ENSG00000154734,0.0,0.0,0.0,0.0,0.0,0.0,2.2639806,3.1002402
ENSG00000151388,0.0,0.0,0.0,0.0,0.0,0.0,0.98291814,0.0
ENSG00000158859,0.0,0.0,0.0,0.0,0.0,0.0,1.855047,3.0693014
ENSG00000163638,0.0,4.567424,0.0,0.0,0.0,0.0,3.6008782,4.8847456
ENSG00000241158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1021583
ENSG00000241684,1.3766044,0.0,0.0,0.0,0.0,2.288023,2.3253026,1.77787
ENSG00000156218,0.0,0.0,1.7824798,0.0,0.0,0.0,2.038817,0.0
ENSG00000138031,0.0,0.0,0.0,0.0,0.0,0.0,1.3925898,2.2214081
ENSG00000173175,0.0,0.0,0.0,0.0,0.0,0.0,0.8493221,0.81391644
ENSG00000162104,0.7742549,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148700,0.0,0.0,1.5248679,0.0,0.0,1.9477983,0.0,0.0
ENSG00000152990,0.73912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135298,0.0,0.0,2.2309303,0.0,0.0,3.596588,2.6493556,2.03551
ENSG00000111452,0.0,0.0,0.9936108,0.0,0.0,0.0,0.0,0.0
ENSG00000069122,0.0,2.3044324,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112414,0.0,0.0,0.0,0.0,0.0,1.3307723,0.0,0.0
ENSG00000117114,1.102494,1.3688512,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000150471,0.0,0.0,1.0482091,0.0,0.0,2.256228,1.3386602,0.0
ENSG00000162618,0.0,2.184351,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196616,0.0,0.0,1.6436574,0.0,0.0,0.0,0.0,0.0
ENSG00000006831,0.0,1.4457824,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156110,1.271743,0.0,0.0,1.2082345,0.0,1.9864086,0.0,0.0
ENSG00000120907,0.7265707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130396,0.0,3.0981336,0.8912716,0.0,0.0,0.0,0.0,0.0
ENSG00000172493,1.2500908,1.6332155,1.7904066,1.5023947,2.4518738,0.0,1.2095078,1.4712399
ENSG00000072364,1.0994797,0.0,1.0689815,0.0,1.1283393,0.0,1.1432244,1.3824444
ENSG00000157985,0.75427175,1.1578021,1.5023491,0.0,0.0,2.5944345,1.6217101,0.0
ENSG00000173744,0.0,0.0,1.1263633,0.0,2.5083084,0.0,0.0,0.0
ENSG00000123908,0.0,0.0,0.7826662,0.0,0.0,0.0,0.0,0.9944814
ENSG00000126070,0.0,0.0,1.2246939,0.0,0.0,0.0,0.0,0.0
ENSG00000135744,0.0,0.0,0.0,0.0,0.0,0.0,1.0603348,0.0
ENSG00000135049,0.0,0.0,0.0,1.4186617,1.4542756,0.0,0.0,0.0
ENSG00000135541,1.3137181,0.0,1.5391568,0.0,0.0,0.0,0.0,0.8756678
ENSG00000124942,0.0,0.0,0.0,0.0,0.0,1.1816925,0.0,0.0
ENSG00000146416,0.69603467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108599,0.0,0.0,0.0,0.0,1.1296134,0.0,0.0,0.0
ENSG00000131016,0.0,2.3256779,0.9799448,0.0,0.0,0.0,0.0,2.1004379
ENSG00000170776,3.5247612,1.342984,2.6306105,2.4013114,2.9255738,2.1709936,2.2100077,2.2846484
ENSG00000151320,3.23585,0.0,0.0,0.0,0.0,0.0,0.0,1.1671677
ENSG00000127914,1.4144675,0.0,1.085649,1.4016411,1.1403577,1.1088494,1.01353,0.0
ENSG00000106948,0.0,0.0,0.0,1.8833904,0.0,0.0,0.0,0.0
ENSG00000117020,0.0,2.1679032,2.384966,2.3807998,0.0,2.4839904,2.2508893,1.6491517
ENSG00000237596,0.0,0.0,0.0,0.0,0.0,0.0,1.089169,0.0
ENSG00000230490,0.0,0.0,0.0,0.0,0.0,2.5474072,0.0,0.0
ENSG00000235535,2.035193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170017,0.0,0.0,0.0,0.0,0.0,1.3710405,0.0,0.0
ENSG00000165092,0.0,0.0,0.0,0.0,0.0,1.3067006,0.0,0.0
ENSG00000101901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85837007
ENSG00000012779,0.0,0.0,0.0,0.0,1.0842869,0.0,0.0,0.0
ENSG00000198796,1.6271917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136383,1.2551341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145362,2.7234905,0.0,0.0,0.0,0.0,2.5877733,0.0,0.0
ENSG00000151150,2.5266879,0.0,0.0,1.1478456,0.0,3.781059,0.0,0.0
ENSG00000154122,1.4197159,0.0,1.3491864,0.0,0.8124974,0.0,0.9152274,0.0
ENSG00000148677,2.0106215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088448,0.0,0.0,0.92210495,0.0,0.0,1.364063,1.1703779,0.0
ENSG00000167522,1.3372602,1.5861701,1.3723578,2.116494,1.622036,1.2506242,1.3600125,1.4966066
ENSG00000132466,1.823566,1.580632,1.7361813,1.6215475,1.638124,1.4595789,1.7547201,1.8479257
ENSG00000206560,0.0,0.0,0.0,0.0,0.0,0.9603624,0.0,0.0
ENSG00000135976,0.0,0.0,0.0,1.4861344,0.0,0.0,0.0,0.0
ENSG00000174501,0.0,0.0,0.0,1.349717,0.0,0.0,0.0,0.0
ENSG00000065413,0.0,0.0,1.3649307,2.7535305,1.3805474,0.8678515,1.222873,0.0
ENSG00000064999,0.798899,0.0,0.0,0.0,1.6389875,0.0,0.83566177,0.0
ENSG00000131620,0.0,0.0,0.0,0.0,0.0,0.0,0.8375888,1.116117
ENSG00000047617,0.0,3.3979166,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171714,0.85220397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177119,0.75462985,0.89097774,1.150739,0.0,0.0,0.0,0.0,0.0
ENSG00000169604,0.0,0.0,0.0,0.0,0.0,1.4244494,0.0,0.0
ENSG00000163297,0.0,0.0,1.4000249,0.0,0.0,0.0,0.0,0.0
ENSG00000182718,0.0,0.0,0.77287155,0.0,0.0,1.1508127,0.0,0.0
ENSG00000138772,0.0,1.4990323,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136250,0.0,0.0,0.0,2.8803868,1.206382,0.0,0.0,0.0
ENSG00000182287,0.9382291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183020,0.0,0.0,0.0,0.0,1.7437329,0.0,0.0,0.0
ENSG00000132842,0.0,0.0,0.97083604,0.0,1.4397357,0.0,0.0,0.0
ENSG00000077420,0.0,0.0,0.0,1.6528172,0.0,0.0,0.0,0.0
ENSG00000163697,0.0,2.1213202,0.0,0.0,0.0,0.0,2.2448308,2.554346
ENSG00000189058,0.0,0.0,1.7216954,0.0,0.0,0.0,0.0,0.0
ENSG00000178878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4663376
ENSG00000142192,0.0,2.019968,1.7723391,0.0,1.598725,1.4531443,0.0,0.0
ENSG00000047365,0.0,0.0,0.0,2.0491047,1.2090955,1.8467255,0.0,0.0
ENSG00000066777,0.8413613,0.0,0.9244834,1.2094256,0.0,0.0,0.0,0.0
ENSG00000124198,0.86809206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134884,0.0,1.6770437,1.243203,1.11288,0.0,0.8994095,1.2728525,1.3135687
ENSG00000071205,1.2624903,0.0,1.8450038,0.0,0.0,0.0,2.257121,2.1676748
ENSG00000075884,0.0,0.0,0.0,3.1313927,1.748323,1.6484729,1.0921214,0.0
ENSG00000140750,0.0,0.0,0.0,0.0,0.0,0.0,1.0721942,0.0
ENSG00000146376,0.0,0.0,0.0,0.0,2.3908048,0.0,0.0,0.0
ENSG00000107863,0.0,0.0,1.3397508,0.0,0.8127052,0.0,0.0,0.0
ENSG00000138639,1.7090775,0.0,1.9811363,0.0,1.9553117,3.0128367,0.0,0.0
ENSG00000145819,1.9986622,2.2999792,0.0,1.9987215,2.9926474,0.0,2.8016555,3.2586994
ENSG00000137962,0.0,2.0468006,0.0,0.0,0.0,0.0,1.4067374,0.0
ENSG00000031081,0.850204,1.8677098,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134909,0.0,0.0,0.95536375,0.0,0.0,0.97534174,0.0,0.0
ENSG00000165895,0.0,0.0,0.0,0.0,0.0,1.928458,1.9441125,1.3534307
ENSG00000100852,1.2889053,0.0,0.0,0.0,0.0,1.1629171,0.0,0.0
ENSG00000047648,0.0,0.0,1.2685193,0.0,1.8467261,0.0,2.2215915,1.655134
ENSG00000196914,1.6456808,1.616192,1.414055,0.0,0.0,1.8712665,1.9606247,1.7498927
ENSG00000114790,0.0,0.0,0.0,0.0,0.0,1.5460213,0.0,0.0
ENSG00000163947,0.0,0.0,0.0,1.6696571,0.0,0.0,0.0,0.0
ENSG00000102606,0.0,1.7632744,0.0,0.0,0.0,0.0,2.2460895,2.3540714
ENSG00000049618,1.7802556,1.9655356,2.242508,2.4013116,2.0134747,1.8974601,2.1557727,1.9849877
ENSG00000189079,0.9399841,0.0,1.1665581,1.3615825,1.1892662,0.0,1.159489,1.0461082
ENSG00000054267,0.80309415,1.4200325,1.3573811,2.0521777,1.4681348,1.2086834,1.4644809,1.4996405
ENSG00000150347,1.2386584,0.0,1.8084812,2.1385512,0.0,0.0,1.1914158,1.9326576
ENSG00000166233,1.1383348,1.2117401,1.2951283,1.4343541,1.3974983,1.070113,1.5467483,1.5714285
ENSG00000177479,0.9238875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185305,1.3648221,1.9789838,1.4449768,1.8749202,1.9753652,0.0,0.0,0.0
ENSG00000163466,0.0,0.0,0.0,0.0,0.92858493,0.0,0.0,0.0
ENSG00000104763,0.98759806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153317,1.2446089,2.3523843,1.3962388,0.0,2.2783337,0.0,1.8900284,0.0
ENSG00000151693,0.0,0.0,1.1093259,0.0,0.0,2.1922622,1.4881213,1.0505724
ENSG00000182177,0.7189878,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000112249,0.0,0.0,1.2706356,0.77493215,0.0,0.0,0.0,0.0
ENSG00000116539,1.5675876,1.3956671,1.6187831,1.8407172,1.7719337,1.3977274,1.7096335,1.6902556
ENSG00000198363,0.71488434,0.0,1.1960227,0.0,1.0653539,1.5259937,0.0,0.0
ENSG00000148219,0.0,0.0,0.0,0.0,0.0,2.528447,0.0,0.0
ENSG00000171456,0.0,0.0,0.9612597,0.0,0.0,0.0,0.0,0.0
ENSG00000119778,0.0,0.0,0.9396516,0.0,0.9662237,0.0,0.0,0.0
ENSG00000118217,0.0,0.0,0.0,0.0,1.5608146,0.0,0.0,0.0
ENSG00000171681,0.0,0.0,0.0,2.0108085,0.0,0.0,0.0,0.0
ENSG00000197548,0.0,0.0,0.0,0.0,2.2427588,0.0,0.0,0.0
ENSG00000149311,0.0,0.0,0.0,2.0077791,1.3681979,0.0,0.0,0.0
ENSG00000068650,1.637957,0.0,0.0,0.0,0.69907475,0.0,0.0,0.0
ENSG00000058063,0.0,0.0,0.0,1.0763184,0.0,0.0,0.0,0.0
ENSG00000133657,0.74314415,1.1551142,0.8136833,0.0,0.85456467,0.0,0.0,0.0
ENSG00000143153,0.85212684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069849,0.0,0.0,0.0,0.0,0.0,0.0,1.56849,3.281343
ENSG00000174437,2.4530163,0.0,0.0,0.0,0.0,0.0,0.0,1.2911953
ENSG00000070961,0.0,0.0,0.0,1.0696111,1.1694206,0.0,0.0,0.0
ENSG00000058668,1.3152611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124406,0.0,0.0,0.0,1.970573,0.0,0.0,0.0,0.0
ENSG00000104043,0.0,0.0,0.0,0.0,2.1066604,0.0,0.0,0.0
ENSG00000166377,0.71196425,0.0,0.8805516,0.761029,1.1986847,0.0,0.9701743,1.2221127
ENSG00000085224,1.1089175,1.471745,1.3593132,1.9017291,1.4902487,1.1156998,1.567863,1.4777439
ENSG00000124788,1.7740135,0.0,0.71210104,2.6771798,2.1875062,0.0,1.1330985,0.86711144
ENSG00000130638,0.0,0.0,1.0053275,0.0,0.0,0.0,0.0,0.0
ENSG00000204842,0.92937255,0.0,0.8238881,0.0,1.1035364,0.0,0.87447834,0.0
ENSG00000163635,0.0,0.0,0.0,1.0081999,0.0,0.0,0.0,0.0
ENSG00000148090,0.94678557,0.0,0.78883934,0.0,0.0,0.0,0.0,0.0
ENSG00000158321,0.78544855,2.404665,2.0925078,0.0,2.1876824,0.0,2.884135,2.3257375
ENSG00000167601,0.0,0.0,0.0,0.0,0.0,0.0,0.7923614,1.5908748
ENSG00000166710,0.0,1.8391209,0.0,1.9290445,0.70448726,0.0,0.0,0.0
ENSG00000139044,1.4659528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000086062,0.95335066,0.0,0.90841377,0.0,0.0,0.0,0.0,0.0
ENSG00000158470,0.0,1.1846775,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158019,1.4327726,0.0,0.7750117,1.2072089,1.2636728,0.0,0.0,0.0
ENSG00000156273,0.73511285,0.0,1.0438378,0.0,1.5895779,1.1088494,0.0,1.286059
ENSG00000112182,0.0,0.0,1.2649488,0.0,0.0,2.6393359,0.0,0.0
ENSG00000198604,0.0,0.0,0.0,0.38742694,1.0035757,0.0,0.0,0.0
ENSG00000123636,1.2527629,1.6181343,1.4702597,0.0,1.88153,1.2343236,1.6851074,1.4367936
ENSG00000114439,0.0,0.0,1.1687319,1.6549491,0.8887353,0.0,1.2782464,0.0
ENSG00000141376,1.1535527,0.0,0.8679317,1.625807,1.0202892,0.0,1.7076588,1.7337146
ENSG00000060982,0.0,0.0,0.0,0.0,1.2322559,0.0,0.0,0.0
ENSG00000083123,1.0996801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127152,0.0,0.0,0.0,1.8351269,0.0,0.0,0.0,0.0
ENSG00000171791,0.0,0.0,0.0,1.9772487,0.0,2.9237025,0.0,0.0
ENSG00000099968,0.74747777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113916,0.7483567,0.0,1.5292652,0.0,0.0,0.0,1.2551341,1.0528965
ENSG00000122870,0.0,0.0,2.9982934,0.0,0.0,0.0,0.0,0.0
ENSG00000115760,1.1794257,1.5748361,1.5669872,2.050332,1.8544104,1.3761065,1.7184021,1.5746851
ENSG00000138756,0.0,0.0,0.0,0.0,1.9020523,0.0,0.0,0.0
ENSG00000112175,0.0,0.0,0.0,0.0,0.0,0.0,1.1006849,0.0
ENSG00000107779,1.008359,0.0,0.7908433,0.0,0.0,0.0,0.0,0.0
ENSG00000204217,0.8729336,2.1624384,1.339231,0.0,0.0,0.0,0.0,1.5902226
ENSG00000173068,0.0,0.0,2.557395,0.0,0.0,0.0,0.0,0.0
ENSG00000104765,0.0,0.0,1.3418868,0.0,1.2210996,0.0,0.0,0.0
ENSG00000171634,0.7942511,0.0,0.8447157,1.7075047,0.8114887,0.0,0.0,0.0
ENSG00000157764,1.2000207,1.0970814,1.3937278,1.277421,1.1493378,1.4316807,1.4871929,1.4837569
ENSG00000141867,0.0,0.0,0.9748789,0.0,0.0,0.0,0.0,0.87575006
ENSG00000185658,0.8532852,0.0,1.1984422,1.5241659,1.0351545,0.0,1.1070836,0.0
ENSG00000095564,0.0,0.0,0.0,0.0,0.74112636,0.0,0.0,0.9391346
ENSG00000183826,1.695004,0.0,0.0,1.5777297,0.0,0.0,2.0935133,2.912519
ENSG00000165810,0.0,2.2844503,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166167,0.7512429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136261,0.8031962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120029,1.1310333,0.0,0.0,0.0,1.0804801,0.0,0.0,0.0
ENSG00000133943,0.90371305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186073,2.7042923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6305686
ENSG00000159403,0.0,0.0,1.2747066,0.0,0.0,0.0,0.0,0.0
ENSG00000182326,0.0,0.0,1.6102384,0.0,0.0,0.0,0.0,0.0
ENSG00000203709,0.7142452,0.0,0.0,0.0,0.0,0.0,0.0,1.1888691
ENSG00000116667,1.5192679,1.8466506,1.4702597,0.0,0.0,1.489583,2.1837099,1.5408652
ENSG00000088854,0.79611665,0.0,0.0,0.0,1.5620544,0.0,0.8697399,0.0
ENSG00000125730,0.0,0.0,1.489716,0.0,0.0,0.0,0.0,0.0
ENSG00000112936,0.0,0.0,2.5689278,0.0,0.0,0.0,0.0,0.0
ENSG00000176907,0.0,1.2078605,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148120,2.1444073,0.0,1.4824396,0.0,0.0,1.668608,1.1397064,2.0005965
ENSG00000178538,0.0,1.2498244,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135932,0.0,0.0,0.0,0.0,1.6194323,0.0,0.0,0.0
ENSG00000102547,0.0,0.0,0.0,0.0,0.0,1.3948678,0.0,0.0
ENSG00000151067,4.156576,0.0,0.8563519,0.0,0.0,0.0,3.394157,4.154769
ENSG00000153956,1.8738675,0.0,1.753436,0.0,0.0,0.0,2.026279,1.4887855
ENSG00000157445,1.14772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165995,3.105571,0.0,0.0,0.0,0.0,0.0,1.0332272,2.4752567
ENSG00000182985,0.9303013,0.0,0.0,0.0,0.0,2.4652634,0.0,0.0
ENSG00000175161,0.0,0.0,0.0,0.0,0.0,3.61893,0.0,0.0
ENSG00000081803,0.0,2.285838,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000122786,2.1086602,1.7351229,1.7056282,0.0,0.0,1.0257652,3.2099907,3.3689451
ENSG00000183049,0.0,0.0,0.0,1.23589,1.7407705,0.0,0.0,0.0
ENSG00000145349,2.6764445,0.0,2.0090823,1.431442,0.9516932,1.5390846,2.0296693,2.169075
ENSG00000152495,0.0,0.0,0.0,1.5413909,0.0,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,1.1088494,0.0,0.0
ENSG00000112186,1.3490818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116489,0.0,0.0,0.0,0.0,0.7582072,0.0,0.0,0.0
ENSG00000077549,0.0,1.4324085,0.9223331,1.3410004,1.439796,0.0,1.4549041,1.2876688
ENSG00000198286,0.0,0.0,0.0,1.6239998,0.0,0.0,0.0,0.0
ENSG00000079691,0.0,0.0,1.3489752,0.0,0.0,0.0,0.0,1.612726
ENSG00000249669,0.0,0.0,0.0,0.0,0.0,0.0,1.2276304,1.4170175
ENSG00000272168,0.0,0.0,0.0,0.0,0.0,1.8355696,0.0,0.0
ENSG00000147044,0.0,0.0,0.0,1.4606371,0.0,0.0,0.0,0.0
ENSG00000118729,1.2728988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153113,1.6235595,0.0,1.0935712,1.1606399,1.1306779,1.1186048,0.0,0.0
ENSG00000130940,0.7920307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105974,0.0,1.0365027,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114423,2.7035174,1.9375569,3.2479901,3.0676715,1.0704286,0.0,2.1358314,1.9623322
ENSG00000163492,1.1734922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000223745,0.0,0.0,0.0,0.0,0.0,1.1677774,0.8745199,0.0
ENSG00000091986,0.0,0.0,1.1601276,0.0,0.0,0.0,0.0,0.0
ENSG00000115355,0.0,0.0,0.0,0.0,1.3886803,0.0,0.0,0.0
