,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
ENSG00000175899,0.0,0.76,0.8378676223754883,0.0,0.0,0.0,0.0,0.7738999676704407,0.0,0.8000512409210205,0.0,0.0,0.0,0.7938447260856628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774881341457367,0.7783825635910034,0.0,0.0
ENSG00000128274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115977,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9722939157485961
ENSG00000154262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9271152567863464,0.9452895641326904,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.904883337020874,0.0,0.0,0.0,0.8921141791343689,0.0,0.0,0.0,0.0,0.881601231098175,0.0,0.0,0.0,0.0
ENSG00000154258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934166612625122,0.954683141708374,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069431,0.0,0.0,0.0,0.0,0.8811231708526611,0.0,0.0,0.0,0.881501488685608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.902848174571991,0.0
ENSG00000154175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.961315393447876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099204,0.0,0.0,0.5607772827148437,0.6660542440414429,0.0,0.7268534564971924,0.0,0.6775390195846558,0.6953473734855652,0.5611861443519592,0.0,0.6670984697341918,0.0,0.0,0.6590646123886108,0.0,0.56,0.0,0.6000831723213196,0.0,0.0,0.0,0.0,0.6163727307319641,0.0,0.7783817911148071
ENSG00000224063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641653490066528,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000229618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000076555,0.981954755783081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
