cluster,n_cells,percentage
Adipocytes,12678,1.36
Arterial SMC,5917,0.64
Arterial endothelial cells,28741,3.09
Atria-enriched endothelial cells,21909,2.35
Atria-enriched pericytes,14592,1.57
Atrial cardiomyocytes,57942,6.22
Basic SMC,20418,2.19
CMC-like endothelial cells,6947,0.75
CMC-like pericytes,3381,0.36
Capillary endothelial cells,87214,9.37
Cytoplasmic cardiomyocytes,29409,3.16
Fibroblast-like endothelial cells,2564,0.28
Fibroblasts,177974,19.12
Immune-related endothelial cells,4914,0.53
Lymphatic endothelial cells,2766,0.3
Lymphoid,16636,1.79
MT-high fibroblasts,9687,1.04
Mast cells,2927,0.31
Mesothelial cells,1696,0.18
Myeloid,59298,6.37
NK cells,4302,0.46
Neuronal cells,7354,0.79
Stromal pericytes,15871,1.7
Venous endothelial cells,16610,1.78
Ventricle-enriched pericytes,83573,8.98
Ventricular cardiomyocytes,235692,25.32
