clusterName,gene
Stromal pericytes,ENSG00000135744
Stromal pericytes,ENSG00000185633
MT-high fibroblasts,ENSG00000228253
MT-high fibroblasts,ENSG00000166482
Basic SMC,ENSG00000140836
Arterial SMC,ENSG00000077943
Atria-enriched pericytes,ENSG00000127954
Atria-enriched pericytes,ENSG00000235904
Atria-enriched pericytes,ENSG00000131711
Ventricle-enriched pericytes,ENSG00000164318
Ventricle-enriched pericytes,ENSG00000172159
CMC-like pericytes,ENSG00000115641
CMC-like pericytes,ENSG00000148120
CMC-like pericytes,ENSG00000164318
CMC-like pericytes,ENSG00000152402
CMC-like pericytes,ENSG00000134775
CMC-like pericytes,ENSG00000237298
Ventricular cardiomyocytes,ENSG00000145934
Ventricular cardiomyocytes,ENSG00000115641
Atrial cardiomyocytes,ENSG00000144331
Atrial cardiomyocytes,ENSG00000163618
Cytoplasmic cardiomyocytes,ENSG00000175206
Cytoplasmic cardiomyocytes,ENSG00000198336
Neuronal cells,ENSG00000179915
Mast cells,ENSG00000163751
Mast cells,ENSG00000157404
Myeloid,ENSG00000110077
Myeloid,ENSG00000177575
Mesothelial cells,ENSG00000105509
Mesothelial cells,ENSG00000162631
Fibroblast-like endothelial cells,ENSG00000112699
Fibroblast-like endothelial cells,ENSG00000154262
Fibroblast-like endothelial cells,ENSG00000047617
Fibroblast-like endothelial cells,ENSG00000172260
Fibroblast-like endothelial cells,ENSG00000154217
Fibroblast-like endothelial cells,ENSG00000071991
Fibroblasts,ENSG00000122870
Adipocytes,ENSG00000181092
Adipocytes,ENSG00000166819
Atria-enriched endothelial cells,ENSG00000150275
Atria-enriched endothelial cells,ENSG00000133110
Lymphatic endothelial cells,ENSG00000137077
Lymphatic endothelial cells,ENSG00000138722
Venous endothelial cells,ENSG00000122679
Venous endothelial cells,ENSG00000174640
CMC-like endothelial cells,ENSG00000047617
CMC-like endothelial cells,ENSG00000198125
CMC-like endothelial cells,ENSG00000154217
CMC-like endothelial cells,ENSG00000109846
Lymphoid,ENSG00000151883
NK cells,ENSG00000180644
NK cells,ENSG00000100453
NK cells,ENSG00000198821
Arterial endothelial cells,ENSG00000164683
Arterial endothelial cells,ENSG00000169908
Capillary endothelial cells,ENSG00000102760
Capillary endothelial cells,ENSG00000184113
Immune-related endothelial cells,ENSG00000108691
Immune-related endothelial cells,ENSG00000006210
Immune-related endothelial cells,ENSG00000008517
