clusterName,NSForest_markers,f_score,onTarget,precision,recall
Stromal pericytes,"['ENSG00000135744', 'ENSG00000185633']",0.3811892380737056,1.0,0.3560567663456665,0.5311574569970386
MT-high fibroblasts,"['ENSG00000228253', 'ENSG00000166482']",0.8227649913887585,1.0,0.9448040273282992,0.5424796118509343
Basic SMC,['ENSG00000140836'],0.4238791845747407,0.4528481066226959,0.5675818373812038,0.2105984915270839
Arterial SMC,['ENSG00000077943'],0.5246993238011666,1.0,0.6043400713436385,0.3435862768294744
Atria-enriched pericytes,"['ENSG00000127954', 'ENSG00000235904', 'ENSG00000131711']",0.1791230988593156,0.3365342915058136,0.2015374331550802,0.1239720394736842
Ventricle-enriched pericytes,"['ENSG00000164318', 'ENSG00000172159']",0.6650829080411803,0.3941549658775329,0.7824118905528656,0.4157203881636414
CMC-like pericytes,"['ENSG00000115641', 'ENSG00000148120', 'ENSG00000164318', 'ENSG00000152402', 'ENSG00000134775', 'ENSG00000237298']",0.3977350252421885,0.3719754219055176,0.5906788247213779,0.1724341910677314
Ventricular cardiomyocytes,"['ENSG00000145934', 'ENSG00000115641']",0.8765305092598964,0.7935922145843506,0.9609895636866592,0.6485370738081904
Atrial cardiomyocytes,"['ENSG00000144331', 'ENSG00000163618']",0.610385955304033,1.0,0.8731298623578695,0.2769838804321562
Cytoplasmic cardiomyocytes,"['ENSG00000175206', 'ENSG00000198336']",0.4926038976285513,0.5318220853805542,0.7302471284371737,0.2140161175150464
Neuronal cells,['ENSG00000179915'],0.835008480432188,1.0,0.868648913576213,0.7230078868642915
Mast cells,"['ENSG00000163751', 'ENSG00000157404']",0.8323501018985305,1.0,0.9706066291432144,0.5302357362487188
Myeloid,"['ENSG00000110077', 'ENSG00000177575']",0.7775482965332351,1.0,0.944116517061926,0.4558501129886337
Mesothelial cells,"['ENSG00000105509', 'ENSG00000162631']",0.6925837320574163,1.0,0.932367149758454,0.3413915094339622
Fibroblast-like endothelial cells,"['ENSG00000112699', 'ENSG00000154262', 'ENSG00000047617', 'ENSG00000172260', 'ENSG00000154217', 'ENSG00000071991']",0.2028258887876025,0.2785117030143738,0.2292337411461687,0.1388455538221528
Fibroblasts,['ENSG00000122870'],0.7067878102241392,0.4436418712139129,0.7555973815894901,0.5616606920111926
Adipocytes,"['ENSG00000181092', 'ENSG00000166819']",0.7463609688740579,1.0,0.939865966310451,0.4092916863858652
Atria-enriched endothelial cells,"['ENSG00000150275', 'ENSG00000133110']",0.661408121530821,1.0,0.9229514879739096,0.3100095851020129
Lymphatic endothelial cells,"['ENSG00000137077', 'ENSG00000138722']",0.647800886464371,1.0,0.9806451612903224,0.274765003615329
Venous endothelial cells,"['ENSG00000122679', 'ENSG00000174640']",0.4610051753244956,0.7415196299552917,0.4788702026735661,0.4011438892233594
CMC-like endothelial cells,"['ENSG00000047617', 'ENSG00000198125', 'ENSG00000154217', 'ENSG00000109846']",0.1392363241610421,0.261033296585083,0.1657303370786516,0.0849287462213905
Lymphoid,['ENSG00000151883'],0.4747936760465348,1.0,0.6476771787046457,0.2296225054099543
NK cells,"['ENSG00000180644', 'ENSG00000100453', 'ENSG00000198821']",0.713070115724983,1.0,0.8067000385059684,0.4869827986982799
Arterial endothelial cells,"['ENSG00000164683', 'ENSG00000169908']",0.5325255484971119,0.645510196685791,0.6505538032714736,0.3085835565916286
Capillary endothelial cells,"['ENSG00000102760', 'ENSG00000184113']",0.632976812866664,0.4652261137962341,0.776733024804721,0.3637145412433784
Immune-related endothelial cells,"['ENSG00000108691', 'ENSG00000006210', 'ENSG00000008517']",0.3028383172833249,1.0,0.41421143847487,0.1459096459096459
