author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
Antigen presenting cell (RPS high),0.6243268163578752,0.09396126647897028,0.6650969557284503,5
B cell (Plasmocyte),0.8420723020168722,0.05039238199296103,0.8664926712755512,5
Dendritic cell,-0.1461836671838328,0.3307913183257972,-0.12957095444178723,45
Endothelial cell (APC),0.4132284278472781,0.32298310032833305,0.527343782927628,183
Fibroblast,0.04333499597735065,0.3436912940201769,0.21257717420116345,28
Macrophage,0.18546621137840522,0.35201709532254366,0.35286308482559464,677
Mast cell,0.8899704090143096,0.04892269565422926,0.9106976263943363,14
Monocyte,0.20615766448824194,0.26002547800799963,0.29505363486262154,226
Smooth muscle cell,0.21610827357822374,0.2978403670560774,0.33771591312666205,984
Stromal cell,0.4263957739843663,0.22122768733205672,0.5057841603851067,458
T cell,0.5769984592924415,0.34157567341706296,0.7156701539358885,142
Ventricle cardiomyocyte,0.49843800616388484,0.19952356727904594,0.6220628556946066,8
