clusterName,gene
Antigen presenting cell (RPS high),ENSG00000203747
Antigen presenting cell (RPS high),ENSG00000092964
B cell (Plasmocyte),ENSG00000211892
Fibroblast,ENSG00000091986
Fibroblast,ENSG00000115414
Stromal cell,ENSG00000011465
Smooth muscle cell,ENSG00000107796
Ventricle cardiomyocyte,ENSG00000111245
Endothelial cell (APC),ENSG00000169908
Endothelial cell (APC),ENSG00000127920
Mast cell,ENSG00000197253
T cell,ENSG00000115523
Macrophage,ENSG00000250722
Macrophage,ENSG00000173372
Dendritic cell,ENSG00000169508
Dendritic cell,ENSG00000110077
Monocyte,ENSG00000143546
Monocyte,ENSG00000163220
