clusterName,NSForest_markers,f_score
Antigen presenting cell (RPS high),"['ENSG00000203747', 'ENSG00000092964']",0.8823529411764706
B cell (Plasmocyte),['ENSG00000211892'],0.9523809523809524
Fibroblast,"['ENSG00000091986', 'ENSG00000115414']",0.4545454545454545
Stromal cell,['ENSG00000011465'],0.8837111670864819
Smooth muscle cell,['ENSG00000107796'],0.8572247706422018
Ventricle cardiomyocyte,['ENSG00000111245'],0.9722222222222222
Endothelial cell (APC),"['ENSG00000169908', 'ENSG00000127920']",0.4340836012861736
Mast cell,['ENSG00000197253'],0.945945945945946
T cell,['ENSG00000115523'],0.7167235494880546
Macrophage,"['ENSG00000250722', 'ENSG00000173372']",0.7199576495500265
Dendritic cell,"['ENSG00000169508', 'ENSG00000110077']",0.3529411764705882
Monocyte,"['ENSG00000143546', 'ENSG00000163220']",0.5405405405405406
