,Antigen presenting cell (RPS high),B cell (Plasmocyte),Dendritic cell,Endothelial cell (APC),Fibroblast,Macrophage,Mast cell,Monocyte,Smooth muscle cell,Stromal cell,T cell,Ventricle cardiomyocyte
RPL13A,0.0,2.5510323,3.0090346,2.8843477,0.0,2.3924584,3.0397854,2.5137796,0.0,2.9243014,2.941133,3.0878437
RPL7,3.792878,2.7891493,2.601533,0.0,0.0,2.5359092,3.257382,2.803625,0.0,2.2359655,2.4217234,0.0
CD52,4.4123907,0.0,0.0,0.0,0.0,0.0,0.0,3.2936254,0.0,0.0,2.9037294,0.0
LAPTM5,0.0,0.0,2.478969,0.0,0.0,2.1796417,1.2961677,2.5826845,0.0,0.0,0.0,0.0
IFITM1,0.0,0.0,0.0,2.876409,0.0,0.0,0.0,0.0,0.0,0.0,2.6293778,0.0
PMP22,0.0,0.0,0.0,0.0,2.2257714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MFAP4,0.0,0.0,0.0,0.0,2.9318345,0.0,0.0,0.0,0.0,2.6745024,0.0,0.0
MYL12A,0.0,2.4153492,0.0,2.9352024,0.0,0.0,1.4334875,2.5946531,0.0,0.0,3.2973824,2.7355297
FOSB,0.0,0.0,0.0,0.0,0.0,0.0,3.244988,0.0,0.0,0.0,0.0,1.2170621
UBA52,0.0,0.0,2.3825824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
ANXA5,0.0,0.0,0.0,0.0,2.2094433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9160256,0.0
EFEMP1,0.0,0.0,0.0,0.0,2.6976905,0.0,0.0,0.0,0.0,2.1876948,0.0,0.0
RPL30,3.1220112,2.2724578,2.784861,2.8227344,2.5906234,2.5147595,3.033424,2.6776743,0.0,2.3589442,2.898817,0.0
C1R,0.0,0.0,0.0,0.0,3.0745797,0.0,0.0,0.0,0.0,3.0914266,0.0,0.0
ITM2B,3.0618289,0.0,0.0,0.0,2.646711,2.409798,0.0,0.0,0.0,2.7934875,0.0,0.0
ITM2C,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.0,0.0,2.784861,0.0,0.0,2.9891067,0.0,3.1644533,0.0,0.0,2.9882152,0.0
HLA-B,4.1908045,2.9127007,2.9036927,3.8496585,0.0,3.570724,1.4625659,3.2905097,2.5957854,0.0,3.283688,0.0
SRPX,0.0,0.0,0.0,0.0,2.1916704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP7,0.0,0.0,0.0,0.0,1.3522553,0.0,0.0,0.0,3.2204132,0.0,0.0,0.0
UQCR10,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0515575
COX5A,0.0,2.454301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732705
COL1A2,0.0,0.0,0.0,0.0,2.3787775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL26,0.0,2.454301,2.6285357,0.0,0.0,0.0,0.0,2.5190125,0.0,0.0,0.0,2.6992435
RPS27A,3.731297,3.1035366,2.3816903,2.5787208,0.0,2.5911927,3.2593374,2.4778533,0.0,0.0,2.9900036,0.0
RPS27L,3.0618289,2.2724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERF2,3.8655386,3.0628002,0.0,0.0,0.0,2.9855301,2.9390268,3.0220413,0.0,0.0,0.0,1.4821815
ENSG00000211592,0.0,7.9409966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,0.0,0.0,1.9676502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS3,0.0,2.4153492,2.933516,0.0,0.0,0.0,1.2961677,0.0,0.0,2.293414,3.1942647,0.0
CD74,4.1908045,0.0,5.2359943,3.6660006,0.0,3.8006842,0.0,3.5003972,0.0,0.0,0.0,0.0
DDIT4,0.0,0.0,0.0,0.0,0.0,0.0,1.3288203,0.0,0.0,0.0,0.0,0.0
MORF4L1,0.0,0.0,0.0,0.0,1.1445091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF1,3.7802398,2.7891493,0.0,2.4849982,0.0,2.7417293,3.096447,2.6645677,0.0,0.0,0.0,1.4821815
FBLN1,0.0,0.0,0.0,0.0,2.8071418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGN,3.0618289,2.454301,3.1303434,0.0,0.0,2.9696085,3.9330902,3.4889464,0.0,0.0,3.0036018,0.0
GNG5,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP1,3.731297,3.1035366,2.933516,0.0,0.95017856,3.020092,0.0,3.1282558,0.0,0.0,3.1409276,3.3373208
MYL12B,0.0,2.2724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG20,0.0,2.2724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8181286
H3-3B,3.1096535,3.8459158,0.0,0.0,0.0,2.4562483,4.3383303,2.8075337,0.0,0.0,3.0238557,0.0
LGALS1,0.0,2.2724578,0.0,0.0,0.0,2.33153,1.4625659,0.0,2.8607624,0.0,0.0,0.0
G0S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.095446,0.0,0.0,0.0,0.0
GPX1,0.0,0.0,2.601533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGFBP6,0.0,0.0,0.0,0.0,3.1827614,0.0,0.0,0.0,0.0,2.6539705,0.0,0.0
ATP5MG,0.0,0.0,0.0,0.0,0.0,0.0,3.033424,0.0,0.0,0.0,0.0,3.2205977
CFL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.864635,0.0
ACTG1,0.0,0.0,1.9676502,2.5787208,0.0,2.711042,1.2961677,0.0,0.0,2.577036,0.0,0.0
ATP5MF,0.0,2.4153492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.732705
TMA7,3.1220112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7468975,2.9978247
SNRPD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
HLA-DRA,5.0165706,0.0,4.8331866,3.1709895,0.0,3.8006842,0.0,3.63586,0.0,0.0,0.0,0.0
SELENOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.721088,0.0,0.0,3.4957318
RPL36,0.0,2.454301,3.0163913,2.9909003,1.2930343,2.4341242,2.7913861,2.6034102,2.7163658,2.6839337,3.041109,0.0
EEF1A1,3.1931264,2.4153492,3.023808,2.8607407,0.0,3.0696275,2.984827,2.7728233,0.0,0.0,0.0,0.0
FCGR3A,4.263995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN,0.0,0.0,0.0,0.0,0.0,0.0,1.3288203,0.0,0.0,0.0,0.0,0.0
RPS21,0.0,0.0,2.4650664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4899993
RPL28,0.0,0.0,2.478969,0.0,0.0,0.0,1.2961677,0.0,0.0,0.0,0.0,0.0
COX7C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.821991,0.0,0.0,4.1674304
UQCRH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.137999
TXN,0.0,0.0,0.0,0.0,2.7431517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6180575,0.0,0.0,0.0
SGK1,0.0,0.0,0.0,0.0,0.0,0.0,3.1659617,0.0,0.0,0.0,0.0,0.0
DSTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.109674,0.0,0.0,0.0
ATP5PF,0.0,0.0,0.0,0.0,0.0,0.0,1.2961677,0.0,2.18328,0.0,0.0,3.0341105
IFI27,0.0,0.0,0.0,3.3813038,0.0,0.0,0.0,0.0,0.0,2.7255855,0.0,1.5184675
RPL18A,3.0618289,2.5510323,2.8079755,0.0,0.0,0.0,3.2391376,2.5354023,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0,2.8171573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DMA,0.0,0.0,2.0050864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4821815
ERGIC2,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4821815
LMNA,0.0,0.0,0.0,0.0,0.0,0.0,3.0625024,0.0,0.0,0.0,0.0,0.0
A2M,0.0,0.0,0.0,3.1709895,0.0,0.0,0.0,0.0,2.6832976,0.0,0.0,1.515643
RPL5,3.1220112,0.0,1.9676502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.395526
RPL3,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL32,0.0,2.2724578,3.1147823,3.023808,2.36827,2.7707157,3.1174605,2.841788,2.7434287,2.8072586,3.1147966,1.5412222
TPM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02102,0.0,0.0,0.0
PKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
MGP,0.0,0.0,0.0,0.0,3.7497065,0.0,0.0,0.0,0.0,4.091884,0.0,0.0
C1QA,0.0,0.0,2.6285357,0.0,0.0,3.0676718,0.0,0.0,0.0,0.0,0.0,0.0
RPL13,3.0618289,0.0,1.9676502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4821815
RHOA,0.0,0.0,2.3825824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,3.731297,0.0,0.0,0.0,3.2394269,3.0560234,1.5222613,3.2907166,0.0,3.4269977,0.0,1.6399939
RPL10A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
IFITM2,3.8655386,0.0,0.0,0.0,0.0,0.0,1.623671,0.0,0.0,0.0,0.0,0.0
SSR4,0.0,3.596243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A4,4.461913,0.0,2.9377377,0.0,2.4844956,0.0,0.0,3.6819324,0.0,2.2221885,0.0,0.0
ATP5MJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0878437
