clusterName,gene
regular atrial cardiac myocyte,ENSG00000106631
regular atrial cardiac myocyte,ENSG00000162989
neural cell,ENSG00000179915
fibroblast,ENSG00000154262
unknown,ENSG00000011465
unknown,ENSG00000196569
unknown,ENSG00000198626
epicardial adipocyte,ENSG00000119927
smooth muscle cell,ENSG00000133392
smooth muscle cell,ENSG00000107796
pericyte,ENSG00000164318
endothelial cell of artery,ENSG00000164683
endothelial cell of artery,ENSG00000146674
endothelial cell,ENSG00000184005
endothelial cell,ENSG00000164035
endothelial cell,ENSG00000169744
capillary endothelial cell,ENSG00000102760
capillary endothelial cell,ENSG00000184113
vein endothelial cell,ENSG00000213088
endothelial cell of lymphatic vessel,ENSG00000137077
endothelial cell of lymphatic vessel,ENSG00000138722
mesothelial cell,ENSG00000179914
CD14-positive monocyte,ENSG00000163221
CD14-positive monocyte,ENSG00000257764
monocyte,ENSG00000204482
monocyte,ENSG00000130522
macrophage,ENSG00000155659
dendritic cell,ENSG00000069275
dendritic cell,ENSG00000164104
mast cell,ENSG00000163751
mast cell,ENSG00000182667
B cell,ENSG00000231389
mature NK T cell,ENSG00000173762
mature NK T cell,ENSG00000134539
natural killer cell,ENSG00000137441
natural killer cell,ENSG00000111796
natural killer cell,ENSG00000100453
regular ventricular cardiac myocyte,ENSG00000115641
regular ventricular cardiac myocyte,ENSG00000235535
