,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
LINC01128,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HES4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MXRA8,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCNL2,0.8333333333333334,0.0,0.9359108118405951,0.0,0.0,0.0,0.0
VWA1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GNB1,0.0,0.32162317463394835,0.09582097150109616,0.3647658349336547,0.18566579741296252,0.07860564312428268,0.10321628212783722
PRDM16,0.7022835424034803,0.0,0.0,0.0,0.0,0.6666666666666666,0.8314190845265412
RNF207,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,0.3434777541927218,0.40188692970381634,0.0,0.0,0.40089332090023766,0.3333333333333333,0.576336397685507
PER3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,0.059418909048739144,0.1363803172742903,0.048555075201017074,0.11299674567084865,0.017832813646524764,0.0,0.0412968370562569
GPR157,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H6PD,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PIK3CD,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CTNNBIP1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE4B,0.21945304259252943,0.059169261259673554,0.08246321117141092,0.10311686027108481,0.10901031659872308,0.0,0.011035239714329495
KIF1B,0.22406477908031763,0.16468540403238108,0.014060782555684567,0.04694598163226873,0.005311442449621766,0.2303623883477474,0.0
PEX14,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CASZ1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MTOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MTHFR,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PLOD1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MFN2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VPS13D,0.07844690651638209,0.03108685416310153,0.0,0.04077502290965721,0.31389379549867585,0.01541582324601302,0.19485690939802783
DHRS3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDM2,0.5448301887710164,0.0,0.5958059587000172,0.580419957598409,0.0,0.0,0.5
KAZN,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TMEM51,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DDI2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PLEKHM2,0.8333333333333334,0.0,0.0,0.8610928122068869,0.0,0.0,0.0
SPEN,0.3333333333333333,0.0,0.3874361524996816,0.4002970731823076,0.5161221154856654,0.0,0.3823022721196178
HSPB7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO42,0.5411124906122179,0.0,0.650257569505194,0.5862201060686544,0.0,0.0,0.5
SDHB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
