,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000116791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7941787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196735,2.4162781,2.7088342,0.0,3.5615373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5830876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142541,3.0637722,3.350281,0.0,2.6763403,0.0,2.4709966,2.5874438,3.0145464,2.4660518,0.0,2.4102592,0.0,2.5866365,2.89887,2.33658,2.3947256,0.0,0.0,2.871681,2.9217854,3.373107,0.0
ENSG00000147684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1940317,0.0,2.3926845,2.2173886,0.0,0.0,0.0,0.9809248,0.0,0.0,0.0,0.0,0.0,2.7833376
ENSG00000198417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4554365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,3.0637722,0.0,0.0,0.0,0.0,0.0,2.460034,2.9801917,2.3416612,0.0,2.536445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0550723,2.5095139,0.0,0.0
ENSG00000169442,3.0637722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957779,2.7215946,0.0,0.0,0.0,0.0,0.0,2.930153,0.0
ENSG00000162511,0.0,0.0,0.0,2.2569947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609662,2.090886,2.6551776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2828796
ENSG00000114021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101608,0.0,2.9102726,0.0,2.2974272,2.6977313,2.6776004,2.5118508,0.0,1.2686682,2.4444342,0.0,1.9594897,2.254699,2.715673,2.3215222,2.1942625,0.0,0.0,0.0,2.320739,2.6405444,0.0
