author_cell_type,mean,std,median,count,q1,q3,f_score
Mast cell,0.8694404571767569,0.07107997257655288,0.8979113342262468,68,0.8694979373546483,0.910982455927497,0.9577922077922078
B cell (Plasmocyte),0.796515043242756,0.05460241105380247,0.8158421506598873,153,0.7724575395091473,0.8325726358810432,0.8752327746741154
Antigen presenting cell (RPS high),0.5866940187899944,0.11186304413685558,0.621778422593403,5,0.5964468042291825,0.6561537830966064,0.7692307692307693
Smooth muscle cell,0.4576287267916383,0.3182571966444732,0.5931970847096951,244,0.4393594703667219,0.6171651207200837,0.787292817679558
Neutrophil,0.44876786870139046,0.3564480957787071,0.581084915286858,24,0.5490908991719983,0.6018311256121304,0.7236842105263158
Intercalated cell,0.4842489830768238,0.23260160462171103,0.5553187266716851,4392,0.41536621020293235,0.6427495745265,0.858836777954425
Epithelial cell,0.3841116732486379,0.2603661327915617,0.507958973565439,4396,0.2993403536552247,0.5603911181975489,0.8460195530726257
Fetal epithelial progenitor,0.2997156910236175,0.31516534995374673,0.47068984854421647,40,0.040006876203502025,0.5304935130057793,0.1041666666666666
Ureteric bud cell,0.36262449324760804,0.18700227889048984,0.42425085449682476,102,0.33729023191131047,0.48127557082511563,0.1162790697674418
Endothelial cell (APC),0.2780363711798865,0.2752058478228274,0.372383329942262,2657,0.2596215358703164,0.4243739131238696,0.675017397355602
Monocyte,0.17751603169852745,0.2597673693100408,0.2655457900367226,157,0.0535767297559176,0.3684936010114225,0.281195079086116
T cell,0.17139551413291165,0.2867892765062086,0.2609060038722652,299,0.178037186599808,0.3052896004650729,0.4385964912280701
Loop of Henle,0.1850613894155837,0.2698542188767192,0.25476278655281914,8434,0.00580488983729315,0.42687723531505517,0.6712031180116287
Macrophage,0.11844045303866622,0.2532845162051739,0.2131822741439468,845,-0.0288472823255441,0.3195706055263692,0.5844155844155844
B cell,-0.03350784201127324,0.3109748167277987,0.027175813471689698,66,-0.2394319206411409,0.25838205704208544,0.5555555555555556
Endothelial cell,-0.04585430269998168,0.22822822696700426,0.00221551471828365,84,-0.19026026941650506,0.13749744326494906,0.2806122448979591
Endothelial cell (endothelial to mesenchymal transition),-0.08208958810446446,0.219457265603414,-0.0104667527489412,10,-0.23909299642813672,0.08971647299316227,0.7692307692307693
Proximal tubule progenitor,-0.08981188322731784,0.25634235784838544,-0.0391035834168993,7,-0.18659275659761876,0.1085636578858563,0.6666666666666666
Dendritic cell,-0.19604346021817098,0.226886596895119,-0.2299866387511639,930,-0.34704050480275417,-0.026855596942599827,0.7328482328482329
Stromal cell,-0.3458537554748329,0.2411595517750685,-0.3098501735736962,16,-0.4450708514643216,-0.1755884182627786,0.625
Enterocyte progenitor,-0.3634921538141354,0.1583385900921636,-0.3114223307315924,5,-0.4667689094414307,-0.2928293116820238,0.5555555555555556
Sinusoidal endothelial cell,-0.5031364335815124,0.16878045763690605,-0.4715399277708351,11,-0.5747319981405692,-0.40257823090765577,0.5555555555555556
