clusterName,gene
PT,ENSG00000100253
PT,ENSG00000129151
LOHlike,ENSG00000130829
CTAL,ENSG00000074803
DCT,ENSG00000070915
DCT,ENSG00000263146
CNT,ENSG00000104327
CNT,ENSG00000004939
ICA,ENSG00000165181
ICA,ENSG00000147606
CCDlike,ENSG00000173253
CCDlike,ENSG00000151418
CCDlike,ENSG00000125144
ICB,ENSG00000091137
ICB,ENSG00000101342
PC,ENSG00000150201
PC,ENSG00000160951
PC,ENSG00000165272
unknown,ENSG00000153012
VCAM1_PT,ENSG00000137673
VCAM1_PT,ENSG00000066813
Podocytes,ENSG00000116218
Podocytes,ENSG00000163710
PEC,ENSG00000000971
PEC,ENSG00000167755
Mesangial,ENSG00000198523
Mesangial,ENSG00000133392
Endothelial,ENSG00000127329
Endothelial,ENSG00000165949
MNP,ENSG00000166927
B,ENSG00000211899
T cell,ENSG00000167286
NK,ENSG00000150045
NK,ENSG00000134539
