clusterName,NSForest_markers,f_score
PT,"['ENSG00000100253', 'ENSG00000129151']",0.976386638971984
LOHlike,['ENSG00000130829'],0.4202525986364144
CTAL,['ENSG00000074803'],0.9587969401947148
DCT,"['ENSG00000070915', 'ENSG00000263146']",0.8194774346793349
CNT,"['ENSG00000104327', 'ENSG00000004939']",0.8536585365853658
ICA,"['ENSG00000165181', 'ENSG00000147606']",0.7110091743119266
CCDlike,"['ENSG00000173253', 'ENSG00000151418', 'ENSG00000125144']",0.1891891891891892
ICB,"['ENSG00000091137', 'ENSG00000101342']",0.76007326007326
PC,"['ENSG00000150201', 'ENSG00000160951', 'ENSG00000165272']",0.8578313253012049
unknown,['ENSG00000153012'],0.5818181818181818
VCAM1_PT,"['ENSG00000137673', 'ENSG00000066813']",0.5895196506550219
Podocytes,"['ENSG00000116218', 'ENSG00000163710']",0.8928571428571429
PEC,"['ENSG00000000971', 'ENSG00000167755']",0.8811475409836066
Mesangial,"['ENSG00000198523', 'ENSG00000133392']",0.8532423208191127
Endothelial,"['ENSG00000127329', 'ENSG00000165949']",0.9599236641221374
MNP,['ENSG00000166927'],0.9556460252839084
B,['ENSG00000211899'],0.847457627118644
T cell,['ENSG00000167286'],0.9361393323657474
NK,"['ENSG00000150045', 'ENSG00000134539']",0.8582089552238806
