,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000187634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97229403,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188976,0.0,0.0,0.9828479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.0,0.0,0.8136064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188157,0.0,0.0,0.9820258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9937863,0.9981935,0.0,0.0,0.0,0.98693264,0.9786412
ENSG00000078808,0.0,0.0,2.439174,0.9750788,0.9312337,0.0,0.94647515,0.0,0.0,0.0,0.0,0.0,0.9848427,0.98365986,0.0,0.0,0.0,0.9728752,0.0
ENSG00000160087,0.0,0.0,0.9749448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160864,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.99496084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000224051,0.0,0.0,0.9188916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9219933,0.0,0.45625243,0.0,0.0,0.0
ENSG00000175756,0.0,1.8485912,10.917969,4.663969,3.9836047,0.0,3.807767,2.9892697,0.98387796,0.973578,0.93188864,0.0,3.9266036,1.9777623,1.9662709,0.9664347,0.0,2.7357576,1.9864448
ENSG00000221978,0.0,0.0,0.980477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4650175,0.0,0.0,0.0,0.9468466,0.0
ENSG00000242485,0.0,0.94588107,7.937575,2.9889355,2.8837163,0.0,2.8434768,2.897736,0.9750441,0.9780929,0.97419614,0.0,3.9071085,1.98158,0.9870381,0.4671457,0.0,1.9911687,1.9836366
ENSG00000160075,0.0,0.0,6.7454386,1.9401442,0.9925028,0.0,1.9084048,0.990762,0.0,0.8070063,0.0,0.0,2.8552146,1.4650154,0.957266,0.0,0.0,1.3553755,0.99209034
ENSG00000197530,0.0,0.0,0.4201089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248333,0.0,0.0,0.9230958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078369,0.0,0.0,3.382647,0.9636569,0.96054727,0.98559296,0.99287224,0.9238483,0.0,0.98706007,0.0,0.0,0.9966846,0.9947741,0.0,0.0,0.0,0.99532557,0.98093444
ENSG00000162585,0.0,0.0,3.877263,0.9768951,0.97234124,0.0,0.98535025,0.9429468,0.0,0.0,0.0,0.0,0.9930003,0.98684937,0.0,0.0,0.0,0.99840486,0.9903613
ENSG00000157916,0.0,0.0,5.9682674,1.9358442,0.99856263,0.0,1.9770167,1.9732922,0.0,0.0,0.0,0.0,2.9609067,0.9915252,0.0,0.0,0.0,0.99410856,0.0
ENSG00000157911,0.0,0.0,0.9687828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9134336,0.0
ENSG00000177133,0.0,0.0,4.911442,1.9845253,0.9980224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.984071,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142611,0.0,0.0,0.9933497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158109,0.0,0.0,0.82462126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235169,0.0,0.0,0.589226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116198,0.0,0.0,0.9195486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,6.9698706,6.8730874,39.498848,11.960906,10.94147,3.8593512,21.567045,17.032528,4.879342,7.9660664,6.739465,2.9566987,15.5488,16.794874,7.862845,1.9593248,3.9863951,17.681164,10.950693
ENSG00000116237,0.0,0.0,0.9739279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707349,0.0
