,CNT,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PT_VCAM1,TAL
ENSG00000142611,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
ENSG00000116285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,1.0986123,0.0,0.0
ENSG00000142599,1.0986123,1.3862944,1.0986123,1.0986123,0.6931472,1.3862944,1.0986123,0.6931472,1.0986123,1.0986123,1.0986123,1.3862944,0.6931472,1.0986123,1.0986123
ENSG00000054523,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000048707,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000189337,1.3862944,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,1.7917595,1.3862944,0.0,0.0,0.6931472,1.0986123
ENSG00000171729,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000184908,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000074964,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000077549,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158816,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075151,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0
ENSG00000117616,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158161,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
