author_cell_type,mean,std,median,count,q1,q3,f_score
LEUK,0.9759708632788912,0.00912949503155838,0.9789561872870924,63,0.9739212320128918,0.9817152798061837,0.6896551724137931
ICB,0.8957477759131305,0.08998172001438026,0.9041587441139148,349,0.8909168603049549,0.9155297845236406,0.8984660336011687
PT_VCAM1,0.8093762706198137,0.2223560467021083,0.8624077074692572,449,0.8379439679216937,0.8718692128930197,0.6293706293706294
PODO,0.8267774491813232,0.06492405701456028,0.8451867307559973,463,0.8143128865108411,0.8619819461611495,0.981114693689544
ICA,0.788612596838594,0.0903564868649946,0.8083615024349209,1107,0.76726381198385,0.8340782548636785,0.9038042161376304
PEC,0.7776978966421983,0.0873499013822916,0.7930088000074228,552,0.7603777626110965,0.8181026855176433,0.8597285067873304
FIB,0.7374167505352259,0.13336316968443343,0.7842935733818761,207,0.7489668664501161,0.8133344365898161,0.569620253164557
ENDO,0.7625460296179797,0.1707007848841018,0.7789361625482383,1008,0.7483193765151088,0.816238047478749,0.8949829931972789
PC,0.6546674984980209,0.1071626829043185,0.6908346026958221,1022,0.6077905010323568,0.7271382681160545,0.577724836212031
DCT2,0.6120295458564968,0.15541389306039524,0.6567479738550832,489,0.5173888421466961,0.7474227397722132,0.4347826086956521
MES,0.5888760323765587,0.10722049546843386,0.655520787234682,239,0.497318660540231,0.6779383944299056,0.7583230579531443
PT,0.5629564241245626,0.1481468071764223,0.601561704055779,5036,0.500878244889528,0.6638957494406486,0.8856243441762854
DCT1,0.5135808880476807,0.21344634585794442,0.5844663706587886,2761,0.4772965013239428,0.6490124565922808,0.8242319077268552
TAL,0.5334566348145295,0.17603731764382058,0.5786649628824869,4435,0.4466610903249705,0.6525410479416425,0.945535035549792
CNT,0.3787373479066283,0.2621919998662435,0.4827359082372562,1805,0.2624461320476252,0.5628117326367024,0.7330919861773901
