clusterName,gene
IC-B,ENSG00000091137
mIC-A,ENSG00000171889
mIC-A,ENSG00000173253
cIC-A,ENSG00000144227
cIC-A,ENSG00000228791
IC-A Injured,ENSG00000145147
IC-A Injured,ENSG00000188559
mPC,ENSG00000285876
mPC,ENSG00000180573
cPC,ENSG00000161011
CNT,ENSG00000147481
CNT,ENSG00000226674
CNT Injured,ENSG00000227028
DCT1,ENSG00000151789
DCT1,ENSG00000271945
DCT2,ENSG00000227028
DCT2,ENSG00000070915
JG Cell,ENSG00000250049
Ascending Vasa Recta,ENSG00000150625
Ascending Vasa Recta,ENSG00000249797
Peritubular Capillary Endothelia,ENSG00000102755
Peritubular Capillary Endothelia,ENSG00000174640
Descending Vasa Recta,ENSG00000049192
Endothelia Glomerular,ENSG00000165810
Endothelia Glomerular,ENSG00000077943
Memory B Cell,ENSG00000136573
Memory B Cell,ENSG00000153064
Naïve B Cell,ENSG00000163534
pDC,ENSG00000137265
Mast Cell,ENSG00000185052
Mast Cell,ENSG00000163751
NK CD56bright,ENSG00000145715
NK CD56bright,ENSG00000213079
PT Inflammatory,ENSG00000184156
PT Inflammatory,ENSG00000198075
PEC,ENSG00000000971
PEC,ENSG00000229981
PT S1,ENSG00000150275
PT S1,ENSG00000186335
PT S2,ENSG00000259579
PT S2,ENSG00000185046
PT S2,ENSG00000286785
PT S3,ENSG00000108846
PT S3,ENSG00000232310
Podocyte,ENSG00000139304
Podocyte,ENSG00000161270
vSMC,ENSG00000117335
Pericyte,ENSG00000152402
Pericyte,ENSG00000113721
Myofibroblast,ENSG00000164692
Myofibroblast,ENSG00000049323
Fibroblast,ENSG00000172260
NKT Cell,ENSG00000134539
NKT Cell,ENSG00000172673
NK CD56dim,ENSG00000150045
NK CD56dim,ENSG00000163564
Naïve Tc Cell,ENSG00000165929
Naïve Tc Cell,ENSG00000234663
Naïve Tc Cell,ENSG00000205045
Naïve Tc Cell,ENSG00000170571
Effector Tc Cell,ENSG00000047365
Effector Tc Cell,ENSG00000080824
Effector Tc Cell,ENSG00000172673
Effector Th Cell,ENSG00000110848
Effector Th Cell,ENSG00000153283
MAIT,ENSG00000133639
MAIT,ENSG00000168685
Naïve Th Cell,ENSG00000152495
Naïve Th Cell,ENSG00000168685
Treg,ENSG00000182010
Treg,ENSG00000227240
CD16 Monocyte,ENSG00000076641
CD16 Monocyte,ENSG00000254087
CD14 Monocyte,ENSG00000038427
CD14 Monocyte,ENSG00000119535
Monocyte Transitioning,ENSG00000139970
Monocyte Transitioning,ENSG00000048052
cDC2,ENSG00000132274
Macrophage HIF1A+,ENSG00000168906
Macrophage Resident,ENSG00000260314
Macrophage Activated,ENSG00000250722
Macrophage Activated,ENSG00000124491
Plasma Cell,ENSG00000143297
DCT Injured,ENSG00000112419
DCT Injured,ENSG00000070915
DCT Injured,ENSG00000227681
TAL Injured,ENSG00000155792
TAL Injured,ENSG00000074803
TAL Injured,ENSG00000185774
Macula Densa,ENSG00000185008
Macula Densa,ENSG00000004799
cTAL2,ENSG00000259754
cTAL2,ENSG00000169344
cTAL1,ENSG00000113946
cTAL1,ENSG00000165685
mTAL,ENSG00000153162
mTAL,ENSG00000119715
TAL Inflammatory,ENSG00000115221
TAL Inflammatory,ENSG00000159263
ATL,ENSG00000137968
DTL,ENSG00000156687
DTL,ENSG00000229981
PT Injured,ENSG00000187323
PT Injured,ENSG00000183747
