clusterName,NSForest_markers,f_score
Myofibroblast,['ENSG00000149591'],0.9145129224652088
Fibroblast,['ENSG00000139329'],0.925925925925926
Podocyte,['ENSG00000116218'],0.9195402298850576
Pelvic epithelium,"['ENSG00000176153', 'ENSG00000142973']",0.9482758620689656
Distinct proximal tubule 1,"['ENSG00000162692', 'ENSG00000007062']",0.8080808080808081
Epithelial progenitor cell,"['ENSG00000176907', 'ENSG00000165215']",0.7194244604316546
Principal cell,"['ENSG00000160951', 'ENSG00000138587']",0.8461538461538461
Connecting tubule,"['ENSG00000104327', 'ENSG00000165685']",0.8149779735682819
Type B intercalated cell,"['ENSG00000091137', 'ENSG00000127324']",0.9367945823927766
Type A intercalated cell,"['ENSG00000004939', 'ENSG00000147606']",0.8616010854816825
Indistinct intercalated cell,"['ENSG00000163812', 'ENSG00000161281']",0.4166666666666667
Thick ascending limb of Loop of Henle,['ENSG00000130829'],0.7414104882459313
Proximal tubule,['ENSG00000100253'],0.8818152916865363
Proliferating Proximal Tubule,"['ENSG00000132541', 'ENSG00000171766', 'ENSG00000211445', 'ENSG00000130203']",0.0284629981024667
Neutrophil,"['ENSG00000162747', 'ENSG00000119535']",0.7983193277310925
B cell,['ENSG00000105369'],0.8985786557456035
Plasmacytoid dendritic cell,"['ENSG00000171611', 'ENSG00000103056']",0.9615384615384616
MNP-a/classical monocyte derived,"['ENSG00000038427', 'ENSG00000121552']",0.8111702127659575
MNP-b/non-classical monocyte derived,"['ENSG00000224397', 'ENSG00000131042', 'ENSG00000101336']",0.7928642220019821
MNP-c/dendritic cell,"['ENSG00000198223', 'ENSG00000179639']",0.746268656716418
MNP-d/Tissue macrophage,['ENSG00000159189'],0.7942238267148014
Mast cell,['ENSG00000172236'],0.9803921568627452
CD4 T cell,"['ENSG00000168685', 'ENSG00000227507']",0.7607722797596216
CD8 T cell,"['ENSG00000113088', 'ENSG00000277734']",0.6388075592227841
NKT cell,"['ENSG00000160654', 'ENSG00000100450', 'ENSG00000115523']",0.7697876447876448
NK cell,"['ENSG00000150045', 'ENSG00000111796']",0.8678440925700366
Distinct proximal tubule 2,"['ENSG00000178057', 'ENSG00000182919', 'ENSG00000109846']",0.017910447761194
Glomerular endothelium,"['ENSG00000167941', 'ENSG00000145708']",0.8940972222222222
Peritubular capillary endothelium 1,"['ENSG00000167434', 'ENSG00000130300']",0.7647345348270823
Ascending vasa recta endothelium,"['ENSG00000003436', 'ENSG00000130300']",0.4845154845154845
Descending vasa recta endothelium,['ENSG00000184113'],0.4915514592933948
Peritubular capillary endothelium 2,"['ENSG00000164530', 'ENSG00000049192']",0.8286252354048964
