clusterName,NSForest_markers,f_score
FIB,"['ENSG00000145675', 'ENSG00000172403']",0.5027932960893855
ENDO,['ENSG00000127329'],0.8779247202441506
LEUK,['ENSG00000136250'],0.6147540983606558
PEC,"['ENSG00000128918', 'ENSG00000000971']",0.8409090909090909
PTVCAM1,['ENSG00000187323'],0.6371711650153741
PT,"['ENSG00000197901', 'ENSG00000158296']",0.8754009529444738
ATL,['ENSG00000115221'],0.3620218579234973
TAL1,"['ENSG00000223392', 'ENSG00000169344']",0.7830660585552449
TAL2,"['ENSG00000198398', 'ENSG00000113946']",0.7468443197755961
DCT1,"['ENSG00000070915', 'ENSG00000271945']",0.8155339805825242
DCT2,['ENSG00000251504'],0.6768953068592057
PC,"['ENSG00000259905', 'ENSG00000166828']",0.5756801442958064
ICB,['ENSG00000091137'],0.8756868131868132
ICA,"['ENSG00000147606', 'ENSG00000185274']",0.9049327354260088
PODO,"['ENSG00000139304', 'ENSG00000151490']",0.982879853255885
MES,"['ENSG00000249669', 'ENSG00000172572']",0.7654185022026432
