Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
B cells,0.7525328,0.16096768,0.8163134,1392
C-TAL,-0.32408422,0.19945373,-0.32057074,18324
CCD-IC-A,-0.015671063,0.19985515,-0.018531363,3332
CNT,-0.1865862,0.15918104,-0.17383406,8110
Classical monocytes,-0.029867545,0.21033812,-0.039842904,534
DC,-0.06054473,0.14113037,-0.034951203,1828
DC2,0.04228506,0.1582045,0.07614653,393
DCT,0.13125803,0.38597503,0.3602283,9757
DTL,-0.25790277,0.17049685,-0.21249773,6432
EC-AEA,-0.02065111,0.32645527,0.1533283,1121
EC-AVR,0.21336822,0.35459736,0.43554193,2698
EC-DVR,-0.3154631,0.06852532,-0.32476282,3000
EC-GC,0.055052288,0.3034817,0.19179578,3631
EC-LYM,-0.035196584,0.21333455,0.067564234,246
EC-PTC,-0.19541755,0.12798008,-0.15733746,8242
FIB/aFIB,0.2656831,0.17063656,0.3080516,2419
IC-A,0.64456123,0.15614253,0.7029885,5029
IC-B,-0.30747315,0.14138345,-0.33138666,2395
IMCD,0.56262404,0.106191464,0.58532065,6351
M-FIB,0.17459661,0.30943203,0.3172122,5204
M-TAL,-0.3147868,0.24423422,-0.38285437,7381
Myeloid,0.3239267,0.14677647,0.36431572,1958
NK cells,0.547952,0.3005165,0.6760078,2014
Non-classical monocytes,0.13570373,0.2233824,0.2174187,1093
PC,-0.1849759,0.12902848,-0.21011141,12262
PEC,0.6721327,0.19478528,0.71335924,1050
PT,0.38411868,0.205733,0.43833506,19500
PT-S1/2,0.112915054,0.21107,0.1747364,9173
PT-S3,0.25439188,0.21029471,0.342848,2028
Podocytes,0.48523533,0.27045137,0.6317505,1984
T cells,0.36897826,0.31748667,0.49855423,6663
T/NK,0.2637086,0.22867571,0.3366291,2474
VSMC,0.74786156,0.11301636,0.7855362,546
VSMC/P,-0.69537866,0.08476478,-0.71069795,3361
aPT,-0.51690197,0.14137246,-0.5500064,10968
aTAL,-0.27621284,0.28390783,-0.21675287,6110
dATL,0.04799267,0.3259663,0.23164995,3750
dC-IC-A,0.1958288,0.18586431,0.27124792,1784
dM-FIB,0.7570172,0.18495315,0.8020244,698
dPT,-0.25083825,0.23979564,-0.2282399,7996
dVSMC,0.73284984,0.22828257,0.78209203,1273
