software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,author_cell_type,Neutrophil,39,0.7983193277310925,0.95,0.4871794871794871,20303,1,20,19,2,"['ENSG00000162747', 'ENSG00000119535']","['ENSG00000162747', 'ENSG00000119535', 'ENSG00000169429', 'ENSG00000123689', 'ENSG00000158517', 'ENSG00000115271', 'ENSG00000143546', 'ENSG00000140379', 'ENSG00000163993', 'ENSG00000163220']",1.0
4.1,author_cell_type,MNP-a/classical monocyte derived,340,0.8156028368794326,0.934010152284264,0.5411764705882353,19990,13,156,184,2,"['ENSG00000038427', 'ENSG00000085265']","['ENSG00000038427', 'ENSG00000166523', 'ENSG00000121552', 'ENSG00000085265', 'ENSG00000135218', 'ENSG00000126759', 'ENSG00000163221', 'ENSG00000143546', 'ENSG00000090382', 'ENSG00000163220']",0.775252640247345
4.1,author_cell_type,MNP-b/non-classical monocyte derived,297,0.7905337361530715,0.9022988505747126,0.5286195286195287,20029,17,140,157,3,"['ENSG00000224397', 'ENSG00000131042', 'ENSG00000175489']","['ENSG00000224397', 'ENSG00000187116', 'ENSG00000131042', 'ENSG00000104974', 'ENSG00000175489', 'ENSG00000101336', 'ENSG00000085265', 'ENSG00000166927', 'ENSG00000203747', 'ENSG00000204482']",1.0
4.1,author_cell_type,MNP-c/dendritic cell,172,0.7274590163934426,0.8987341772151899,0.4127906976744186,20163,8,101,71,2,"['ENSG00000198223', 'ENSG00000179639']","['ENSG00000198223', 'ENSG00000155659', 'ENSG00000136404', 'ENSG00000179639', 'ENSG00000166428', 'ENSG00000169413', 'ENSG00000110077', 'ENSG00000118515', 'ENSG00000090104', 'ENSG00000196735']",0.9086269736289978
4.1,author_cell_type,MNP-d/Tissue macrophage,73,0.7744107744107744,0.8214285714285714,0.6301369863013698,20260,10,27,46,1,['ENSG00000159189'],"['ENSG00000159189', 'ENSG00000173369', 'ENSG00000173372', 'ENSG00000170458', 'ENSG00000143226', 'ENSG00000166927', 'ENSG00000110077', 'ENSG00000104870', 'ENSG00000231389', 'ENSG00000223865']",1.0
4.1,author_cell_type,Mast cell,40,1.0,1.0,1.0,20303,0,0,40,1,['ENSG00000172236'],"['ENSG00000172236', 'ENSG00000197253', 'ENSG00000163106', 'ENSG00000149534', 'ENSG00000163751', 'ENSG00000165646', 'ENSG00000095917', 'ENSG00000127074', 'ENSG00000110002', 'ENSG00000012779']",1.0
4.1,author_cell_type,Plasmacytoid dendritic cell,18,0.975609756097561,1.0,0.8888888888888888,20325,0,2,16,2,"['ENSG00000103056', 'ENSG00000132465']","['ENSG00000239961', 'ENSG00000171611', 'ENSG00000198178', 'ENSG00000184709', 'ENSG00000103056', 'ENSG00000132465', 'ENSG00000070031', 'ENSG00000185507', 'ENSG00000185291', 'ENSG00000105251']",1.0
4.1,author_cell_type,B cell,947,0.8979000724112962,0.9311639549436797,0.7856388595564942,19341,55,203,744,1,['ENSG00000105369'],"['ENSG00000105369', 'ENSG00000156738', 'ENSG00000153064', 'ENSG00000211896', 'ENSG00000007312', 'ENSG00000234184', 'ENSG00000211895', 'ENSG00000211592', 'ENSG00000140968', 'ENSG00000104894']",1.0
4.1,author_cell_type,CD4 T cell,2305,0.7540156644099296,0.8691660290742158,0.4928416485900217,17867,171,1169,1136,2,"['ENSG00000168685', 'ENSG00000227507']","['ENSG00000168685', 'ENSG00000227507', 'ENSG00000277734', 'ENSG00000211772', 'ENSG00000116824', 'ENSG00000198851', 'ENSG00000167286', 'ENSG00000271503', 'ENSG00000008517', 'ENSG00000110848']",0.520379900932312
4.1,author_cell_type,CD8 T cell,941,0.6317917614354309,0.6631299734748011,0.5313496280552603,19148,254,441,500,2,"['ENSG00000113088', 'ENSG00000277734']","['ENSG00000113088', 'ENSG00000198851', 'ENSG00000116824', 'ENSG00000277734', 'ENSG00000158050', 'ENSG00000167286', 'ENSG00000145649', 'ENSG00000077984', 'ENSG00000105374', 'ENSG00000275302']",0.6829820871353149
