author_cell_type,mean,std,median,count,q1,q3,f_score
Podocyte,0.9131349640665627,0.06813206685161194,0.9420542484271908,23,0.9315431553351483,0.946329065668156,0.9195402298850576
Plasmacytoid dendritic cell,0.8682108998274585,0.02750779916769517,0.8745596823588693,18,0.8684838444078322,0.8858559277759254,0.975609756097561
Fibroblast,0.7352331723314489,0.11260110339583289,0.7732580338438844,10,0.7130540358147528,0.811226847897697,0.925925925925926
Glomerular endothelium,0.719306883313751,0.15234456994933257,0.7708680401725242,596,0.7121169492091378,0.7978684958705086,0.894808743169399
Neutrophil,0.7273831618453598,0.09718243151562099,0.7649641971179539,39,0.6895881292322603,0.803893761254795,0.7983193277310925
B cell,0.6347363198259691,0.1789116225191468,0.7000915017344133,947,0.6038774076716316,0.7418882694747065,0.8979000724112962
Pelvic epithelium,0.35339682921613835,0.497919805644251,0.6338337196048212,14,0.2830402634253588,0.6478119499009563,0.9
Distinct proximal tubule 1,0.2370528980148363,0.45411874246942724,0.4848684008941303,62,-0.25345822656453354,0.5974877088372681,0.7467532467532467
Type B intercalated cell,0.28281073046970356,0.3040018776653499,0.4302088107788408,103,0.26162167979191375,0.46621823109503346,0.9138381201044388
Indistinct intercalated cell,0.2759577385374098,0.3464714450287646,0.4238039514505318,24,0.09686453975111595,0.4999825030034649,0.5833333333333334
Epithelial progenitor cell,0.26045362238292136,0.3109599302458188,0.3806079829106791,188,0.07380464909167905,0.511184679741098,0.6293103448275862
Peritubular capillary endothelium 2,0.3203912229932044,0.1531210290803332,0.3698279307664033,163,0.2887122818905674,0.42053714911245454,0.8155339805825242
Thick ascending limb of Loop of Henle,0.18469658491917773,0.33624768598855803,0.3249649859883186,302,0.03920299230082965,0.4305553752515464,0.7404021937842779
Peritubular capillary endothelium 1,0.1671514618471178,0.25793092398656736,0.2926759937724388,653,-0.0505543630871067,0.3868586343993745,0.7537046499744506
MNP-c/dendritic cell,0.05291948131168929,0.3847157407544075,0.23591813890033891,172,-0.27997593596984105,0.3632583530719823,0.7274590163934426
Type A intercalated cell,0.10158750048004997,0.26442809896127717,0.2278877538748903,193,-0.1665580024653535,0.3306083526851273,0.8695652173913043
MNP-b/non-classical monocyte derived,0.09306154388425546,0.32400372083266926,0.2252562309174316,297,-0.0205942916325759,0.3289335062632387,0.7905337361530715
NK cell,0.1328068703173473,0.21055902031723372,0.2105890258346819,1150,0.03936527856062583,0.29075398221035775,0.8738296923762817
Principal cell,0.026420871258490453,0.2603368293714238,0.12974405696414765,80,0.06320346983414392,0.17762783406857743,0.8531746031746031
MNP-d/Tissue macrophage,0.05439300420593725,0.34744619019647915,0.1245062176658087,73,-0.1796464001739151,0.3945795419989692,0.7744107744107744
Proximal tubule,0.021804209378946844,0.14393616682539342,0.06881128426878175,10202,-0.0139624063654276,0.11062017834755183,0.9286888355038564
CD8 T cell,-0.01289157899495458,0.21826553318520064,0.063987095261349,941,-0.1484249887870435,0.1563168875842701,0.6317917614354309
Connecting tubule,-0.05411681908769937,0.21613884775344827,0.0137429957739252,63,-0.1484294570201726,0.1168323353739901,0.7602339181286549
Ascending vasa recta endothelium,-0.043230702652826344,0.22785927507161743,-0.0068602548545108,241,-0.2559832429100648,0.1512806843207607,0.488
NKT cell,-0.06264615881451852,0.18847068314294427,-0.042381850307021754,712,-0.19719475048870572,0.1029326476680219,0.7557117750439367
Proliferating Proximal Tubule,-0.08927246958522364,0.18477966354976885,-0.0688993425342756,57,-0.1195508798423631,0.0069829386691346,0.081967213114754
CD4 T cell,-0.11663290442363536,0.1618717881072542,-0.0854399761097224,2305,-0.1747466630933818,-0.0164394519759196,0.7540156644099296
MNP-a/classical monocyte derived,-0.15083990262412617,0.3144925004931911,-0.12246906115778555,340,-0.32423716774784717,0.09767477559488409,0.8156028368794326
Descending vasa recta endothelium,-0.22832798289168169,0.14339965668507593,-0.2587624460843606,163,-0.34096097367289435,-0.1179273877545149,0.4918032786885246
Mast cell,-0.39092927729073806,0.24153337511563613,-0.4441887790990668,40,-0.5867881934295667,-0.2633364745184306,1.0
Myofibroblast,-0.42845033693945345,0.2409060137138777,-0.4629901912909001,115,-0.6469354066211706,-0.22384453263639026,0.9164733178654292
Distinct proximal tubule 2,-0.7618047353647497,0.09490923654209545,-0.7621898687493803,57,-0.8363645766617295,-0.6936999940106977,0.195729537366548
