clusterName,NSForest_markers,f_score,onTarget,precision,recall
PT,"['SLC13A3', 'SLC5A12']",0.8856243441762854,1.0,0.9629207073588134,0.670373312152502
ICA,"['SLC26A7', 'NXPH2']",0.9038042161376304,1.0,0.9880794701986756,0.6738934056007226
ICB,['SLC26A4'],0.8984660336011687,1.0,0.9647058823529412,0.7048710601719198
PODO,"['PTPRQ', 'PLA2R1']",0.981114693689544,1.0,0.9976580796252928,0.9200863930885528
MES,"['ENSG00000249669', 'PDE3A']",0.7583230579531443,1.0,0.8601398601398601,0.5146443514644351
FIB,"['PIK3R1', 'PDZRN4']",0.569620253164557,1.0,0.9574468085106383,0.217391304347826
ENDO,['PTPRB'],0.8949829931972789,1.0,0.9112554112554112,0.8353174603174603
LEUK,['IKZF1'],0.6896551724137931,1.0,0.8,0.4444444444444444
PEC,"['ALDH1A2', 'LINC01435']",0.8597285067873304,1.0,1.0,0.5507246376811594
PT_VCAM1,['DCC'],0.6293706293706294,1.0,0.7046263345195729,0.4409799554565701
PC,"['AQP2', 'EYA4']",0.577724836212031,1.0,0.6643835616438356,0.3796477495107632
CNT,"['LINC01099', 'NRCAM']",0.7330919861773901,0.75,0.8342696629213483,0.4936288088642659
DCT2,"['LINC01828', 'HMCN1', 'TRPM6']",0.4347826086956521,1.0,0.4965034965034965,0.2903885480572597
DCT1,"['TRPM7', 'CNNM2']",0.8242319077268552,0.6090091466903687,0.9181353041500852,0.5849329952915611
TAL,['SLC12A1'],0.945535035549792,1.0,0.9435519857206603,0.9535512965050732
