clusterName,NSForest_markers,f_score
DCT Injured,"['PHACTR2', 'SLC12A3', 'ENSG00000227681']",0.2717391304347826
TAL Injured,"['DEPTOR', 'SLC12A1', 'KCNIP4']",0.1228070175438596
Macula Densa,"['ROBO2', 'PDK4']",0.5186721991701245
cTAL2,"['ENSG00000259754', 'UMOD']",0.7115335217056254
cTAL1,"['CLDN16', 'TMEM52B']",0.7296204107031736
mTAL,"['BMP6', 'ESRRB']",0.5860663691053755
TAL Inflammatory,"['ITGB6', 'SIM2']",0.4857142857142857
ATL,['SLC44A5'],0.3975265017667844
DTL,"['UNC5D', 'LINC01435']",0.5128205128205128
PT Injured,"['DCC', 'ACSM2A']",0.683494044242768
NKT Cell,"['KLRD1', 'THEMIS']",0.4205607476635514
NK CD56dim,"['KLRF1', 'PYHIN1']",0.7064017660044151
Naïve Tc Cell,"['TC2N', 'ENSG00000234663', 'SLFN12L', 'EMB']",0.3048780487804878
Effector Tc Cell,"['ARAP2', 'HSP90AA1', 'THEMIS']",0.4193548387096774
Effector Th Cell,"['CD69', 'CD96']",0.4426229508196721
MAIT,"['BTG1', 'IL7R']",0.46875
Naïve Th Cell,"['CAMK4', 'IL7R']",0.5627009646302251
Treg,"['RTKN2', 'ENSG00000227240']",0.5714285714285714
CD16 Monocyte,"['PAG1', 'LYN']",0.660377358490566
CD14 Monocyte,"['VCAN', 'CSF3R']",0.6153846153846154
JG Cell,['ENSG00000250049'],0.6
Ascending Vasa Recta,"['GPM6A', 'LINC02147']",0.4885057471264368
Peritubular Capillary Endothelia,"['FLT1', 'SLCO2A1']",0.7389402041808459
Descending Vasa Recta,['ADAMTS6'],0.5208333333333334
Endothelia Glomerular,"['BTNL9', 'ITGA8']",0.6547619047619048
Memory B Cell,"['BLK', 'BANK1']",0.8527131782945736
Naïve B Cell,['FCRL1'],0.625
pDC,['IRF4'],0.7692307692307693
Mast Cell,"['SLC24A3', 'CPA3']",0.8536585365853658
NK CD56bright,"['RASA1', 'SCAF8']",0.3125
PT Inflammatory,"['KCNQ3', 'SULT1C4']",0.3153153153153153
PEC,"['CFH', 'LINC01435']",0.8037225042301185
PT S1,"['PCDH15', 'SLC36A2']",0.7758231844835363
PT S2,"['ENSG00000259579', 'ANKS1B', 'LINC01622']",0.616701607267645
PT S3,"['ABCC3', 'ENSG00000232310']",0.6253813300793166
Podocyte,"['PTPRQ', 'NPHS1']",0.916030534351145
vSMC,['CD46'],0.5555555555555556
Pericyte,"['GUCY1A2', 'PDGFRB']",0.4729729729729729
Myofibroblast,"['COL1A2', 'LTBP1']",0.5625
Fibroblast,['NEGR1'],0.7328385899814471
Monocyte Transitioning,"['RTN1', 'HDAC9']",0.3846153846153846
cDC2,['TRIM22'],0.4838709677419355
Macrophage HIF1A+,['MAT2A'],0.7142857142857143
Macrophage Resident,['MRC1'],0.8188021228203184
Macrophage Activated,"['SELENOP', 'F13A1']",0.3846153846153846
Plasma Cell,['FCRL5'],0.7352941176470589
IC-B,['SLC26A4'],0.945945945945946
mIC-A,"['MIR31HG', 'DMRT2']",0.6666666666666666
cIC-A,"['NXPH2', 'ENSG00000228791']",0.7851239669421488
IC-A Injured,"['SLIT2', 'RALGAPA2']",0.5263157894736842
mPC,"['ENSG00000285876', 'H2AC6']",0.5298507462686567
cPC,['SQSTM1'],0.4939209726443769
CNT,"['SNTG1', 'TEX41']",0.7359531196139263
CNT Injured,['ENSG00000227028'],0.25
DCT1,"['ZNF385D', 'ENSG00000271945']",0.6519889385237183
DCT2,"['ENSG00000227028', 'SLC12A3']",0.7518796992481203
