celltype_l2,mean,std,median,count,q1,q3,f_score
Mast Cell,0.975619552817427,0.00742944774227456,0.9778983156794772,13,0.9712262735881912,0.9809318881482788,0.8536585365853658
Podocyte,0.972659481243421,0.010902164072926001,0.9774008207249149,35,0.9680948480356698,0.9806435077281836,0.916030534351145
Plasma Cell,0.9720738664275972,0.008238171147040932,0.9753665213941902,10,0.9705179032748626,0.9772417957771496,0.7352941176470589
IC-B,0.9396758453895906,0.011721255721350445,0.9420890027969693,442,0.9330073120818183,0.9487444370090129,0.945945945945946
pDC,0.9143818481305301,0.004027614552310755,0.9164402051227396,5,0.9109168889086976,0.916781517276897,0.7692307692307693
Naïve B Cell,0.8875415690565174,0.04303857716035585,0.898124603598663,8,0.8795094219769907,0.9184225047906909,0.625
Macula Densa,0.8765378745179884,0.034651590447266595,0.8884882496014463,77,0.8597622592598588,0.9018363324692952,0.5186721991701245
CD16 Monocyte,0.8394697548980874,0.14990489726846887,0.8872201937842732,50,0.8552803059998405,0.8993768506284869,0.660377358490566
Treg,0.8319353165559883,0.0774032157960912,0.8717177480147841,15,0.8262631903983328,0.8800634688947553,0.5714285714285714
Ascending Vasa Recta,0.8581659632749369,0.04076084991838972,0.8677204994396883,90,0.8385829563709923,0.8904140778650367,0.4885057471264368
PEC,0.8283015694144995,0.17494701870045953,0.8603170629979391,211,0.8368186067610912,0.8731548462877603,0.8037225042301185
NK CD56dim,0.7513007086842187,0.11634729269610204,0.8094199244313002,173,0.7141509037231213,0.8236867412420694,0.7064017660044151
CNT Injured,0.7213531194841225,0.22088151348820345,0.7926269141571306,16,0.753628450332594,0.811551228672794,0.25
IC-A Injured,0.7559424999232458,0.11910953885917087,0.7880714403778847,11,0.7645867505984657,0.8165707628885999,0.5263157894736842
ATL,0.7463343222541869,0.12609230905946128,0.7778472085833923,190,0.7294405731505021,0.8051218096618543,0.3975265017667844
Endothelia Glomerular,0.7539926363625636,0.06683019460478838,0.7718975282228722,76,0.7268990633180341,0.7974564050557272,0.6547619047619048
cIC-A,0.5965344048923307,0.36374978275313646,0.7483472073889132,418,0.6476192059930295,0.7727198096928173,0.7851239669421488
PT S3,0.6414285579051677,0.1891599712337305,0.7238089684899881,647,0.6197226712386208,0.7578784805322745,0.6253813300793166
Descending Vasa Recta,0.640276306314183,0.15068080300049305,0.7100560387185124,24,0.5802113459582943,0.7553931535102572,0.5208333333333334
cDC2,0.62187601186637,0.1408928107621651,0.7035914971859374,15,0.600579452452775,0.713031898469242,0.4838709677419355
Pericyte,0.5707177415123346,0.3083840893752774,0.6951163529196437,34,0.5603139277697629,0.7197469471096877,0.4729729729729729
mIC-A,0.5993929590124562,0.18679326467670299,0.6656990424926628,98,0.6115691969274792,0.7031156514379913,0.6666666666666666
